vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,AnnouncementData,2026年半年度业绩预告或半年报中提到供不应求、供给偏紧、供应缺口的石油石化行业公司公告,1,公告库,恒逸石化:2026年半年度业绩预告,0.91,"公告标题：恒逸石化:2026年半年度业绩预告；
发布时间：2026-06-26；
证券简称：恒逸石化
原文： 恒逸石化2026年半年度业绩预告显示，归属于上市公司股东的净利润预计为550000.00万元-600000.00万元，较上年同期增长2326.31%-2546.88%，扣除非经常性损益后的净利润预计为547000.00万元-597000.00万元，同比增长3560.47%-3895.07%，基本每股收益预计为1.63元/股-1.78元/股，上年同期为0.07元/股。 本次业绩预告上年同期数据为追溯调整前数据，因公司2026年1月完成同一控制下企业合并恒逸能源科技（吐鲁番）100%股权，追溯调整后的财务数据将在正式半年报中披露。 本次业绩预告相关财务数据未经注册会计师审计，业绩大幅增长主要源于三方面：一是作为国内唯一在海外布局炼化工厂的化纤龙头企业，文莱炼厂依托东南亚成品油供需偏紧、盈利优于国内及自身税收、成本优势实现满产满销，成为核心业绩增长动力；二是年产120万吨己内酰胺-聚酰胺一体化及配套项目（一期）凭借自研先进技术、优化的能耗物耗指标实现产销两旺，成为新的利润增长点；三是PTA及下游聚酯产业链稳步复苏，行业新增产能受限带动景气度回升，公司作为行业领先企业产品单吨利润大幅改善。 公司提示本次业绩预告为初步测算结果，实际数据以2026年半年度报告为准，提请投资者注意投资风险。",2026-08-12T22:23:58.472791+08:00
gildata,AnnouncementData,2026年半年度业绩预告或半年报中提到供不应求、供给偏紧、供应缺口的石油石化行业公司公告,2,公告库,东方盛虹:2026年半年度业绩预告,0.86,"公告标题：东方盛虹:2026年半年度业绩预告；
发布时间：2026-07-06；
证券简称：东方盛虹
原文： 江苏东方盛虹股份有限公司发布2026年半年度业绩预告，预告区间为2026年1月1日至6月30日，预计本期业绩同向上升，净利润为正值。归属于上市公司股东的净利润预计盈利420000万元到500000万元，较上年同期增长987.39%到1194.51%；扣除非经常性损益后的净利润预计盈利401600万元到481600万元，同比增长1377.97%到1672.39%；基本每股收益预计为0.64元/股到0.76元/股，上年同期为0.06元/股，业绩同比增幅极为显著。本次业绩预告相关财务数据尚未经注册会计师审计，最终具体财务数据以公司正式披露的2026年半年度报告为准。 本次业绩大幅增长主要受三方面因素推动：第一，2026年上半年石化化工行业供需格局改善，行业景气度提升，叠加地缘局势紧张推高国际原油价格中枢，受成本抬升、原料供应偏紧影响，石化产品价格整体呈上升趋势，公司主要产品价差扩大，直接带动整体盈利能力大幅提升。 第二，公司充分发挥炼化一体化布局的成本优势，核心的1600万吨/年盛虹炼化一体化项目及其他各产业板块上半年运行平稳、产销顺畅，同时公司主动把握市场变化，灵活调整下游产品结构，有效提升了整体市场竞争力。第三，公司通过强化产业板块联动、智能化提质增效、严控供应链稳定等多项措施，保障了主业盈利能力的稳定增长。本次业绩预告为初步预测，公司提示投资者注意业绩相关风险，理性投资。",2026-08-12T22:23:58.472791+08:00
gildata,AnnouncementData,2026年半年度业绩预告或半年报中提到供不应求、供给偏紧、供应缺口的石油石化行业公司公告,3,公告库,东华能源:东华能源股份有限公司2026年半年度业绩预告,0.84,"公告标题：东华能源:东华能源股份有限公司2026年半年度业绩预告；
发布时间：2026-07-15；
证券简称：东华能源
原文：东华能源股份有限公司2026 年半年度业绩预告
本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。
一、本期业绩预计情况
1、业绩预告期间：2026 年 1 月 1 日至 2026 年 6 月 30 日。
2、业绩预告情况：预计净利润为正值且属于同向上升情形
（1）以区间数进行业绩预告的
单位：万元
| 项目 | 本报告期 |  |  | 上年同期 |
| --- | --- | --- | --- | --- |
|  |  | 17,900 | 24,300 |  |
| 归属于上市公司股 东的净利润 | 比上年同期 增长 | 169.67% | 266.09% | 6,637.63 |
| 扣除非经常性损益 后的净利润 |  | 8,000 | 11,000 | 3,462.25 |
|  | 比上年同期 增长 | 131.06% | 217.71% |  |
| 基本每股收益（元/ 股) | 0.1136 |  | 0.1542 | 0.0421 |
二、与会计师事务所沟通情况
公司 2026 年半年度业绩预告未经过注册会计师预审计。
三、业绩变动原因说明
2026 年上半年，地缘冲突推升国际能源价格，受成本抬升以及原料供应偏紧影响，聚丙烯等石化产品价格整体上行。公司依托托管马森能源形成的船-库-贸一体化优势，面对外部波动，快速采取有效措施，主要产品价差扩大带动盈利改善。
四、风险提示
上述数据为公司财务部门初步预计，与公司 2026 年半年度报告中所披露的最终数据可能存在差异，具体财务数据请以公司披露的 2026 年半年度报告为准。
敬请投资者注意投资风险
特此公告。
东华能源股份有限公司
董事会
2026 年 07 月 14 日",2026-08-12T22:23:58.472791+08:00
gildata,AnnouncementData,2026年半年度业绩预告或半年报中提到供不应求、供给偏紧、供应缺口的石油石化行业公司公告,4,公告库,东方盛虹:2026年半年度业绩预告,0.84,"公告标题：东方盛虹:2026年半年度业绩预告；
发布时间：2026-07-06；
证券简称：东方盛虹
原文：江苏东方盛虹股份有限公司2026 年半年度业绩预告
本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。
一、本期业绩预计情况
1、业绩预告期间：2026 年 1 月 1 日至 2026 年 6 月 30 日。
2、业绩预告情况：预计净利润为正值且属于同向上升情形。
| 项目 | 本报告期 | 上年同期 |
| --- | --- | --- |
| 归属于上市公司股东的 净利润 | 盈利：420，000万元—500，000万元 | 盈利：38.624.51万元 |
|  | 比上年同期上升：987.39%—1194.51% |  |
| 扣除非经常性损益后的 净利润 | 盈利：401，600万元—481，600万元 | 盈利：27，172.39万元 |
|  | 比上年同期上升：1377.97%-1672.39% |  |
| 基本每股收益 | 盈利：0.64元/股-0.76元/股 | 盈利：0.06元/股 |
二、与会计师事务所沟通情况
本次业绩预告相关财务数据未经注册会计师审计。
三、业绩变动原因说明
公司2026 年半年度业绩与上年同期相比实现大幅增长，主要原因是：
1、2026 年上半年，石化化工行业供需格局改善导致景气度有所提升。同时，地缘局势紧张带动国际原油价格中枢上移，受成本抬升以及原料供应偏紧的影响，石化产品价格整体呈上升趋势，公司主要产品价差扩大带动整体盈利能力提升。
2、公司充分发挥炼化一体化布局的成本优势，1600 万吨/年盛虹炼化一体化项目及其他各产业板块上半年运行平稳、产销顺畅。同时，公司主动把握市场变化，灵活调整下游产品结构，有效提升市场竞争力。
3、公司积极采取强化产业板块联动、智能化提质增效、严控供应链稳定等多种措施，确保了主业盈利能力的增长。
四、风险提示
本次业绩预告是公司财务部门初步预测的结果，具体财务数据以公司披露的2026 年半年度报告为准。敬请广大投资者理性投资，注意风险。
特此公告。
江苏东方盛虹股份有限公司董事会2026 年 7 月 3 日",2026-08-12T22:23:58.472791+08:00
gildata,AnnouncementData,2026年半年度业绩预告或半年报中提到供不应求、供给偏紧、供应缺口的石油石化行业公司公告,5,公告库,荣盛石化:2026年半年度业绩预告,0.82,"公告标题：荣盛石化:2026年半年度业绩预告；
发布时间：2026-07-15；
证券简称：荣盛石化
原文：荣盛石化股份有限公司2026 年半年度业绩预告
本公司及董事会全体成员保证信息披露内容的真实、准确和完整，没有虚假记载、误导性陈述或重大遗漏。
一、本期业绩预计情况
1、业绩预告期间：2026 年 1 月 1 日至 2026 年 6 月 30 日
2、业绩预告情况：预计净利润为正值且属于同向上升情形
| 项目 | 本报告期 | 上年同期 |
| --- | --- | --- |
| 归属于上市公司股东 的净利润 | 盈利：500.000万元-520.000万元 | 盈利：60.208.41万元 |
|  | 比上年同期增长：730.45%-763.67% |  |
| 扣除非经常性损益后 的净利润 | 盈利：520.000万元-540.000万元 | 盈利：75495.79万元 |
|  | 比上年同期增长：588.78%-615.27% |  |
| 基本每股收益 | 盈利：0.52元/股-0.54元/股 | 盈利：0.06元/股 |
二、与会计师事务所沟通情况
本次业绩预告未经会计师事务所预审计。
三、业绩变动原因说明
公司2026 年半年度业绩与上年同期比较实现大幅增长，主要原因有：
1、报告期内，石油化工行业较上年同期有所回暖，景气度回升，公司主要产品加工价差较上年同期明显修复，产品毛利状况得到改善。
2、公司依托全球特大型炼化一体化装置，持续开展技术改造与工艺优化，充分挖掘现有产能潜力，不断提升装置运行效率和弹性生产能力。在原油价格中枢上移的背景下，公司全产业链优势进一步凸显，上半年各板块运行平稳，产销顺畅。
3、公司密切跟踪市场动态，采取稳健多元化的采购策略，在保障原油稳定供应的同时，有效平衡成本与供应韧性。
四、风险提示
本次业绩预告是公司财务部门初步测算结果，未经审计机构审计，具体财务数据以公司披露的2026 年半年度报告为准。
敬请投资者谨慎决策，注意投资风险。
特此公告。",2026-08-12T22:23:58.472791+08:00
gildata,AnnouncementData,2026年半年度业绩预告或半年报中提到供不应求、供给偏紧、供应缺口的石油石化行业公司公告,6,公告库,恒力石化:恒力石化2026年半年度业绩预增公告,0.81,"公告标题：恒力石化:恒力石化2026年半年度业绩预增公告；
发布时间：2026-07-07；
证券简称：恒力石化
原文：恒力石化2026年半年度业绩预增公告显示，公司预计实现归属于上市公司股东的净利润为720000万元左右，同比增加136.06%左右，扣非后净利润预计为533000万元左右，同比增加132.10%左右。上年同期公司归属于上市公司股东的净利润为305009.90万元，扣非后净利润为229643.55万元，每股收益0.43元/股。本次业绩预增主要源于三方面因素：一是石油化工行业供需格局改善，产品价差扩大，炼化、PTA及下游聚酯新材料产业链盈利水平大幅提升；二是公司“油、煤、化”一体化全产业链优势释放，核心产能运行平稳，产业链协同效应持续增厚业绩；三是通过强化精细化管理与全流程成本管控，动态优化采购、排产与产品结构，保障主业盈利能力持续增长。本次业绩预告数据未经注册会计师审计，仅为财务部门初步核算结果，最终准确财务数据需以正式披露的2026年半年度报告为准。",2026-08-12T22:23:58.472791+08:00
gildata,AnnouncementData,2026年半年度业绩预告或半年报中提到供不应求、供给偏紧、供应缺口的石油石化行业公司公告,7,公告库,恒逸石化:2026年半年度业绩预告,0.8,"公告标题：恒逸石化:2026年半年度业绩预告；
发布时间：2026-06-26；
证券简称：恒逸石化
原文：二、与会计师事务所沟通情况
本次业绩预告相关的财务数据未经注册会计师审计。
三、业绩变动原因说明
报告期内，公司充分发挥柱状均衡全产业链一体化和“涤纶+锦纶”双“纶”驱动的优势，持续推进科技创新成果应用，实现归属于上市公司股东的净利润550,000.00 万元-600,000.00 万元，同比大幅增长 2,326.31%-2,546.88%，主要原因如下：
1、作为国内龙头化纤企业中唯一在海外布局炼化工厂的公司，充分受益于东南亚地区成品油供需格局长期偏紧，成品油盈利远好于国内，同时 PX、苯等化工产品盈利继续维持高位水平。报告期内，文莱炼厂继续享受税收、市场化定价以及运保费低廉等优势，并全面把握市场机遇，实现了满产满销，单吨产品盈利长期维持高位水平，成为公司当前及今后业绩增长的核心因素，文莱炼厂的独特区位优势及前瞻战略布局优势愈发凸显。
2、报告期内，公司持续保持高强度的研发投入，产品成果迭代创新，作为自研成果集成应用的公司年产 120 万吨己内酰胺-聚酰胺一体化及配套项目（一期）大力应用多项公司自主研发的先进技术，且该项目全流程集成配套生产要素与能源资源，能耗物耗指标显著优化，项目的技术优势、一体化优势与成本优势显著领先于同类企业。报告期内该项目产销两旺，成为公司新的利润增长点，为业绩增长贡献重要增量。
3、公司所在的PTA 及下游聚酯产业链条稳步复苏，产品下游需求稳步增长，且在碳达峰和碳中和政策的影响下，PTA 及聚酯行业未来新增产能几乎为零，有望带动今后几年产业链景气度大幅回升，公司作为 PTA 及聚酯长丝、聚酯瓶片领先企业，产品单吨利润实现了大幅改善并全面盈利，为公司中长期业绩增长提供长期支撑。
四、风险提示
本次业绩预告是公司财务部门初步测算的结果，未经注册会计师审计。公司2026 年半年度业绩具体数据将在公司2026 年半年度报告中详细披露，实际数据请以2026 年半年度报告为准。敬请广大投资者谨慎决策，注意投资风险。
特此公告。
恒逸石化股份有限公司董事会2026 年 6 月 25 日",2026-08-12T22:23:58.472791+08:00
gildata,AnnouncementData,2026年半年度业绩预告或半年报中提到供不应求、供给偏紧、供应缺口的石油石化行业公司公告,8,公告库,东华能源:东华能源股份有限公司2026年半年度业绩预告,0.8,"公告标题：东华能源:东华能源股份有限公司2026年半年度业绩预告；
发布时间：2026-07-15；
证券简称：东华能源
原文： 东华能源发布2026年半年度业绩预告，预告期间为2026年1月1日至2026年6月30日，本次业绩预告未经过注册会计师预审计，最终财务数据需以正式半年度报告披露内容为准，投资者需留意业绩预计数据与最终数据存在差异的投资风险。 本次业绩预计显示，东华能源2026年上半年归属于上市公司股东的净利润预计在17900万元至24300万元区间，较上年同期的6637.63万元增长169.67%至266.09%；扣除非经常性损益后的净利润预计为8000万元至11000万元，较上年同期的3462.25万元增长131.06%至217.71%；基本每股收益预计区间为0.1136元/股至0.1542元/股，上年同期为0.0421元/股，整体业绩属于净利润为正且同向上升的情形，盈利水平较去年同期实现大幅提升。 本次业绩大幅增长的核心原因在于，2026年上半年地缘冲突推升国际能源价格，受成本抬升以及原料供应偏紧影响，聚丙烯等东华能源主营的石化产品价格整体上行；同时公司依托托管马森能源形成的船-库-贸一体化优势，面对外部市场波动快速采取应对措施，推动主要产品价差扩大，最终带动公司盈利水平大幅改善。",2026-08-12T22:23:58.472791+08:00
gildata,AnnouncementData,2026年半年度业绩预告或半年报中提到供不应求、供给偏紧、供应缺口的石油石化行业公司公告,9,公告库,益生股份:2026年半年度业绩预告,0.79,"公告标题：益生股份:2026年半年度业绩预告；
发布时间：2026-07-01；
证券简称：益生股份
原文： 山东益生种畜禽股份有限公司发布2026年半年度业绩预告，预计2026年1-6月归属于上市公司股东的净利润为27000万元-30000万元，较上年同期的615.51万元同比增长4286.61%-4774.01%；扣非后净利润为26800万元-29800万元，同比增长7858.66%-8749.56%，基本每股收益预计为0.19元/股-0.21元/股。 本次业绩大幅增长主要源于白羽肉鸡行业景气度上行，公司主营白羽肉鸡业务实现量价齐升。2025年公司祖代白羽肉鸡引种量同比增加，带动本期父母代鸡苗销量大幅增长，同时国内行业供给偏紧推动父母代鸡苗价格连续三季度逐季攀升并维持高位，商品代白羽肉鸡苗销售均价同比上涨，共同推高业务利润。 行业层面，我国祖代白羽肉鸡种源依赖进口，2024年底以来美、新等传统引种渠道受禽流感影响受阻，2025年底法国禽流感进一步冲击供给，2026年1-5月国内无境外引种增量，依据养殖周期传导规律，行业供给偏紧格局将持续，后续父母代鸡苗价格仍有上行空间，白羽肉鸡行业高景气度有望延续。 公司内部通过推进精细化管理、提质增效、强化生物安全等举措提升种鸡生产性能，同时加速种猪业务产能释放，进一步拓宽业绩增长空间。",2026-08-12T22:23:58.472791+08:00
gildata,AnnouncementData,2026年半年度业绩预告或半年报中提到供不应求、供给偏紧、供应缺口的石油石化行业公司公告,10,公告库,和顺石油:和顺石油2026年半年度业绩预告,0.79,"公告标题：和顺石油:和顺石油2026年半年度业绩预告；
发布时间：2026-07-15；
证券简称：和顺石油
原文： 湖南和顺石油股份有限公司发布2026年半年度业绩预告，预计2026年1月1日至6月30日，公司实现归属于母公司所有者的净利润区间为6800万元到8800万元，较上年同期增加5395.11万元到7395.11万元，同比增幅达到384.02%到526.38%；扣除非经常性损益后的归属于母公司所有者净利润区间为2200万元到3200万元，较上年同期增加1558.70万元到2558.70万元，同比增幅达到243.05%到398.99%。本次预告数据仅为公司财务部门初步核算结果，尚未经注册会计师审计，最终准确财务数据以公司正式披露的半年报为准。 上年同期湖南和顺石油归属于母公司所有者的净利润为1404.89万元，扣除非经常性损益后的归属于母公司净利润为641.30万元，利润总额为1806.31万元，上年同期每股收益为0.08元，本次预计业绩属于净利润为正值的同向上升情形。 本次业绩大幅正向增长主要来自两方面推动，一方面是主营业务因素，地缘冲突推动国际原油价格上涨后，国内成品油零售限价同步上调，而炼厂因库存积压出货承压，成品油出厂价涨幅偏弱，带动行业批零价差扩大，和顺石油充分把握该高价差行情，直接带动公司利润增长；另一方面是非经常性损益因素，报告期内公司购买的证券投资产品公允价值上升，赎回时产生的投资收益增加，进一步推高本期净利润。本次预告不存在影响内容准确性的重大不确定因素，公司也提示投资者注意投资风险。",2026-08-12T22:23:58.472791+08:00
