vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,AnnouncementData,盐津铺子2026年以来股东减持 高管减持公告,1,公告库,盐津铺子:2025年年度报告,0.85,"公告标题：盐津铺子:2025年年度报告；
发布时间：2026-04-08；
证券简称：盐津铺子
原文：（五）业务独立完整
本公司拥有完整的生产、采购和销售体系，能够独立开展生产经营活动；公司在业务经营上与控股股东及其关联方不存在同业竞争或显失公平的关联交易，同时本公司控股股东盐津控股、实际控制人张学武先生、张学文先生均出具了《关于避免同业竞争的承诺函》，保证不与本公司发生任何同业竞争。
三、同业竞争情况
□ 适用 √ 不适用
四、董事和高级管理人员情况
1.基本情况
单位：股 

| 姓名 | 职务 | 任职 |  | 年 | 任期起始 | 任期终止 | 期初持股 | 本期增 持股份 | 本期减持 股份数量 | 其他 增减 | 期末持股 数 | 股份增减变动的原因 |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 张学武 | 董事长 | 状态 现任 | 男 | 龄 51 | 日期 2014年 | 日期 2026年 8月18日 | 数 28,508.579 | 数量 |  | 变动 | 28,508,579 |  |
| 兰波 | 总经理 董事 副总经理 | 现任 | 男 | 43 | 8月19日 2019年 3月7日 | 2026年 8月18日 | 1,964,550 |  | 404.600 |  | 1,559,950 | 减持公司股份 |
| 杨林广 | 董事 副总经理 | 现任 | 男 | 44 | 2019年 3月7日 | 2026年 8月18日 | 819,000 |  | 204,750 |  | 614,250 | 减持公司股份 |
| 单汨源 | 董事 | 现任 | 男 | 64 | 2014年 8月19日 | 2026年 8月18日 |  |  |  |  |  |  |
| 王红艳 | 独立董事 | 现任 | 女 | 59 | 2020年 8月19日 | 2026年 8月18日 |  |  |  |  |  |  |
| 刘灿辉 | 独立董事 | 现任 | 男 | 52 | 2020年 8月19日 | 2026年 8月18日 |  |  |  |  |  |  |
| 张喻 | 独立董事 | 现任 | 女 | 54 | 2020年 8月19日 | 2026年 8月18日 |  |  |  |  |  |  |
| 汤云峰 | 职工董事 | 现任 | 女 | 41 | 2025年 9月5日 | 2026年 8月18日 |  |  |  |  |  |  |
|  | 监事 | 离任 | 女 | 41 | 2020年 8月19日 | 2025年 9月5日 |  |  |  |  |  |  |
| 黄敏胜 | 副总经理 | 现任 | 男 | 45 | 2021年 3月30日 | 2026年 8月18日 | 504,000 |  | 126.000 |  | 378.000 | 减持公司股份 |
| 张磊 | 副总经理 | 现任 | 男 | 45 | 2020年 10月27日 | 2026年 8月18日 | 703,500 |  | 175.875 |  | 527,625 | 减持公司股份 |
| 李汉明注 | 副总经理 | 现任 | 男 | 45 | 2022年 10月26日 2023年 | 2026年 1月14日 2026年 | 283,500 |  | 70.875 |  | 212,625 | 减持公司股份 |
| 峰 | 财务总监 | 现任 | 男 | 49 | 4月14日 2023年 | 8月18日 2026年 | 105,000 |  | 26,200 |  | 78.800 | 减持公司股份 |
| 张杨 | 董事会秘书 | 现任 | 女 | 42 | 7月7日 | 8月18日 | 42.000 |  |  |  | 42,000 |  |
| 王勇 | 监事会主席 | 离任 | 男 | 58 | 2020年 8月19日 | 2025年 9月5日 |  |  |  |  |  |  |
| 姓名 | 职务 | 任职 状态 | 性别 | 年 龄 | 任期起始 日期 | 任期终止 日期 | 期初持股 数 | 本期增 持股份 数量 | 本期减持 股份数量 | 其他 增减 变动 | 期末持股 数 | 股份增减变动的原因 |
| 彭 | 监事 | 离任 | 女 | 39 | 2022年 1月19日 | 2025年 9月5日 |  |  |  |  |  |  |
| 合计 | -- |  |  |  | -- |  | 32.930,129 | 0 | 1,008,300 | 0 | 31,921,829 |  |

注：李汉明先生已于 2026 年1 月14 日因个人原因辞职，具体内容详见巨潮资讯网《关于副总经理辞职的公告》（公告编号：2026-006）。",2026-08-15T21:48:21.054119+08:00
gildata,AnnouncementData,盐津铺子2026年以来股东减持 高管减持公告,2,公告库,盐津铺子:关于副总经理辞职的公告,0.83,"公告标题：盐津铺子:关于副总经理辞职的公告；
发布时间：2026-01-16；
证券简称：盐津铺子
原文： 盐津铺子食品股份有限公司于2026年1月14日收到副总经理李汉明先生的辞职报告，其因个人原因申请辞去公司副总经理职务，并承诺辞职后不再担任公司及子公司任何职务。该辞职行为自送达董事会时即刻生效，且明确声明不会影响公司相关工作的正常开展与运营秩序。 公告详细披露了李汉明先生在任职期间的持股情况，截至本公告披露日，其直接持有公司股份212,625股，原定任期届满日为2026年8月18日。尽管已提出离职，但根据相关法律法规要求，李汉明先生仍需继续遵守关于离任高级管理人员减持股份的严格规定，包括《上市公司董事和高级管理人员所持本公司股份及其变动管理规则》及深交所相关自律监管指引。 公司董事会对李汉明先生在任职期间勤勉工作以及为公司发展所作出的贡献表示了衷心的感谢，体现了公司对高管人员职业价值的认可。此次人事变动属于正常的公司治理范畴，公司强调信息披露的真实、准确与完整，确保投资者能够及时获取关键动态。整体来看，此次高管辞职并未引发对公司经营稳定性的担忧，后续公司将依法合规推进相关工作交接。",2026-08-15T21:48:21.054119+08:00
gildata,AnnouncementData,盐津铺子2026年以来股东减持 高管减持公告,3,公告库,盐津铺子:关于副总经理辞职的公告,0.78,"公告标题：盐津铺子:关于副总经理辞职的公告；
发布时间：2026-01-16；
证券简称：盐津铺子
原文：盐津铺子食品股份有限公司关于副总经理辞职的公告
本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。
盐津铺子食品股份有限公司（以下简称“公司”）董事会于2026年1月14日收到公司副总经理李汉明先生的书面辞职报告，李汉明先生因个人原因申请辞去公司副总经理职务，辞职后将不在公司及子公司担任任何职务。
李汉明先生的辞职不会影响公司相关工作的正常进行，根据《公司法》和《公司章程》等的有关规定，李汉明先生的辞职报告自送达董事会时生效。
截至本公告披露日，李汉明先生直接持有公司股份212,625 股，其原定任期届满之日为2026 年8 月18 日。辞职后，李汉明先生将继续遵守《上市公司董事和高级管理人员所持本公司股份及其变动管理规则》《深圳证券交易所上市公司自律监管指引第18 号—股东及董事、高级管理人员减持股份》等相关法律法规有关离任高级管理人员减持股份的相关规定。
公司及公司董事会对李汉明先生在任职期间的勤勉工作及对公司发展所作出的贡献表示衷心的感谢！
特此公告。
盐津铺子食品股份有限公司董 事 会2026 年 1 月 16 日",2026-08-15T21:48:21.054119+08:00
gildata,AnnouncementData,盐津铺子2026年以来股东减持 高管减持公告,4,公告库,盐津铺子:2026年第二次临时股东会决议公告,0.72,"公告标题：盐津铺子:2026年第二次临时股东会决议公告；
发布时间：2026-06-27；
证券简称：盐津铺子
原文：四、律师出具的法律意见
本次股东会由湖南启元律师事务所周晓玲、达代炎律师见证，并出具了《湖南启元律师事务所关于盐津铺子食品股份有限公司 2026 年第二次临时股东会的法律意见书》，结论意见为：公司本次股东会的召集、召开程序符合《中华人民共和国公司法》《上市公司股东会规则》等法律、法规、规范性文件以及《公司章程》的规定；召集人资格及出席会议人员资格合法有效；表决程序及表决结果合法有效。
五、备查文件
（一）盐津铺子食品股份有限公司2026 年第二次临时股东会决议；  
（二）湖南启元律师事务所关于公司2026 年第二次临时股东会的法律意见书。
盐津铺子食品股份有限公司董 事 会2026年6月27日",2026-08-15T21:48:21.054119+08:00
gildata,AnnouncementData,盐津铺子2026年以来股东减持 高管减持公告,5,公告库,盐津铺子:2026年第一次临时股东会决议公告,0.71,"公告标题：盐津铺子:2026年第一次临时股东会决议公告；
发布时间：2026-01-07；
证券简称：盐津铺子
原文：四、律师出具的法律意见
本次股东会由湖南启元律师事务所王泽润、戴思佳律师见证，并出具了《湖南启元律师事务所关于盐津铺子食品股份有限公司 2026 年第一次临时股东会的法律意见书》，结论意见为：公司本次股东会的召集、召开程序符合《中华人民共和国公司法》《上市公司股东会规则》等法律、法规、规范性文件以及《公司章程》的规定；召集人资格及出席会议人员资格合法有效；表决程序及表决结果合法有效。
五、备查文件
（一）盐津铺子食品股份有限公司2026 年第一次临时股东会决议；（二）湖南启元律师事务所关于盐津铺子食品股份有限公司2026 年第一次临
时股东会的法律意见书。
盐津铺子食品股份有限公司董 事 会2026年1月7日",2026-08-15T21:48:21.054119+08:00
gildata,AnnouncementData,盐津铺子2026年以来股东减持 高管减持公告,6,公告库,盐津铺子:关于董事会换届选举的公告,0.71,"公告标题：盐津铺子:关于董事会换届选举的公告；
发布时间：2026-08-01；
证券简称：盐津铺子
原文：特此公告。
盐津铺子食品股份有限公司
董 事 会
2026年8月1日
附件：
一、公司第五届董事会非独立董事候选人简历
张学武先生，1974年8月生，中国国籍，无境外永久居留权，博士在读。2005年至今在公司工作，现任盐津铺子食品股份有限公司董事长兼总经理、湖南盐津铺子控股有限公司执行董事，第十三届/十四届全国人大代表、民革中央委员，湖南省工商联副主席，湖南省民革企业家联谊会会长。2011年，荣获湖南省委、省政府表彰的“湖南省非公经济优秀企业家”；2019年，荣获长沙市农业劳动模范，被湖南省委、省政府评为“湖南省非公经济先进个人”。2021年，荣获“全国五一劳动奖章”“湖南省优秀中国特色社会主义事业建设者”“民革中央助力扶贫攻坚工作先进个人”“九江市企业领军人才”“浏阳市最美爱心企业家”。2022年，荣获湖南省工信厅表彰的“湖南省优秀企业家”；2024年，荣获民革中央“民革榜样人物”；2025年，荣获湖南省委、省政府表彰的“新湖南贡献奖全省优秀民营企业家”。
截至本公告披露日，张学武先生直接持有本公司股份28,508,579 股，通过控股股东湖南盐津铺子控股有限公司间接持有本公司股份 101,601,157 股，是公司实际控制人，与公司其他董事、高级管理人员不存在关联关系，从未受过中国证监会及其他有关部门的处罚和证券交易所的惩戒，不存在因涉嫌犯罪被司法机关立案侦查或者涉嫌违法违规被中国证监会立案稽查，尚未有明确结论的情形；不存在《深圳证券交易所上市公司自律监管指引第1号—主板上市公司规范运作》第3.2.2条规定的情形，经查询非失信被执行人，其任职资格符合《中华人民共和国公司法》及《公司章程》的相关规定。
兰 波先生，1983年4月生，中国国籍，无境外永久居留权，大专学历。2004年7月入职公司，先后任职长沙销售主管、区域经理、江西省省区经理、云贵广大区经理、湖南省省区经理，2015年任全国经销商渠道负责人，2016年任公司华西片区、华东片区负责人，2017年5月起历任公司渠道事业部副部长、部长，2019年3月起任公司副总经理，2019年10月起，任公司董事、副总经理。
截至本公告披露日，兰波先生持有本公司股份 1,555,950 股，与公司实际控制人、其他持有公司5%以上有表决权股份的股东、公司其他董事、高级管理人员不存在关联关系，从未受过中国证监会及其他有关部门的处罚和证券交易所的惩戒，不存在因涉嫌犯罪被司法机关立案侦查或者涉嫌违法违规被中国证监会立案稽查，尚未有明确结论的情形；不存在《深圳证券交易所上市公司自律监管指引第 1 号—主板上市公司规范运作》第3.2.2 条规定的情形，经查询非失信被执行人，其任职资格符合《中华人民共和国公司法》及《公司章程》的相关规定。",2026-08-15T21:48:21.054119+08:00
gildata,AnnouncementData,盐津铺子2026年以来股东减持 高管减持公告,7,公告库,盐津铺子:2026年第二次临时股东会决议公告,0.7,"公告标题：盐津铺子:2026年第二次临时股东会决议公告；
发布时间：2026-06-27；
证券简称：盐津铺子
原文：盐津铺子食品股份有限公司
2026年第二次临时股东会决议公告
本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。
特别提示：
1.本次股东会未出现否决议案的情形；  
2.本次股东会不涉及变更以往股东会已通过的决议。
一、会议召开情况
（一）会议召开日期和时间：
现场会议时间为：2026 年 6 月 26 日下午 15:00
网络投票时间为：通过深圳证券交易所交易系统进行网络投票的具体时间为：2026 年 6 月 26 日上午 9:15—9:25，9:30—11:30，下午 13:00－15:00；通过深圳证券交易所互联网投票系统投票的具体时间为：2026 年6 月26 日（现场股东会召开当日）上午9:15 至当日下午15:00。
（二）现场会议召开地点：湖南省长沙市雨花区长沙大道运达中央广场写字楼A 座，盐津铺子食品股份有限公司行政总部会议室。
（三）会议召集人：盐津铺子食品股份有限公司董事会。
（四）会议召开方式：本次股东会采取现场投票与网络投票相结合的方式。
（五）会议主持人：董事长张学武先生。
（六）本次会议的召开及表决符合《中华人民共和国公司法》等有关法律法规、规章和公司章程的规定。",2026-08-15T21:48:21.054119+08:00
gildata,AnnouncementData,盐津铺子2026年以来股东减持 高管减持公告,8,公告库,盐津铺子:2026年第一次临时股东会决议公告,0.69,"公告标题：盐津铺子:2026年第一次临时股东会决议公告；
发布时间：2026-01-07；
证券简称：盐津铺子
原文：盐津铺子食品股份有限公司
2026年第一次临时股东会决议公告
本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。
特别提示：
1、本次股东会未出现否决议案的情形；  
2、本次股东会不涉及变更以往股东会已通过的决议。
一、会议召开情况
（一）会议召开日期和时间：
现场会议时间为：2026 年 1 月 6 日下午 15:00
网络投票时间为：通过深圳证券交易所交易系统进行网络投票的具体时间为：2026 年 1 月 6 日上午 9:15—9:25，9:30—11:30，下午 13:00－15:00；通过深圳证券交易所互联网投票系统投票的具体时间为：2026 年 1 月 6 日（现场股东会召开当日）上午9:15 至当日下午15:00。
（二）现场会议召开地点：湖南省长沙市雨花区长沙大道运达中央广场写字楼A 座，盐津铺子食品股份有限公司总部行政会议室。
（三）会议召集人：盐津铺子食品股份有限公司董事会。
（四）会议召开方式：本次股东会采取现场投票与网络投票相结合的方式。
（五）会议主持人：董事长张学武先生。
（六）本次会议的召开及表决符合《中华人民共和国公司法》等有关法律法规、规章和公司章程的规定。
二、会议出席情况",2026-08-15T21:48:21.054119+08:00
gildata,AnnouncementData,盐津铺子2026年以来股东减持 高管减持公告,9,公告库,盐津铺子:关于公司股东部分股份质押的公告,0.67,"公告标题：盐津铺子:关于公司股东部分股份质押的公告；
发布时间：2026-07-11；
证券简称：盐津铺子
原文： 盐津铺子股东张学文于2026年7月9日将其持有的108万股公司股份办理质押手续，占其所持股份比例2.96%，占公司总股本比例0.40%，质押用途为个人资金需求，质押到期日为2027年7月11日，质权人为西南证券股份有限公司。 截至公告披露日，张学文及其一致行动人累计质押股份情况显示，张学文本次质押后其质押股份数量为858万股，占其所持股份比例23.50%，占公司总股本比例3.18%；公司总股本以2026年6月30日的270,187,439股为统计基准。 盐津铺子董事会公告明确，股东张学文具备资金偿还能力，本次质押股份不存在平仓或强制过户风险，质押风险可控，且不会导致公司实际控制权变更，也不会对公司生产经营、治理等产生影响。",2026-08-15T21:48:21.054119+08:00
gildata,AnnouncementData,盐津铺子2026年以来股东减持 高管减持公告,10,公告库,盐津铺子:关于回购注销部分限制性股票减少注册资本暨通知债权人的公告,0.67,"公告标题：盐津铺子:关于回购注销部分限制性股票减少注册资本暨通知债权人的公告；
发布时间：2026-01-07；
证券简称：盐津铺子
原文： 盐津铺子食品股份有限公司于2026年1月6日召开临时股东会，审议通过回购注销部分限制性股票议案，拟回购注销已获授但尚未解除限售的限制性股票共计119,000股。此次操作旨在完善股权激励计划的后续管理，确保激励对象与公司发展目标的长期一致性，符合公司治理规范及相关法律法规要求。 本次回购注销完成后，公司注册资本将由272,709,679元减少至272,590,679元，股份总数同步由272,709,679股减少至272,590,679股，减资规模较小，预计对公司整体资本结构和日常经营流动性影响有限，主要体现为每股净资产的微小提升及股权结构的微调优化。 根据《中华人民共和国公司法》规定，债权人自公告披露之日起45日内可依法要求公司清偿债务或提供担保，公司已在公告中明确申报债权的具体材料、时间窗口（每日9:00-11:30及13:30-17:00）及登记地点（长沙市雨花区长沙大道运达中央广场写字楼A座32楼），并指定张杨、吴瑜为联系人，联系电话0731-85592847，邮箱yjpzzqb@yanjinpuzi.com，以确保债权人权益得到充分保障，履行法定信息披露义务。",2026-08-15T21:48:21.054119+08:00
