vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,AnnouncementData,2026年半年度业绩预告中提到订单充足或产能利用率高的医药公司,1,公告库,中晶科技:2026年半年度业绩预告,0.96,"公告标题：中晶科技:2026年半年度业绩预告；
发布时间：2026-07-15；
证券简称：中晶科技
原文：浙江中晶科技股份有限公司披露2026年半年度业绩预告，报告期为2026年1月1日至6月30日，业绩同向上升。归属于上市公司股东的净利润预计为4000.00万元－4500.00万元，较上年同期的2573.66万元增长55.42%-74.85%；扣除非经常性损益后的净利润预计为3800.00万元－4300.00万元，较上年同期的2385.49万元增长59.30%-80.26%；基本每股收益预计为0.31元/股-0.35元/股，较上年同期的0.20元/股实现明显增长。本次业绩预告相关数据为公司财务部门初步测算结果，未经会计师事务所审计，但公司已就相关事项与会计师事务所进行初步沟通，双方不存在重大分歧。公司本次业绩同向上升主要有四方面原因：一是目前生产紧张、订单充足，通过提升稼动率保障交付；二是募投项目产能释放，增产上量且产品矩阵进一步丰富；三是持续精益管理，通过技术创新提升产品盈利能力；四是基于谨慎性原则计提资产减值损失。本次业绩预告仅为初步测算结果，具体财务数据将以公司正式披露的2026年半年度报告为准，提醒投资者谨慎决策并注意投资风险。",2026-08-13T11:21:36.939888+08:00
gildata,AnnouncementData,2026年半年度业绩预告中提到订单充足或产能利用率高的医药公司,2,公告库,百隆东方:百隆东方2026年半年度业绩预增公告,0.96,"公告标题：百隆东方:百隆东方2026年半年度业绩预增公告；
发布时间：2026-07-08；
证券简称：百隆东方
原文：百隆东方2026年半年度业绩预增公告显示，公司预计实现归属于上市公司股东的净利润5.07亿元至6.24亿元，较上年同期3.90亿元同比增长30.00%至60.00%，预计增加1.17亿元到2.34亿元。同时预计扣除非经常性损益的净利润为4.86亿元至5.94亿元，较上年同期3.60亿元同比增长35.00%到65.00%，预计增加1.26亿元到2.34亿元。本次业绩预增的核心原因为2026年上半年订单饱满，产能利用率提升，上半年销量持续增长，主营业务利润增加。本次业绩预告尚未经会计师事务所审计，最终财务数据以正式披露的2026年半年报为准，不存在影响预告准确性的重大不确定因素。",2026-08-13T11:21:36.939888+08:00
gildata,AnnouncementData,2026年半年度业绩预告中提到订单充足或产能利用率高的医药公司,3,公告库,德赛电池:2026年半年度业绩预告,0.96,"公告标题：德赛电池:2026年半年度业绩预告；
发布时间：2026-07-14；
证券简称：德赛电池
原文： 深圳市德赛电池科技股份有限公司发布2026年半年度业绩预告，预告区间为2026年1月1日至2026年6月30日，预计公司本期业绩净利润为正值，同比同向大幅上升。归属于上市公司股东的净利润预计区间为19700万元至22000万元，较上年同期的9754.53万元增长101.96%至125.54%；扣除非经常性损益后的净利润预计区间为16500万元至18500万元，较上年同期的6637.36万元增长148.59%至178.73%；基本每股收益预计区间为0.5122元/股至0.5720元/股，上年同期为0.2536元/股，每股收益实现翻倍增长。本次业绩预告相关财务数据未经会计师事务所审计，属于公司财务部门初步测算结果，具体财务数据将在正式半年度报告中详细披露。 本次德赛电池半年度业绩大幅增长的核心原因是公司两大战略新兴业务储能电芯、SIP（系统级封装）经营情况向好：储能电芯业务当前订单充足，产能利用率处于较高水平，经营情况大幅改善，已经实现扭亏为盈；SIP业务毛利率有所提升，整体盈利水平得到持续优化。 本次业绩预告发布后，公司提示投资者本次数据为初步测算结果，提醒广大投资者谨慎决策，注意投资风险。",2026-08-13T11:21:36.939888+08:00
gildata,AnnouncementData,2026年半年度业绩预告中提到订单充足或产能利用率高的医药公司,4,公告库,恒兴新材:2026年半年度业绩预告,0.95,"公告标题：恒兴新材:2026年半年度业绩预告；
发布时间：2026-07-14；
证券简称：恒兴新材
原文： 江苏恒兴新材料科技股份有限公司发布2026年半年度业绩预告，预计报告期内实现归属于母公司所有者的净利润区间为4200万元到5000万元，较上年同期增加1288.49万元到2088.49万元，同比增速达到44.26%到71.73%；同时预计扣除非经常性损益后的归属于母公司所有者净利润区间为3700万元到4500万元，较上年同期增加1343.29万元到2143.29万元，同比增速达到57.00%到90.94%，本次业绩预告尚未经会计师事务所审计。 江苏恒兴新材上年同期归属于母公司所有者的净利润为2911.51万元，扣除非经常性损益后净利润为2356.71万元，利润总额3339.46万元，上年同期每股收益为0.14元。本次半年度业绩预增主要受多重因素推动：2026年上半年国内精细化工行业整体平稳复苏，下游涂料、医药、食品添加剂、电子化学品等终端应用领域市场需求稳步回暖，行业供需格局逐步向好，为公司经营提供了有利的外部环境；公司把握行业复苏契机，合理统筹生产计划，深化全流程生产精细化管理，通过设备技改、工艺优化、能耗管控等举措提升核心生产装置运行效率，推动产品产销量同比明显增长，各生产基地产能利用率持续改善，生产经营规模有序扩张；同时公司坚持产品结构优化升级，加大高附加值、高毛利核心精细化工产品的市场拓展，其中有机酯、有机酮领域的多个高端特色产品契合下游高端制造、食品香料、医药中间体领域增量需求，订单充足，销量同比增速突出。目前公司不存在影响本次业绩预告准确性的重大不确定因素，预告数据为初步核算数据，具体准确财务数据以正式披露的半年度报告为准。",2026-08-13T11:21:36.939888+08:00
gildata,AnnouncementData,2026年半年度业绩预告中提到订单充足或产能利用率高的医药公司,5,公告库,金城医药:山东金城医药集团股份有限公司2026年半年度业绩预告,0.97,"公告标题：金城医药:山东金城医药集团股份有限公司2026年半年度业绩预告；
发布时间：2026-07-06；
证券简称：金城医药
原文：山东金城医药集团股份有限公司2026年半年度业绩预告
本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。
一、本期业绩预计情况
1、业绩预告期间：2026 年 1 月 1 日至 2026 年 6 月 30 日。
2、业绩预告情况：预计净利润为正值且属于同向上升情形。
单位：万元
| 项目 | 本报告期 | 上年同期 |
| --- | --- | --- |
| 归属于上市公司股东的净利润 | 11,000.00～14,000.00 | 4,338.32 |
|  | 比上年同期增长153.55%～222.71% |  |
| 扣除非经常性损益后的净利润 | 6,000～8,000 | 3,873.05 |
|  | 比上年同期增长54.92%～106.56% |  |
二、与会计师事务所沟通情况
本业绩预告相关的财务数据未经注册会计师审计，敬请投资者注意投资风险。
三、业绩变动原因说明
报告期内，公司归属于上市公司股东的净利润较上年同期增长，主要原因如下：1、中间体板块部分产品销量较去年同期增加，产能利用率提高，产品成本下降。2、全资子公司北京金城泰尔制药有限公司完成“普罗雌烯阴道用软胶囊生产技术及上市许可持有人权益”转让，增加了非经常性损益。3、公司持续加大技术创新，开展“揭榜挂帅”等内部挖潜项目，提质增效。
报告期内，公司预计非经常性损益对归属于上市公司股东净利润的影响金额在 5,000 万元～6,000 万元之间。
四、其他相关说明
本次业绩预告相关财务数据是公司财务部门初步测算的结果，未经审计机构审计，具体财务数据公司将在2026 年半年度报告中详细披露。敬请广大投资者谨慎决策，注意投资风险。
特此公告。
山东金城医药集团股份有限公司董事会2026 年 7 月 6 日",2026-08-13T11:21:36.939888+08:00
gildata,AnnouncementData,2026年半年度业绩预告中提到订单充足或产能利用率高的医药公司,6,公告库,药康生物:药康生物2026年半年度业绩预告的自愿性披露公告,0.95,"公告标题：药康生物:药康生物2026年半年度业绩预告的自愿性披露公告；
发布时间：2026-07-22；
证券简称：药康生物
原文：江苏集萃药康生物科技股份有限公司发布2026年半年度业绩预告，预计2026年1-6月实现归属于母公司所有者的净利润10400万元至11400万元，同比增加46.67%至60.78%；扣非净利润9200万元至10000万元，同比增加46.20%至58.92%。公司2025年半年度归属于母公司所有者的净利润为7090.55万元，扣非净利润为6292.54万元，本次业绩预告同比实现大幅增长。本次业绩增长主要源于三方面动力：一是海外市场完成北美、欧洲、亚太核心区域覆盖，高毛利收入保持较快增长；二是国内生物医药行业景气度回升，工业客户研发投入增强，功能药效业务板块收入提速；三是新建生产设施产能利用率提升释放规模效应，叠加精细化成本管控推动毛利率稳步提升、期间费用率下降。",2026-08-13T11:21:36.939888+08:00
gildata,AnnouncementData,2026年半年度业绩预告中提到订单充足或产能利用率高的医药公司,7,公告库,富乐德:2026年半年度业绩预告,0.94,"公告标题：富乐德:2026年半年度业绩预告；
发布时间：2026-07-24；
证券简称：富乐德
原文：安徽富乐德科技发展股份有限公司
2026 年半年度业绩预告
本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。
一、本期业绩预计情况
1、业绩预告期间：2026 年 1 月 1 日至 2026 年 6 月 30 日。
2、业绩预告情况：预计净利润为正值且属于同向上升情形
（1）以区间数进行业绩预告的
单位：万元

| 项目 | 本报告期 |  |  |  | 上年同期 |
| --- | --- | --- | --- | --- | --- |
| 归属于上市公司股东的净利润 | 18,185 |  | ~ | 22,185 | 11,464.34 |
|  | 比上年同期增长 | 58.62% | ~ | 93.51% |  |
| 扣除非经常性损益后的净利润 | 12,799 |  | ~ | 16,799 | 4,741.66 |
|  | 比上年同期增长 | 169.93% | ~ | 254.29% |  |
二、与会计师事务所沟通情况
本次业绩预告相关的财务数据未经会计师事务所审计。
三、业绩变动原因说明
2026年上半年度，公司净利润快速提升的主要原因系：
1、报告期内，国内晶圆制造企业持续推进产能建设，AI芯片需求等推动设备投资大幅增加，半导体扩产周期拉动洗净服务等需求同步增长；公司各生产基地产能逐步释放，在产能利用率维持高位的规模效应驱动下，公司盈利能力得到较大提升。同时，受益于人工智能技术发展及全球算力需求提升，数据中心建设进程加速，推动公司 DPC等新产品市场需求快速增长。
2、公司于 2025年 7月完成同一控制下收购江苏富乐华半导体科技股份有限公司（简称 “富乐华”）100%股权的重大资产重组。上年同期的财务数据变动指标受会计准则追溯调整影响。其中：归属于上市公司股东的净利润上年同期数（调整后）为富乐德洗净事业群上年度实现的归属于上市公司股东的净利润，并追溯合并富乐华上一年度归属于原控股股东上海申和投资有限公司的净利润数。同时，根据企业会计准则相关规定，去年上半年（即合并日前）富乐华实现的净利润均为非经常性损益。
四、其他相关说明
本次业绩预告数据是公司财务部初步测算的结果，具体财务数据公司将在 2026年半 年度报告中详细披露。敬请广大投资者谨慎决策，注意投资风险。
特此公告。
安徽富乐德科技发展股份有限公司董事会
2026 年 07 月 24 日",2026-08-13T11:21:36.939888+08:00
gildata,AnnouncementData,2026年半年度业绩预告中提到订单充足或产能利用率高的医药公司,8,公告库,美迪西:2026年半年度业绩预增公告,0.94,"公告标题：美迪西:2026年半年度业绩预增公告；
发布时间：2026-07-20；
证券简称：美迪西
原文：三、本期业绩变化的主要原因
公司 2026 年半年度利润实现扭亏为盈，归母净利润预计同比增加 5,490 万元到 7,590 万元，同比增长 425.62%至 588.43%，盈利能力逐步提升。主要系全球创新药研发需求呈明显回暖态势，市场需求增长带动业务量与定价同步向好，充足的订单储备为业绩良性增长奠定了坚实基础，公司依托临床前一体化综合研发平台的核心竞争力，持续深耕国内外市场，提升项目实施与交付的效率，营业收入实现同比增长约40%；产能利用率提升有效摊薄单位固定成本，持续优化成本结构；同时，公司持续深化提质增效管理，推动人效稳步提升，上述多重因素共同推动综合毛利率稳步提升。
四、风险提示
本次业绩预告是公司财务部门基于自身专业判断进行的初步核算，未经注册会计师审计。公司尚未发现影响本次业绩预告内容准确性的重大不确定因素。
五、其他说明事项
以上预告数据仅为初步核算数据，具体准确的财务数据以公司正式披露的2026年半年度报告为准，敬请广大投资者注意投资风险。
特此公告。
上海美迪西生物医药股份有限公司董事会
2026 年 7 月 20 日",2026-08-13T11:21:36.939888+08:00
gildata,AnnouncementData,2026年半年度业绩预告中提到订单充足或产能利用率高的医药公司,9,公告库,安达科技:2026年半年度业绩预告公告,0.94,"公告标题：安达科技:2026年半年度业绩预告公告；
发布时间：2026-07-17；
证券简称：安达科技
原文：贵州安达科技能源股份有限公司发布2026年半年度业绩预告，2026年1月1日至6月30日归属于上市公司股东的净利润预计为14000.00~18000.00万元，较上年同期的-16827.37万元，变动比例区间为183.20%~206.97%，实现扭亏为盈。本次业绩大幅改善主要得益于新能源汽车与储能行业市场需求双轮驱动，锂电池正极材料下游市场景气度上行，公司磷酸铁锂产品的销售规模、销售价格及产能利用率较上年同期大幅提升，产品盈利空间显著修复。同时，公司本期计提的存货减值准备较上年同期减少，叠加产品及主要原材料价格同比上涨的利好因素，共同推动了2026年上半年净利润实现扭亏为盈。本次业绩预告相关数据仅为公司财务部门初步测算结果，未经会计师事务所审计，具体财务数据需以公司2026年半年度报告披露为准，提醒投资者注意投资风险。",2026-08-13T11:21:36.939888+08:00
gildata,AnnouncementData,2026年半年度业绩预告中提到订单充足或产能利用率高的医药公司,10,公告库,中晶科技:2026年半年度业绩预告,0.94,"公告标题：中晶科技:2026年半年度业绩预告；
发布时间：2026-07-15；
证券简称：中晶科技
原文：浙江中晶科技股份有限公司2026 年半年度业绩预告
本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。
一、本期业绩预计情况
1、业绩预告期间
2026 年 1 月 1 日——2026 年 6 月 30 日
2、业绩预告情况：同向上升 
| 项目 归属于上市公司股东 的净利润 | 本报告期 | 上年同期 |
| --- | --- | --- |
|  | 盈利：4,000.00万元－4,500.00万元 | 盈利：2，573.66万元 |
|  | 比上年同期增长：55.42%-74.85% 盈利：3,800.00万元－4,300.00万元 扣除非经常性损益后 |  |
| 的净利润 基本每股收益 | 比上年同期增长：59.30%-80.26% 盈利：0.31元/股-0.35元/股 | 盈利：2，385.49万元 盈利：0.20元/股 |
二、与会计师事务所沟通情况
本次业绩预告相关数据是公司财务部门初步测算的结果，未经会计师事务所审计。但公司已就业绩预告相关事项与会计师事务所进行了初步沟通，双方不存在重大分歧。
三、业绩变动原因说明
公司预计2026 年半年度业绩变动主要原因是：
1、公司目前生产紧张、订单充足，通过提升稼动率保障交付；
2、公司募投项目产能释放，增产上量，产品矩阵进一步丰富；
3、公司持续精益管理，通过技术创新不断提升产品盈利能力；  
4、公司基于谨慎性原则，按照相关规定计提资产减值损失。
四、风险提示
本次业绩预告是公司财务部门初步测算的结果，未经会计师事务所审计，具体财务数据将以公司披露的2026 年半年度报告为准。敬请广大投资者谨慎决策，注意投资风险。
特此公告。
浙江中晶科技股份有限公司董事会2026 年 7 月 15 日",2026-08-13T11:21:36.939888+08:00
