vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,AnnouncementData,2026年半年报业绩预告或半年报中提到行业高景气度、景气度上行、净利润同比大幅增长的A股消费公司公告,1,公告库,益生股份:2026年半年度业绩预告,0.97,"公告标题：益生股份:2026年半年度业绩预告；
发布时间：2026-07-01；
证券简称：益生股份
原文： 山东益生种畜禽股份有限公司发布2026年半年度业绩预告，预计2026年1-6月归属于上市公司股东的净利润为27000万元-30000万元，较上年同期的615.51万元同比增长4286.61%-4774.01%；扣非后净利润为26800万元-29800万元，同比增长7858.66%-8749.56%，基本每股收益预计为0.19元/股-0.21元/股。 本次业绩大幅增长主要源于白羽肉鸡行业景气度上行，公司主营白羽肉鸡业务实现量价齐升。2025年公司祖代白羽肉鸡引种量同比增加，带动本期父母代鸡苗销量大幅增长，同时国内行业供给偏紧推动父母代鸡苗价格连续三季度逐季攀升并维持高位，商品代白羽肉鸡苗销售均价同比上涨，共同推高业务利润。 行业层面，我国祖代白羽肉鸡种源依赖进口，2024年底以来美、新等传统引种渠道受禽流感影响受阻，2025年底法国禽流感进一步冲击供给，2026年1-5月国内无境外引种增量，依据养殖周期传导规律，行业供给偏紧格局将持续，后续父母代鸡苗价格仍有上行空间，白羽肉鸡行业高景气度有望延续。 公司内部通过推进精细化管理、提质增效、强化生物安全等举措提升种鸡生产性能，同时加速种猪业务产能释放，进一步拓宽业绩增长空间。",2026-08-15T21:20:21.473479+08:00
gildata,AnnouncementData,2026年半年报业绩预告或半年报中提到行业高景气度、景气度上行、净利润同比大幅增长的A股消费公司公告,2,公告库,鼎龙股份:2026年半年度业绩预告,0.95,"公告标题：鼎龙股份:2026年半年度业绩预告；
发布时间：2026-07-10；
证券简称：鼎龙股份
原文： 湖北鼎龙控股股份有限公司发布2026年半年度业绩预告，预计2026年1-6月归属于上市公司股东的净利润为51000~54000万元，同比增长63.96%~73.61%；扣除非经常性损益后的净利润为48300~51300万元，同比增长64.42%~74.64%，业绩实现同向大幅上升。 公司预计2026年上半年营业收入达19.25亿元，同比增长约11%，业绩增长主要得益于半导体材料板块行业景气度上行，多品类产品放量增长。其中CMP抛光液及清洗液营收同比增长63%，实现规模盈利约4700万元，6月单月销售额突破4000万元创历史新高；CMP抛光垫营收同比增长57%，6月单月出货首次突破5万片；高端晶圆光刻胶累计获得约1000加仑采购订单，近30款产品向客户送样验证，国产替代进程提速。 公司通过优化产业布局增厚盈利水平，新并购的深圳皓飞上半年度（3-6月并表口径）营收同比增长约60%，仙桃产业园负极粘结剂开始少量出货，同时剥离打印耗材终端业务后资源全面聚焦半导体核心材料主业，整体盈利能力持续加强。",2026-08-15T21:20:21.473479+08:00
gildata,AnnouncementData,2026年半年报业绩预告或半年报中提到行业高景气度、景气度上行、净利润同比大幅增长的A股消费公司公告,3,公告库,风华高科:公司2026年半年度业绩预告,0.94,"公告标题：风华高科:公司2026年半年度业绩预告；
发布时间：2026-07-11；
证券简称：风华高科
原文：广东风华高新科技股份有限公司发布2026年半年度业绩预告，预计2026年1-6月归属于上市公司股东的净利润为27000万元-30000万元，较上年同期的16682.90万元同比上升61.84%-79.82%；扣除非经常性损益后的净利润为26500万元-29500万元，较上年同期的17034.60万元同比上升55.57%-73.18%，基本每股收益预计为0.24元/股-0.26元/股，上年同期为0.15元/股。本次业绩预告为公司初步测算结果，未经会计师事务所审计，最终财务数据将在2026年半年度报告中正式披露。本次业绩大幅上升主要得益于电子元器件行业景气度上行，公司主营产品MLCC、片式电阻器、电感器市场需求持续增长，销量及单价同比上升；同时公司通过推进极致降本、高效创新等专项工作，有效对冲了原材料价格上涨、汇率波动等不利影响，企业核心竞争力和发展韧性持续增强。",2026-08-15T21:20:21.473479+08:00
gildata,AnnouncementData,2026年半年报业绩预告或半年报中提到行业高景气度、景气度上行、净利润同比大幅增长的A股消费公司公告,4,公告库,信德新材:2026年半年度业绩预告,0.94,"公告标题：信德新材:2026年半年度业绩预告；
发布时间：2026-07-11；
证券简称：信德新材
原文：辽宁信德新材2026年半年度业绩预告显示，公司预计归属于上市公司股东的净利润区间为6500万元至7500万元，较上年同期的981.37万元同比增长562.34%至664.24%；扣非后净利润区间为4600万元至5600万元，较上年同期的-377.81万元同比增长1317.54%至1582.23%。本次业绩预告相关财务数据为公司财务部门初步测算结果，未经会计师事务所审计，最终数据以正式半年度报告披露为准。2026年半年度业绩同比大幅增长主要源于三方面驱动因素：一是新能源行业景气度上行，动力电池、储能需求放量带动负极包覆材料市场需求旺盛，公司凭借行业龙头地位、头部客户资源及“黄金三角”产能保障实现出货量同比较大增长；二是公司加大高端产品排产交付，中高温、高温系列包覆产品出货占比提升，拉动营收与综合毛利率改善；三是副产品下游需求增强，出货量和销售价格双升带来额外营收与利润增量。",2026-08-15T21:20:21.473479+08:00
gildata,AnnouncementData,2026年半年报业绩预告或半年报中提到行业高景气度、景气度上行、净利润同比大幅增长的A股消费公司公告,5,公告库,扬杰科技:2026年半年度业绩预告,0.93,"公告标题：扬杰科技:2026年半年度业绩预告；
发布时间：2026-07-20；
证券简称：扬杰科技
原文： 扬州扬杰电子科技股份有限公司发布2026年半年度业绩预告，预告区间为2026年1月1日至6月30日，预计本期业绩实现同向上升，归属于上市公司股东的净利润盈利区间为72161.42万元至84188.32万元，较上年同期的60134.52万元同比增长20.00%至40.00%；扣除非经常性损益后的净利润盈利区间为69993.78万元至82020.68万元，较上年同期的55903.07万元同比增长25.21%至46.72%，本次业绩预告为公司财务部门初步测算结果，尚未经审计机构审计。 本次业绩增长的核心行业背景是2026年上半年功率半导体行业受益于AI服务器、新能源汽车、光储等下游领域需求爆发，叠加8英寸成熟制程产能紧缺，行业呈现景气度上行、量价齐升的发展态势，为扬杰科技的业绩增长提供了有利的行业环境。 扬杰科技自身经营层面也为业绩增长提供了支撑，报告期内公司聚焦主业，落实产品领先战略，通过持续研发投入完善高附加值产品矩阵，带动公司整体营业收入同比增长约30%；其中汽车电子业务收入同比增长超100%，SiC业务收入同比增长近翻倍。同时公司持续推进精益生产与全流程精细化管控，有效对冲原材料成本上涨的压力，最终推动业绩稳健增长。此外，本期预计非经常性损益对净利润的影响金额为2000万元至2500万元，具体财务数据将在正式2026年半年度报告中披露。",2026-08-15T21:20:21.473479+08:00
gildata,AnnouncementData,2026年半年报业绩预告或半年报中提到行业高景气度、景气度上行、净利润同比大幅增长的A股消费公司公告,6,公告库,好上好:2026年半年度业绩预告,0.92,"公告标题：好上好:2026年半年度业绩预告；
发布时间：2026-07-14；
证券简称：好上好
原文： 深圳市好上好信息科技股份有限公司发布2026年半年度业绩预告，预告期间为2026年1月1日至6月30日，业绩预计同向上升，归属于上市公司股东的净利润预计盈利13500万元至16000万元，较上年同期的3361.14万元增长301.65%至376.03%；扣除非经常性损益后的净利润预计盈利13350万元至15850万元，较上年同期的3216.24万元增长315.08%至392.81%；基本每股收益预计盈利0.31元/股至0.38元/股，上年同期为0.31元/股至0.38元/股。本次业绩预告为公司财务部门初步核算结果，未经注册会计师审计，公司已与会计师事务所预沟通，双方就业绩预告相关财务数据不存在重大分歧。 好上好本次业绩大幅预增主要源于两方面驱动因素，一是2026年上半年电子行业景气度向好，带动客户整体需求增长，公司销售规模同步扩张。其中消费电子领域业务收入保持稳健增长，汽车电子、新能源及机器人等领域受益于行业智能化发展趋势，业务收入较去年同期提升幅度明显。二是毛利率相对较高的部分产品线销售额同比实现增加，综合推动公司整体毛利水平提升。本次业绩预告数据为初步测算结果，具体财务数据将在公司2026年半年度报告中正式披露，公司提示广大投资者谨慎决策，注意投资风险。",2026-08-15T21:20:21.473479+08:00
gildata,AnnouncementData,2026年半年报业绩预告或半年报中提到行业高景气度、景气度上行、净利润同比大幅增长的A股消费公司公告,7,公告库,益生股份:2026年半年度业绩预告,0.93,"公告标题：益生股份:2026年半年度业绩预告；
发布时间：2026-07-01；
证券简称：益生股份
原文：三、业绩变动原因说明
报告期内，公司预计实现归属于上市公司股东的净利润为27,000.00 万元-30,000.00 万元，业绩大幅增长主要系白羽肉鸡行业景气度上行，公司主营的白羽肉鸡业务量价齐升，整体盈利水平实现显著增长所致。
从经营层面来看，2025 年公司祖代白羽肉鸡引种量同比增加，带动本期父母代鸡苗销量同比大幅增长。同时，国内白羽肉鸡行业整体供给格局持续偏紧，推动公司父母代白羽鸡苗价格连续三个季度逐季攀升并维持高位运行，父母代鸡苗业务成为公司本期主要利润来源；同时，公司商品代白羽肉鸡苗销售均价同比上涨，盈利水平亦提升。以上因素共同推动公司白羽肉鸡业务整体利润大幅增长。
从行业供给来看，我国祖代白羽肉鸡种源主要依赖进口。自2024年底开始，美国、新西兰等传统引种渠道因高致病性禽流感受阻；2025年底法国禽流感进一步冲击行业引种供给，导致 2026 年 1-5 月国内祖代白羽肉鸡无境外引种增量。依据养殖周期传导规律，祖代种鸡供给收缩将在7 个月后传导至父母代种鸡环节，进而影响后续商品代鸡苗产量，行业供给偏紧格局将持续，据此判断，后续父母代鸡苗价格仍有上行空间，白羽肉鸡行业高景气度有望延续。
立足行业上行周期，公司紧抓白羽肉鸡上游种源业务高景气机遇，内部持续推进精细化管理模式，开展提质增效专项工作，强化生物安全与疫病净化等举措，有效提升种鸡生产性能与养殖成效，巩固核心业务竞争优势。同时，公司加速推进种猪业务产能释放，持续落地提质增效各项经营举措，优化产品品质、夯实种源产品核心竞争力，进一步拓宽公司业绩增长空间，为公司持续稳定发展提供有力支撑。
四、风险提示
本次业绩预告是公司财务部门初步测算的结果，具体财务数据将在公司2026 年半年度报告中详细披露。
敬请广大投资者谨慎决策，注意投资风险。
特此公告。
山东益生种畜禽股份有限公司
董事会
2026 年 7 月 1 日",2026-08-15T21:20:21.473479+08:00
gildata,AnnouncementData,2026年半年报业绩预告或半年报中提到行业高景气度、景气度上行、净利润同比大幅增长的A股消费公司公告,8,公告库,风华高科:公司2026年半年度业绩预告,0.92,"公告标题：风华高科:公司2026年半年度业绩预告；
发布时间：2026-07-11；
证券简称：风华高科
原文：广东风华高新科技股份有限公司2026 年半年度业绩预告
公司及董事会全体成员保证信息披露内容的真实、准确、完整，没有虚假记载、误导性陈述或者重大遗漏。
一、本期业绩预计情况
（一）业绩预告期间：2026 年 1 月 1 日至 2026 年 6 月 30 日
（二）业绩预告情况：扭亏为盈 同向上升 同向下降
| 项目 | 本报告期 | 上年同期 |
| --- | --- | --- |
| 股东的净利润 | 盈利：27，000万元-30,000万元 | 盈利：16.682.90万元 |
|  | 比上年同期上升：61.84%-79.82% |  |
| 扣除非经常性损 益后的净利润 | 盈利：26.500万元-29.500万元 | 盈利：17.034.60万元 |
|  | 比上年同期上升：55.57%-73.18% |  |
| 基本每股收益 | 盈利：0.24元/股-0.26元/股 | 盈利：0.15元/股 |
二、与会计师事务所沟通情况
本次业绩预告相关数据为公司初步测算的结果，未经会计师事务所审计。
三、业绩变动原因说明
（一）报告期，得益于电子元器件行业景气度持续上行，公司MLCC、片式电阻器、电感器等主营产品市场需求持续增长，公司集中资源聚焦高端转型和新兴市场开拓，主营产品销量及单价同比上升。
（二）2026 年，公司持续推进极致降本、高效创新、新兴市场开拓、全面质量管理等专项工作，有效降低原材料价格上涨、汇率波动等不利因素的影响，企业发展韧性和核心竞争力持续增强。公司报告期归属于上市公司股东的净利润和扣除非经常性损益后的净利润同比大幅增长。
四、风险提示
（一）本次业绩预告为公司初步测算结果，具体财务数据将在公司2026年半年度报告中详细披露
（二）公司指定的信息披露媒体为《中国证券报》、《证券时报》和巨潮资讯网（www.cninfo.com.cn），相关信息请查阅公司在上述媒体披露的公告。敬请广大投资者注意投资风险。
特此公告。
广东风华高新科技股份有限公司董事会2026年7月11日",2026-08-15T21:20:21.473479+08:00
gildata,AnnouncementData,2026年半年报业绩预告或半年报中提到行业高景气度、景气度上行、净利润同比大幅增长的A股消费公司公告,9,公告库,多氟多:2026年半年度业绩预告,0.92,"公告标题：多氟多:2026年半年度业绩预告；
发布时间：2026-07-11；
证券简称：多氟多
原文： 多氟多新材料股份有限公司发布2026年半年度业绩预告，预告期间为2026年1月1日至6月30日，本次预告相关财务数据未经注册会计师审计，公司与会计师事务所在业绩预告方面不存在重大分歧，具体财务数据以正式披露的半年报为准。 本次业绩预计归属于上市公司股东的净利润盈利45000万元-56000万元，上年同期盈利5133.02万元，同比增长776.68%-990.98%；扣除非经常性损益后的净利润盈利43385万元-54385万元，上年同期亏损480.93万元；基本每股收益盈利0.38元/股-0.47元/股，上年同期盈利0.0441元/股，整体业绩属于净利润为正值的同向上升情形，同比增长幅度极大。 本次业绩大幅增长主要来自三方面驱动因素：一是新能源行业景气度持续向好，储能市场、新能源汽车等下游客户需求稳步增长，多氟多核心产品六氟磷酸锂受益于行业供需格局优化，销量和价格同比均实现显著回升，同时公司凭借与优质客户的长期稳定合作巩固了市场份额，依托上游原材料一体化布局为整体盈利提供了坚实支撑；二是公司新能源电池业务深度绑定各细分赛道头部企业，2026年上半年产销量实现大幅增长，再加上全产业链精细化成本管控，产品毛利水平显著提升，多重因素共同推动公司上半年经营业绩实现同比大幅增长。本次业绩预告为公司财务部门初步测算结果，存在一定调整风险，提示投资者谨慎决策注意投资风险。",2026-08-15T21:20:21.473479+08:00
gildata,AnnouncementData,2026年半年报业绩预告或半年报中提到行业高景气度、景气度上行、净利润同比大幅增长的A股消费公司公告,10,公告库,天原股份:天原股份2026年半年度业绩预告,0.91,"公告标题：天原股份:天原股份2026年半年度业绩预告；
发布时间：2026-07-14；
证券简称：天原股份
原文： 宜宾天原集团股份有限公司发布2026年半年度业绩预告，预告区间为2026年1月1日至2026年6月30日，预计本期业绩为净利润正值且同向上升。其中归属于上市公司股东的净利润预计区间为18000万元-23000万元，较上年同期的1663.85万元增长981.39%-1282.34%；扣除非经常性损益后的净利润预计区间为17500万元-22500万元，上年同期为-1586.06万元，同比增长1203.36%-1518.61%；基本每股收益预计区间为0.1383元/股-0.1767元/股，上年同期为0.0128元/股。本次业绩预告相关数据为公司财务部门初步测算结果，未经会计师事务所预审计，公司已与会计师事务所预沟通，双方不存在重大分歧，具体财务数据需以正式披露的2026年半年度报告为准。 本次业绩大幅增长主要来源于三大业务板块的共同拉动：第一，新能源行业景气度持续上行，下游需求增长带动公司新能源板块产能释放，产销量较上年同期大幅增长，规模效应显现，叠加产品市场价格持续上行，共同拉动产品毛利率提升，新能源板块已经成为天原股份收入和利润的重要增长极；第二，钛化工产品产销量稳步提升，公司成本控制成效显著，钛化工板块效益有所增加；第三，磷矿石产能进一步释放，产量较上年同期增长明显，该板块盈利显著提升。",2026-08-15T21:20:21.473479+08:00
