vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,AnnouncementData,2026年半年报业绩预告中提到业绩超预期、销量超预期、市场拓展超预期的A股公司公告,1,公告库,力量钻石:2026年半年度业绩预告,0.86,"公告标题：力量钻石:2026年半年度业绩预告；
发布时间：2026-07-10；
证券简称：力量钻石
原文： 河南省力量钻石发布2026年半年度业绩预告，预告区间为2026年1月1日至6月30日，公司预计本期业绩实现同向大幅上升，相关数据为公司财务部初步测算结果，未经会计师事务所审计，具体数据将在正式半年度报告中披露。本次预告披露了核心财务业绩区间：预计营业收入达到42000万元至45000万元，较上年同期的24190.87万元增长73.62%至86.02%；归属于上市公司股东的净利润预计盈利8000万元至9300万元，较上年同期的2591.42万元增长208.71%至258.88%；扣除非经常性损益后的净利润预计盈利5500万元至6500万元，较上年同期的469.96万元大幅增长1070.32%至1283.11%，三项核心指标均实现翻倍以上级别的同比增长，业绩增长幅度远超市场常规预期。 本次业绩大幅增长的核心驱动因素已经明确，主要来自两方面：一是公司在超大颗粒金刚石单晶合成、晶体高效生长等关键技术研发领域取得了突破性进展，技术突破带动产品竞争力提升，为产品销量增长奠定了基础；二是当前培育钻石原石出口市场持续向好，外部市场需求提振叠加自身技术优势，共同带动公司产品销售额实现大幅增长，推动整体业绩同比大幅提升。",2026-08-15T21:22:41.929727+08:00
gildata,AnnouncementData,2026年半年报业绩预告中提到业绩超预期、销量超预期、市场拓展超预期的A股公司公告,2,公告库,仙坛股份:2026年半年度业绩预告,0.86,"公告标题：仙坛股份:2026年半年度业绩预告；
发布时间：2026-07-14；
证券简称：仙坛股份
原文： 山东仙坛股份2026年半年度业绩预告显示，报告期内（2026年1月1日至6月30日）公司业绩同向上升，归属于上市公司股东的净利润预计盈利17000万元-18100万元，较上年同期增长24.33%-32.37%，上年同期盈利13673.42万元；扣除非经常性损益后的净利润预计盈利17300万元-18400万元，较上年同期增长39.95%-48.84%，上年同期盈利12361.93万元；基本每股收益预计为0.1976元/股-0.2103元/股，上年同期为0.1589元/股，三项核心盈利指标均较上年同期实现明显提升。 本次业绩预告相关财务数据尚未经过会计师事务所审计，业绩增长主要来自公司调理品业务的拓展：目前仙坛股份调理品一期、二期工程项目的研发、品牌建设与销售市场已稳步推进，调理品生产产能逐步释放，生产加工数量逐步增长，带动销售数量和销售收入同步提升。 除了产能与销量扩张，公司还通过多项举措增厚经营利润：公司持续迭代新品丰富产品结构，加大品牌宣传力度，拓展餐饮、商超、团餐多元销售渠道，同时依托自身全产业链优势推进精细化运营，通过优化饲料配方、提升养殖产出、升级加工工艺等方式，有效控制了原材料及生产加工成本，进一步推动盈利增长。 本次业绩预告为公司财务部门初步核算结果，具体财务数据将在2026年半年度报告中详细披露，公司提醒广大投资者审慎决策，注意投资风险。",2026-08-15T21:22:41.929727+08:00
gildata,AnnouncementData,2026年半年报业绩预告中提到业绩超预期、销量超预期、市场拓展超预期的A股公司公告,3,公告库,中伟新材:2026年半年度业绩预告,0.85,"公告标题：中伟新材:2026年半年度业绩预告；
发布时间：2026-07-13；
证券简称：中伟新材
原文：中伟新材2026年半年度业绩预告显示，公司预计归属于上市公司股东的净利润为125000-135000万元，较上年同期的73277.46万元实现同向上升，扣除非经常性损益后的净利润预计为120000-130000万元。报告期内公司核心产品合计销量突破25万吨，其中三元前驱体上半年销量同比增长超50%，综合毛利率保持平稳，行业领军地位进一步夯实；磷系材料销量同比增长超25%，实现扭亏为盈，盈利弹性显著释放；钠电前驱体材料销量维持高增长，持续保持行业领先。公司“资源+冶炼+材料”全产业链一体化优势持续深化，上游资源布局成效显著，红土镍矿投资收益稳步增厚，印尼火法镍冶炼项目凭借成本优势对冲当地政策变动，维持优异盈利水平，各业务板块协同发力构筑起经营安全边际与抗周期韧性。",2026-08-15T21:22:41.929727+08:00
gildata,AnnouncementData,2026年半年报业绩预告中提到业绩超预期、销量超预期、市场拓展超预期的A股公司公告,4,公告库,四方达:2026年半年度业绩预告,0.84,"公告标题：四方达:2026年半年度业绩预告；
发布时间：2026-07-20；
证券简称：四方达
原文：河南四方达超硬材料股份有限公司发布2026年半年度业绩预告，预计2026年1-6月归属于上市公司股东的净利润为7250.23万元至9425.29万元，较上年同期的5321.84万元同比增长36.24%至77.11%，扣非净利润预计为6543.83万元至8506.98万元，同比增长72.38%至124.09%，业绩同向上升。本次业绩预告数据为公司财务部门初步测算结果，尚未经会计师事务所审计，最终详细财务数据将在2026年半年度报告中正式披露。本次业绩增长主要源于两方面，一是公司在夯实基本业务的同时积极拓展新市场，子公司CVD金刚石业务板块放量成为新的业绩增长点；二是公司持续推进降本增效，优化经营管理与资源配置，经营质量稳步提升，实现营业收入与利润双增长。",2026-08-15T21:22:41.929727+08:00
gildata,AnnouncementData,2026年半年报业绩预告中提到业绩超预期、销量超预期、市场拓展超预期的A股公司公告,5,公告库,苏州龙杰:2026年半年度业绩预增公告,0.84,"公告标题：苏州龙杰:2026年半年度业绩预增公告；
发布时间：2026-07-15；
证券简称：苏州龙杰
原文： 苏州龙杰特种纤维股份有限公司预计2026年半年度实现归属于公司股东的净利润为5200万元至6400万元，与上年同期3325.08万元相比，同比增加56.39%到92.48%；预计扣除非经常性损益的净利润为5400万元至6600万元，同比增加166.86%到226.16%。 上年同期苏州龙杰归属于公司所有者的净利润为3325.08万元，扣除非经常性损益的净利润为2023.53万元，基本每股收益为0.16元/股。 本次业绩预告为公司财务部门初步测算结果，未经注册会计师审计，具体财务数据以正式披露的2026年半年报为准。 本次业绩预增主要源于下游市场需求扩容，公司高端产品布局深化、高附加值品类拓展加速，核心产品销量与售价协同上行，产品结构优化带动整体盈利能力提升，非经营性损益及会计处理对业绩预告无重大影响。",2026-08-15T21:22:41.929727+08:00
gildata,AnnouncementData,2026年半年报业绩预告中提到业绩超预期、销量超预期、市场拓展超预期的A股公司公告,6,公告库,沧州大化:沧州大化股份有限公司2026年半年度业绩预增公告,0.84,"公告标题：沧州大化:沧州大化股份有限公司2026年半年度业绩预增公告；
发布时间：2026-07-09；
证券简称：沧州大化
原文： 沧州大化股份有限公司发布2026年半年度业绩预增公告，公司预计2026年上半年（1月1日至6月30日）实现归属于上市公司股东的净利润约10073.73万元，较上年同期增加约7735.09万元，同比增幅达330.75%；同时预计扣除非经常性损益后的净利润约为10242.24万元，较上年同期增加约7690.48万元，同比增幅达到301.38%，本次业绩预增符合“实现盈利且净利润同比上升50%以上”的业绩预告适用情形，利润增长幅度远超市场常规增长水平。 沧州大化上年同期归属于上市公司股东的净利润为2338.64万元，扣除非经常性损益的净利润为2551.76万元，上年同期每股收益为0.0565元。本次业绩大幅预增主要来自三方面因素的综合作用：一是甲苯二异氰酸酯（TDI）市场价格大幅提升，行业供需格局向好，叠加公司推进卓越运营、提质增效，使得该产品毛利率显著提升，直接带动公司整体利润大幅增长；二是聚碳酸酯（PC）业务收益高于公司年初预期，其市场受中东局势影响，经历了从超预期上涨到高位震荡再转入阶段性回调的周期切换；三是公司持续加大特种PC的市场开拓力度，强化技术营销，使得特种PC的市场占有率大幅提升，超额完成半年度销售目标。本次业绩预告为公司财务部门初步测算结果，未经注册会计师审计，公司认为不存在影响业绩预告准确性的重大不确定因素，最终准确财务数据需以正式披露的2026年半年度报告为准，投资者需注意相关投资风险。",2026-08-15T21:22:41.929727+08:00
gildata,AnnouncementData,2026年半年报业绩预告中提到业绩超预期、销量超预期、市场拓展超预期的A股公司公告,7,公告库,万里扬:2026年半年度业绩预告,0.84,"公告标题：万里扬:2026年半年度业绩预告；
发布时间：2026-07-15；
证券简称：万里扬
原文：浙江万里扬股份有限公司2026 年半年度业绩预告
本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。
一、本期业绩预计情况
1、业绩预告期间：2026 年 1 月 1 日至 2026 年 6 月 30 日。
2、业绩预告情况：预计净利润为正值且属于同向下降情形
（1）以区间数进行业绩预告的
单位：万元
| 项目 | 本报告期 |  |  |  |  |
| --- | --- | --- | --- | --- | --- |
| 归属于上市公司股东的净 利润 |  | 7,000 |  | 8,000 | 27,654.87 |
|  | 比上年同期下降 | 71.07% |  | 74.69% |  |
| 扣除非经常性损益后的净 利润 |  | 4,000 |  | 5,000 | 17,533.16 |
|  | 比上年同期下降 | 71.48% |  | 77.19% |  |
| 基本每股收益（元/股） |  | 0.05 |  | 0.06 | 0.21 |
二、与会计师事务所沟通情况
本次业绩预告的相关数据未经会计师事务所预审计。
三、业绩变动原因说明
（一）2025 年上半年，公司减持了所持有的浙大网新科技股份有限公司股份5,300 万股，获得投资收益 1.19 亿元,该项属于公司非经常性损益。2026 年上半年，公司无该项业务收益。
（二）2026 年上半年，受中国乘用车销量下滑特别是燃油乘用车销量下降较多，以及公司CVT 自动变速器配套国内自主品牌整车客户的海外出口销量和配套海外整车客户的直接出口销量减少较多等因素影响，公司乘用车变速器业务收入同比下降较多，加上公司产品的主要原材料铝、钢材的价格上涨，进一步增加了成本，从而导致2026 年上半年公司净利润同比减少较多。
公司将加快推动公司全系列产品在海外市场的业务拓展，积极推动新能源汽车传/驱动系统、非公路车辆传/驱动系统和机器人零部件等新业务发展，打造形成新的业务增长点，同时，持续强化公司内部的降本增效工作，进而有效改善经营业绩。
四、风险提示
本次业绩预告的相关数据是公司财务部门初步测算的结果，2026 年半年度的具体财务数据将在公司2026 年半年度报告中详细披露。
敬请广大投资者注意投资风险。
特此公告。
浙江万里扬股份有限公司  
董事会  
2026 年 07 月 15 日",2026-08-15T21:22:41.929727+08:00
gildata,AnnouncementData,2026年半年报业绩预告中提到业绩超预期、销量超预期、市场拓展超预期的A股公司公告,8,公告库,沧州大化:沧州大化股份有限公司2026年半年度业绩预增公告,0.84,"公告标题：沧州大化:沧州大化股份有限公司2026年半年度业绩预增公告；
发布时间：2026-07-09；
证券简称：沧州大化
原文：二、上年同期业绩情况
（一）归属于上市公司股东的净利润：2,338.64 万元。归属于上市公司股东的扣除非经常性损益的净利润：2,551.76 万元。
（二）每股收益：0.0565 元。
三、本期业绩预增的主要原因
报告期内，公司甲苯二异氰酸酯（TDI）市场价格大幅提升，行业供需向好，及公司卓越运营、提质增效行动的综合作用下，毛利率显著提升，带动利润大幅增长。
公司聚碳酸酯（PC）市场受中东局势影响，经历了超预期上涨至高位震荡转入阶段性回调的周期切换，收益高于年初预期；公司持续加大特种PC 市场开拓力度，强化技术营销，特种PC 市场占有率大幅提升，超额完成半年度销售目标。
四、风险提示
本次预计业绩未经注册会计师审计，基于公司财务部门自身专业判断，认为公司不存在影响业绩预告内容准确性的重大不确定因素。
五、其他说明事项
以上预告数据仅为初步核算数据，具体准确的财务数据以公司正式披露的2026 年半年度报告为准，敬请广大投资者注意投资风险。
特此公告。
沧州大化股份有限公司董事会2026 年 7 月 9 日",2026-08-15T21:22:41.929727+08:00
gildata,AnnouncementData,2026年半年报业绩预告中提到业绩超预期、销量超预期、市场拓展超预期的A股公司公告,9,公告库,日上集团:2026年半年度业绩预告,0.83,"公告标题：日上集团:2026年半年度业绩预告；
发布时间：2026-07-15；
证券简称：日上集团
原文： 厦门日上集团2026年半年度业绩预告显示，公司预计归属于上市公司股东的净利润为7500万元-8900万元，较上年同期的4229.21万元增长77.34%-110.44%，扣除非经常性损益后的净利润为7200万元-8600万元，同比增长93.25%-130.83%，基本每股收益预计为0.09元/股-0.11元/股，上年同期为0.05元/股。 本次业绩预告未经会计师事务所审计，相关数据为公司财务部门初步测算结果，最终详细数据将在2026年半年度报告中披露。 业绩增长主要得益于公司双主业协同发力：汽车车轮业务依托海内外布局实现营业收入同比增长超20%，钢结构业务深耕细分市场并拓展海外项目，产品综合毛利率提升，双主业经营质量改善共同推动整体盈利水平稳步上升。",2026-08-15T21:22:41.929727+08:00
gildata,AnnouncementData,2026年半年报业绩预告中提到业绩超预期、销量超预期、市场拓展超预期的A股公司公告,10,公告库,深圳华强:2026年半年度业绩预告,0.83,"公告标题：深圳华强:2026年半年度业绩预告；
发布时间：2026-07-15；
证券简称：深圳华强
原文： 深圳华强实业股份有限公司发布2026年半年度业绩预告，预告区间为2026年1月1日至2026年6月30日，预计本期业绩同向上升幅度超50%，归属于上市公司股东的净利润预计盈利35343万元-42412万元，较上年同期的23562.12万元增长50%-80%；扣除非经常性损益后的净利润预计盈利36257万元-43325万元，同比增长67.70%-100.39%；基本每股收益预计为0.3379元/股-0.4055元/股，上年同期为0.2253元/股，本次预告相关数据未经会计师事务所预审计，具体财务数据需待正式半年报披露。 本次业绩大幅增长主要来自三大业务板块的拉动，首先作为本土电子元器件授权分销龙头，深圳华强抓住AI快速发展、存储需求增加的行业机遇，深化与上游原厂的合作拓展下游市场，推动授权分销业务收入增长，其中存储类产品线出货额同比增幅约330%，下游数据中心建设相关领域对服务器、服务器ODM、数据中心电源客户销售额保持增长。 其次作为电子元器件垂直领域数字化变革的领军者，深圳华强依托自身渠道数据和数字化系统优势，抓住长尾现货市场回暖、存储市场景气度高企的机遇，推动长尾现货采购业务收入同比大幅增长，增幅约300%；此外公司旗下华强电子世界与华强电子网业务经营保持稳健，持续为公司贡献稳定良好的现金流。本次业绩预告为初步测算结果，存在数据调整风险，需提醒投资者注意投资风险。",2026-08-15T21:22:41.929727+08:00
