vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,AnnouncementData,2026年半年度业绩预告中提到需求旺盛或行业高景气的医药公司,1,公告库,金杨精密:2026年半年度业绩预告,0.92,"公告标题：金杨精密:2026年半年度业绩预告；
发布时间：2026-07-22；
证券简称：金杨精密
原文：无锡金杨精密制造股份有限公司2026 年半年度业绩预告
本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。
一、本期业绩预计情况
（一）业绩预告期间：2026 年 1 月 1 日至 2026 年 6 月 30 日。
（二）业绩预告情况：
扭亏为盈 同向上升 同向下降 
| 项目 | 本报告期 | 上年同期 |
| --- | --- | --- |
| 归属于上市公 司股东的净利 润 | 盈利：4,600万元－5,400万元 | 盈利：1，926.33万元 |
|  | 比上年同期增长：138.80%-180.33% |  |
| 扣除非经常性 损益后的净利 润 | 盈利：4，630万元－5,430万元 | 盈利：1，361.36万元 |
|  | 比上年同期增长：240.10%－298.87% |  |
二、与会计师事务所沟通情况
本次业绩预告相关财务数据是公司财务部门初步测算的结果，未经会计师事务所审计。但公司已就本次业绩预告相关事项与会计师事务所进行了预沟通，双方不存在重大分歧。
三、业绩变动原因说明
2026 年上半年，公司把握锂电池精密结构件行业增长机遇，实现收入与利润同比双增长。在小动力结构件领域，随着 AI 数据中心、高端电动工具和消费类市场等终端需求的增长，公司 21 系列产品出货量稳步提升，全极耳结构件占比不断提升；在储能、大动力领域，全球储能、大动力市场延续高景气度，电池精密结构件需求旺盛，公司方形电池精密结构件产销规模大幅提升。公司通过前瞻布局核心客户、持续推进产品迭代，有效把握了小动力结构件与储能、大动力结构件市场扩容的双重行业趋势，实现了经营业绩的稳健增长。
四、其他相关说明
1、本次业绩预告数据为公司财务部门初步计算结果，未经会计师事务所审计。
2、2026 年半年度业绩的具体财务数据将在公司 2026 年半年度报告中详细披露。敬请广大投资者谨慎决策，注意投资风险。
特此公告。
无锡金杨精密制造股份有限公司董事会2026 年 7 月 22 日",2026-08-13T11:21:07.798404+08:00
gildata,AnnouncementData,2026年半年度业绩预告中提到需求旺盛或行业高景气的医药公司,2,公告库,日联科技:2026年半年度业绩预告的自愿性披露公告,0.92,"公告标题：日联科技:2026年半年度业绩预告的自愿性披露公告；
发布时间：2026-07-17；
证券简称：日联科技
原文： 日联科技发布2026年半年度业绩预告，预计2026年上半年（1月1日至6月30日）业绩将实现大幅增长，本次预告相关财务数据未经注册会计师审计。本次预告预计，公司2026年半年度实现营业收入约71500万元，较2025年同期的46039.14万元增加约25460.86万元，同比增幅约55.30%；预计实现归属于母公司所有者的净利润约12800万元，较2025年同期的8279.36万元增加约4520.64万元，同比增幅约54.60%；预计实现扣除非经常性损益后的归属于母公司净利润约10900万元，较2025年同期的5965.64万元增加约4934.36万元，同比增幅高达约82.71%。三项核心财务指标均实现超50%的同比增长，其中扣非净利润的增长幅度显著高于营业收入和归母净利润的增速，反映出公司核心业务盈利能力提升较为明显。 本次公告披露了业绩大幅增长的核心驱动因素，主要包括三方面：一是下游集成电路、高端电子制造领域行业景气度较高，市场对公司产品需求旺盛；二是公司持续加大研发投入以及全球营销网络建设，公司综合竞争力得到进一步提升；三是公司通过投资并购打造检测平台化能力，本次并入报表的收购标的为公司整体业绩增长贡献了增量收益。同时公告提示，本次预告为初步核算数据，最终准确财务数据以正式披露的2026年半年度报告为准，目前未发现影响预告准确性的重大不确定因素，提醒投资者注意投资风险。",2026-08-13T11:21:07.798404+08:00
gildata,AnnouncementData,2026年半年度业绩预告中提到需求旺盛或行业高景气的医药公司,3,公告库,鼎泰高科:2026年半年度业绩预告,0.91,"公告标题：鼎泰高科:2026年半年度业绩预告；
发布时间：2026-07-13；
证券简称：鼎泰高科
原文：三、业绩变动原因说明
2026 年上半年，下游PCB 客户对精密刀具及研磨抛光材料的采购需求持续保持旺盛，公司紧抓行业景气窗口，通过深化技术迭代与客户协同，推动高附加值产品渗透率进一步提升，产品结构持续向高端化发展。同时，公司产能爬坡效率显著改善，规模效应逐步释放，共同驱动上半年业绩实现高速增长。
四、风险提示
本期业绩预告是公司财务部门对经营情况作出的初步测算，具体财务数据将在 2026年半年度报告中予以详细披露，敬请广大投资者谨慎决策，注意投资风险。
特此公告。
广东鼎泰高科技术股份有限公司董事会2026 年 7 月 13 日",2026-08-13T11:21:07.798404+08:00
gildata,AnnouncementData,2026年半年度业绩预告中提到需求旺盛或行业高景气的医药公司,4,公告库,联动科技:2026年半年度业绩预告,0.91,"公告标题：联动科技:2026年半年度业绩预告；
发布时间：2026-07-07；
证券简称：联动科技
原文：佛山市联动科技股份有限公司
2026 年半年度业绩预告
本公司及董事会全体成员保证信息披露的内容真实、准确和完整，没有虚假记载、误导性陈述或者重大遗漏。
一、本期业绩预计情况
（一）业绩预告期间：2026 年 1 月 1 日至 2026 年 6 月 30 日
（二）业绩预告情况：同向上升
| 项目 | 本报告期 | 上年同期 |
| --- | --- | --- |
| 归属于上市公司 股东的净利润 | 盈利：2,100万元－2,900万元 | 盈利：1,211.17万元 |
|  | 比上年同期增长：73.39%－139.44% |  |
| 扣除非经常性损 | 盈利：1,610万元-2,410万元 | 盈利：726.69万元 |
|  | 比上年同期增长：121.55%－231.64% |  |
二、与会计师事务所沟通情况
本次业绩预告未经会计师事务所审计。
三、业绩变动原因说明
1、得益于AI、高性能计算、新能源汽车等下游应用领域的强劲需求，半导体测试设备行业景气度持续上行。公司紧抓半导体测试设备国产化替代的战略窗口，依托技术积淀与品牌优势全力拓展市场。报告期内，公司在手订单充裕，经营业绩实现稳健增长。
2、报告期内公司非经常性损益约为490 万元，主要系现金管理收益。
四、其他相关说明
本次业绩预告是公司财务部门初步测算的结果，未经审计机构审计。2026年半年度业绩的具体数据将在公司 2026 年半年度报告中详细披露，敬请广大投资者理性投资、注意投资风险。
五、备查文件
1、董事会关于2026 年半年度业绩预告的情况说明。  
特此公告。",2026-08-13T11:21:07.798404+08:00
gildata,AnnouncementData,2026年半年度业绩预告中提到需求旺盛或行业高景气的医药公司,5,公告库,信德新材:2026年半年度业绩预告,0.91,"公告标题：信德新材:2026年半年度业绩预告；
发布时间：2026-07-11；
证券简称：信德新材
原文：辽宁信德新材2026年半年度业绩预告显示，公司预计归属于上市公司股东的净利润区间为6500万元至7500万元，较上年同期的981.37万元同比增长562.34%至664.24%；扣非后净利润区间为4600万元至5600万元，较上年同期的-377.81万元同比增长1317.54%至1582.23%。本次业绩预告相关财务数据为公司财务部门初步测算结果，未经会计师事务所审计，最终数据以正式半年度报告披露为准。2026年半年度业绩同比大幅增长主要源于三方面驱动因素：一是新能源行业景气度上行，动力电池、储能需求放量带动负极包覆材料市场需求旺盛，公司凭借行业龙头地位、头部客户资源及“黄金三角”产能保障实现出货量同比较大增长；二是公司加大高端产品排产交付，中高温、高温系列包覆产品出货占比提升，拉动营收与综合毛利率改善；三是副产品下游需求增强，出货量和销售价格双升带来额外营收与利润增量。",2026-08-13T11:21:07.798404+08:00
gildata,AnnouncementData,2026年半年度业绩预告中提到需求旺盛或行业高景气的医药公司,6,公告库,香农芯创:2026年半年度业绩预告,0.9,"公告标题：香农芯创:2026年半年度业绩预告；
发布时间：2026-07-10；
证券简称：香农芯创
原文： 香农芯创科技股份有限公司发布2026年半年度业绩预告，预告区间为2026年1月1日至2026年6月30日，预计本期业绩为同向上升，归属于上市公司股东的净利润预计在350000万元到400000万元之间，较上年同期的15783.23万元增长2117.54%到2434.34%；扣除非经常性损益后的净利润预计在339000万元到389000万元之间，较上年同期的15599.49万元增长2073.15%到2393.67%，盈利规模和增速均实现爆发式增长。本次业绩预告数据为公司财务部门初步测算结果，尚未经审计机构审计，预计报告期内非经常性损益对归属于上市公司股东的净利润的影响金额约为11000万元。 本次业绩大幅增长主要受两方面因素驱动：一是2026年上半年受人工智能相关需求增长拉动，互联网数据中心等领域对企业级存储产品需求持续增加，存储芯片行业维持高景气度，相关产品价格较上年同期稳步上涨，带动公司电子元器件分销业务销售综合毛利率同比提高，推动公司整体盈利水平大幅提升；二是公司自主品牌“海普存储”相关业务持续推进，已经进入大规模销售阶段，受益于企业级存储国产化、定制化需求增长，以及客户验证和订单交付顺利推进，海普存储相关业务的收入和盈利能力较上年同期大幅提升，对本期经营业绩产生显著积极影响。 香农芯创提示了相关风险，公司所属行业景气度受上游原材料供给与下游市场需求关系等因素影响，未来若出现行业供需变化、原材料价格波动，将会导致公司业绩出现波动风险；同时再次强调本次业绩预告为初步测算结果，具体业绩数据将在2026年半年度报告中详细披露，提醒投资者谨慎决策，注意投资风险。",2026-08-13T11:21:07.798404+08:00
gildata,AnnouncementData,2026年半年度业绩预告中提到需求旺盛或行业高景气的医药公司,7,公告库,三环集团:2026年半年度业绩预告,0.9,"公告标题：三环集团:2026年半年度业绩预告；
发布时间：2026-07-21；
证券简称：三环集团
原文：潮州三环（集团）股份有限公司2026 年半年度业绩预告
本公司及董事会全体成员保证信息披露内容的真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。
一、本期业绩预计情况
1、业绩预告期间：2026 年 1 月 1 日—2026 年 6 月 30 日。
2、业绩预告情况表： 扭亏为盈 √同向上升 同向下降 
| 项目 | 本报告期 | 上年同期 |
| --- | --- | --- |
| 归属于上市公司股 东的净利润 | 盈利：179，385.00万元-204，127.75万元 | 盈利：123,713.79 |
|  | 比上年同期增长：45%-65% | 万元 |
| 归属于上市公司股 东的扣除非经常性 损益后的净利润 | 盈利：165,308.15万元-191,970.76万元 | 盈利：106,650.42 万元 |
|  | 比上年同期增长：55%-80% |  |
二、与会计师事务所沟通情况
本次业绩预告相关财务数据是公司财务部门初步测算的结果，未经会计师事务所审计。
三、业绩变动原因说明
报告期内，受益于电子元件及光通信行业需求的增加，公司主营业务产品需求增长。其中，公司 MLCC 产品受益于客户认可度提升以及行业景气度提升，部分规格价格修复至原有合理价值，销售量和销售额同比有较大幅度增长；同时由于全球数据中心建设进程加快，光器件市场需求持续增加，公司插芯及套筒等相关光通信产品销售同比增长。
四、其他相关说明
1、本业绩预告数据是公司财务部门初步测算的结果，未经会计师事务所审计。
2、2026 年半年度的具体财务数据将在公司2026 年半年度报告中详细披露
3、敬请广大投资者谨慎决策，注意投资风险特此公告。
潮州三环（集团）股份有限公司董事会2026 年 7 月 21 日",2026-08-13T11:21:07.798404+08:00
gildata,AnnouncementData,2026年半年度业绩预告中提到需求旺盛或行业高景气的医药公司,8,公告库,山高环能:2026年半年度业绩预告,0.89,"公告标题：山高环能:2026年半年度业绩预告；
发布时间：2026-07-15；
证券简称：山高环能
原文： 山高环能集团股份有限公司发布2026年半年度业绩预告，业绩预告期间为2026年1月1日至2026年6月30日，本次业绩预告未经注册会计师审计，但已与年度审计会计师事务所预沟通，双方不存在分歧，最终具体财务数据将在正式半年度报告中披露。本次业绩预计归属于上市公司股东的净利润盈利区间为6500万元-7500万元，上年同期盈利为4056.62万元，同比增长幅度达60.23%-84.88%；扣除非经常性损益后的净利润盈利区间同样为6500万元-7500万元，上年同期盈利为3698.99万元，同比增长幅度达到75.72%-102.76%，增长幅度高于扣非前净利润。本次业绩预计对应的基本每股收益为盈利0.14元/股-0.16元/股，上年同期基本每股收益为0.09元/股，每股收益同比提升明显。 本次业绩同向上升主要源于三方面因素，一是公司2026年上半年持续推行收运控盘及精益生产战略，带动餐厨垃圾收运处置量及油脂产量实现稳步提升，同时推动了公司生产成本下降；二是下游客户对公司油脂产品需求旺盛，带动油脂产品价格上涨，共同推动公司盈利能力提升。本次业绩预告为初步测算结果，提示广大投资者注意投资风险。",2026-08-13T11:21:07.798404+08:00
gildata,AnnouncementData,2026年半年度业绩预告中提到需求旺盛或行业高景气的医药公司,9,公告库,三环集团:2026年半年度业绩预告,0.89,"公告标题：三环集团:2026年半年度业绩预告；
发布时间：2026-07-21；
证券简称：三环集团
原文：潮州三环（集团）股份有限公司发布2026年半年度业绩预告，报告期为2026年1月1日至6月30日，预计实现扭亏为盈且业绩同向上升，归属于上市公司股东的净利润为179385.00万元-204127.75万元，较上年同期增长45%-65%，扣除非经常性损益后的净利润为165308.15万元-191970.76万元，较上年同期增长55%-80%。本次业绩预告相关财务数据为公司财务部门初步测算结果，未经会计师事务所审计，最终详细财务数据将在2026年半年度报告中披露。业绩变动主要源于电子元件及光通信行业需求增加，公司MLCC产品因客户认可度提升、行业景气度回升实现价格修复，销售量和销售额大幅增长，同时全球数据中心建设加快带动光器件市场需求提升，公司插芯及套筒等光通信产品销售同比增长。",2026-08-13T11:21:07.798404+08:00
gildata,AnnouncementData,2026年半年度业绩预告中提到需求旺盛或行业高景气的医药公司,10,公告库,恩捷股份:公司2026年半年度业绩预告,0.89,"公告标题：恩捷股份:公司2026年半年度业绩预告；
发布时间：2026-07-10；
证券简称：恩捷股份
原文：云南恩捷新材料（集团）股份有限公司发布2026年半年度业绩预告，预计2026年1-6月实现扭亏为盈，归属于上市公司股东的净利润为73600万元-90000万元，上年同期亏损9311.38万元；扣除非经常性损益后净利润为76200万元-93000万元，上年同期亏损9453.82万元，基本每股收益预计为0.75元/股-0.92元/股。本次业绩预告相关财务数据未经会计师事务所审计，最终数据将在2026年半年度报告中详细披露。业绩变动主要源于锂电池隔膜下游需求旺盛，公司产能调配匹配客户高品质需求带动销量攀升，叠加全流程成本管控成效良好，同时隔膜产品价格较上年低点企稳回升，综合毛利率显著提升，推动经营业绩较上年同期明显改善。",2026-08-13T11:21:07.798404+08:00
