vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,AnnouncementData,2026年半年报业绩预告中提到供给偏紧、满产满销、产销两旺且净利润增长的A股公司公告,1,公告库,恒逸石化:2026年半年度业绩预告,0.98,"公告标题：恒逸石化:2026年半年度业绩预告；
发布时间：2026-06-26；
证券简称：恒逸石化
原文： 恒逸石化2026年半年度业绩预告显示，归属于上市公司股东的净利润预计为550000.00万元-600000.00万元，较上年同期增长2326.31%-2546.88%，扣除非经常性损益后的净利润预计为547000.00万元-597000.00万元，同比增长3560.47%-3895.07%，基本每股收益预计为1.63元/股-1.78元/股，上年同期为0.07元/股。 本次业绩预告上年同期数据为追溯调整前数据，因公司2026年1月完成同一控制下企业合并恒逸能源科技（吐鲁番）100%股权，追溯调整后的财务数据将在正式半年报中披露。 本次业绩预告相关财务数据未经注册会计师审计，业绩大幅增长主要源于三方面：一是作为国内唯一在海外布局炼化工厂的化纤龙头企业，文莱炼厂依托东南亚成品油供需偏紧、盈利优于国内及自身税收、成本优势实现满产满销，成为核心业绩增长动力；二是年产120万吨己内酰胺-聚酰胺一体化及配套项目（一期）凭借自研先进技术、优化的能耗物耗指标实现产销两旺，成为新的利润增长点；三是PTA及下游聚酯产业链稳步复苏，行业新增产能受限带动景气度回升，公司作为行业领先企业产品单吨利润大幅改善。 公司提示本次业绩预告为初步测算结果，实际数据以2026年半年度报告为准，提请投资者注意投资风险。",2026-08-15T21:22:30.243870+08:00
gildata,AnnouncementData,2026年半年报业绩预告中提到供给偏紧、满产满销、产销两旺且净利润增长的A股公司公告,2,公告库,恒逸石化:2026年半年度业绩预告,0.96,"公告标题：恒逸石化:2026年半年度业绩预告；
发布时间：2026-06-26；
证券简称：恒逸石化
原文：二、与会计师事务所沟通情况
本次业绩预告相关的财务数据未经注册会计师审计。
三、业绩变动原因说明
报告期内，公司充分发挥柱状均衡全产业链一体化和“涤纶+锦纶”双“纶”驱动的优势，持续推进科技创新成果应用，实现归属于上市公司股东的净利润550,000.00 万元-600,000.00 万元，同比大幅增长 2,326.31%-2,546.88%，主要原因如下：
1、作为国内龙头化纤企业中唯一在海外布局炼化工厂的公司，充分受益于东南亚地区成品油供需格局长期偏紧，成品油盈利远好于国内，同时 PX、苯等化工产品盈利继续维持高位水平。报告期内，文莱炼厂继续享受税收、市场化定价以及运保费低廉等优势，并全面把握市场机遇，实现了满产满销，单吨产品盈利长期维持高位水平，成为公司当前及今后业绩增长的核心因素，文莱炼厂的独特区位优势及前瞻战略布局优势愈发凸显。
2、报告期内，公司持续保持高强度的研发投入，产品成果迭代创新，作为自研成果集成应用的公司年产 120 万吨己内酰胺-聚酰胺一体化及配套项目（一期）大力应用多项公司自主研发的先进技术，且该项目全流程集成配套生产要素与能源资源，能耗物耗指标显著优化，项目的技术优势、一体化优势与成本优势显著领先于同类企业。报告期内该项目产销两旺，成为公司新的利润增长点，为业绩增长贡献重要增量。
3、公司所在的PTA 及下游聚酯产业链条稳步复苏，产品下游需求稳步增长，且在碳达峰和碳中和政策的影响下，PTA 及聚酯行业未来新增产能几乎为零，有望带动今后几年产业链景气度大幅回升，公司作为 PTA 及聚酯长丝、聚酯瓶片领先企业，产品单吨利润实现了大幅改善并全面盈利，为公司中长期业绩增长提供长期支撑。
四、风险提示
本次业绩预告是公司财务部门初步测算的结果，未经注册会计师审计。公司2026 年半年度业绩具体数据将在公司2026 年半年度报告中详细披露，实际数据请以2026 年半年度报告为准。敬请广大投资者谨慎决策，注意投资风险。
特此公告。
恒逸石化股份有限公司董事会2026 年 6 月 25 日",2026-08-15T21:22:30.243870+08:00
gildata,AnnouncementData,2026年半年报业绩预告中提到供给偏紧、满产满销、产销两旺且净利润增长的A股公司公告,3,公告库,益生股份:2026年半年度业绩预告,0.79,"公告标题：益生股份:2026年半年度业绩预告；
发布时间：2026-07-01；
证券简称：益生股份
原文： 山东益生种畜禽股份有限公司发布2026年半年度业绩预告，预计2026年1-6月归属于上市公司股东的净利润为27000万元-30000万元，较上年同期的615.51万元同比增长4286.61%-4774.01%；扣非后净利润为26800万元-29800万元，同比增长7858.66%-8749.56%，基本每股收益预计为0.19元/股-0.21元/股。 本次业绩大幅增长主要源于白羽肉鸡行业景气度上行，公司主营白羽肉鸡业务实现量价齐升。2025年公司祖代白羽肉鸡引种量同比增加，带动本期父母代鸡苗销量大幅增长，同时国内行业供给偏紧推动父母代鸡苗价格连续三季度逐季攀升并维持高位，商品代白羽肉鸡苗销售均价同比上涨，共同推高业务利润。 行业层面，我国祖代白羽肉鸡种源依赖进口，2024年底以来美、新等传统引种渠道受禽流感影响受阻，2025年底法国禽流感进一步冲击供给，2026年1-5月国内无境外引种增量，依据养殖周期传导规律，行业供给偏紧格局将持续，后续父母代鸡苗价格仍有上行空间，白羽肉鸡行业高景气度有望延续。 公司内部通过推进精细化管理、提质增效、强化生物安全等举措提升种鸡生产性能，同时加速种猪业务产能释放，进一步拓宽业绩增长空间。",2026-08-15T21:22:30.243870+08:00
gildata,AnnouncementData,2026年半年报业绩预告中提到供给偏紧、满产满销、产销两旺且净利润增长的A股公司公告,4,公告库,天赐材料:2026年半年度业绩预告,0.78,"公告标题：天赐材料:2026年半年度业绩预告；
发布时间：2026-07-10；
证券简称：天赐材料
原文：广州天赐高新材料股份有限公司发布2026年半年度业绩预告，预计2026年1-6月归属于上市公司股东的净利润区间为270000万元至300000万元，较上年同期的26790.05万元同比增长907.84%至1019.82%，扣非后净利润区间为265000万元至295000万元，同比增幅达1157.44%，基本每股收益预计为1.48元/股，较上年同期的0.14元/股大幅提升。本次业绩预增核心原因在于锂离子电池材料电解液及六氟磷酸锂产品市场需求旺盛，上半年电解液出货量同比增长超40%，截至2026年6月，公司电解液和六氟磷酸锂产能利用率接近满产水平，同时行业供需格局优化带动产品价格上行，推动整体毛利率提升。为匹配持续增长的下游需求，公司将推进九江、福鼎等电解液生产基地改扩建项目，增强产能储备以支撑业务中长期扩张，且2026年三季度电解液排产数量预计环比进一步增长。",2026-08-15T21:22:30.243870+08:00
gildata,AnnouncementData,2026年半年报业绩预告中提到供给偏紧、满产满销、产销两旺且净利润增长的A股公司公告,5,公告库,恒逸石化:恒逸石化投资者关系管理信息,0.95,"公告标题：恒逸石化:恒逸石化投资者关系管理信息；
发布时间：2026-08-12；
证券简称：恒逸石化
原文： 恒逸石化2026年半年度报告显示，公司实现归属于上市公司股东净利润59.02亿元，同比增长2500.73%；扣非净利润58.86亿元，同比增长3838.89%，业绩实现大幅增长。 公司业绩增长主要源于三方面因素：一是作为国内唯一在海外布局炼化工厂的化纤龙头企业，文莱炼厂凭借东南亚成品油供需偏紧、盈利优于国内及PX等高盈利水平实现满产满销，成为业绩增长核心因素；二是年产120万吨己内酰胺-聚酰胺一体化及配套项目（一期）凭借自主技术、一体化成本优势产销两旺，成为新的利润增长点；三是PTA及下游聚酯产业链复苏，行业新增产能近乎零，公司作为龙头企业产品单吨利润大幅改善，为中长期业绩提供支撑。 东南亚成品油及化工品市场供需格局持续改善，2026年以来新加坡市场成品油裂解价差、PX盈利空间均显著高于近年水平，且IEA数据显示东南亚将成全球能源需求增长主要驱动力，未来供需缺口持续扩大，为文莱炼厂带来战略机遇。 PTA行业产能扩张周期已结束，2026年后新产能投放显著放缓，有效产能有望负增长，行业供给格局优化，叠加下游需求稳定支撑，长期供需格局将进一步改善；PET行业在落后产能出清、双碳政策约束下供应格局优化，需求保持增长，有望进入高景气周期，公司凭借优势地位可持续受益。",2026-08-15T21:22:30.243870+08:00
gildata,AnnouncementData,2026年半年报业绩预告中提到供给偏紧、满产满销、产销两旺且净利润增长的A股公司公告,6,公告库,恒逸石化:恒逸石化投资者关系管理信息,0.86,"公告标题：恒逸石化:恒逸石化投资者关系管理信息；
发布时间：2026-07-09；
证券简称：恒逸石化
原文：恒逸石化2026年半年度业绩预告显示，公司预计净利润同比增长3560.47%至3895.07%，基本每股收益为1.63元/股至1.78元/股，整体盈利结构持续优化。业绩增长主要得益于三大核心因素：一是作为国内唯一在海外布局炼化工厂的化纤龙头企业，文莱炼厂满产满销且单吨盈利维持高位，其东南亚区位、税收及低成本运输优势成为业绩增长核心支撑；二是年产120万吨己内酰胺-聚酰胺一体化项目（一期）应用自研先进技术，能耗物耗指标优化，产销两旺成为新的利润增长点；三是PTA及下游聚酯产业链稳步复苏，叠加行业产能新增受限，产品需求稳步增长。公司对东南亚成品油及化工品市场走势持乐观预期，2026年以来东南亚炼厂景气度提升，新加坡市场成品油裂解价差扩大、PX等芳烃产品盈利空间提升，预计年内价差维持高位；同时东盟经济增速高于全球平均水平带动炼化产品需求增长，而东南亚成品油市场供需缺口持续扩大，叠加全球炼厂扩产意愿低迷，将为文莱炼化项目带来战略机遇。针对PTA、PET产品市场展望，公司表示PTA行业产能扩张周期已结束，2026年后产能增速预计为-1.7%，行业供给格局迎来拐点，具备一体化保供优势的头部企业将受益，产品单吨利润改善并全面盈利，为中长期业绩提供支撑；PET产品产能投放周期基本收尾，需求保持高速增长，行业落后产能出清后有望进入高景气周期。公司还披露了年产240万吨高品质纤维用煤制乙二醇项目及年产30万吨循环新材料工业示范项目的规划，前者将保障乙二醇原料供应，形成“油、煤、布”产业新格局，预计2028年上半年投产；后者可通过废旧纺织品回收生产高端聚酯材料，助力低碳转型并打开新的增长空间。此外，公司明确表示暂不行使“恒逸转2”提前赎回权利，以保护投资者利益。",2026-08-15T21:22:30.243870+08:00
gildata,AnnouncementData,2026年半年报业绩预告中提到供给偏紧、满产满销、产销两旺且净利润增长的A股公司公告,7,公告库,鹏辉能源:2026年半年度业绩预告,0.77,"公告标题：鹏辉能源:2026年半年度业绩预告；
发布时间：2026-07-15；
证券简称：鹏辉能源
原文：广州鹏辉能源科技股份有限公司发布2026年半年度业绩预告，证券代码300438，公告编号2026-052，本次业绩预告期间为2026年1月1日至6月30日，公司预计实现扭亏为盈，归属于上市公司股东的净利润为80000万元－86600万元，上年同期亏损8822.67万元；扣除非经常性损益后的净利润为79200万元－85600万元，上年同期亏损15904.23万元。本次业绩预告数据为公司财务部门初步测算结果，尚未经审计机构审计，最终具体数据将在2026年半年度报告中详细披露。本次业绩变动的核心原因在于新能源行业整体向好，鹏辉能源产品产销两旺，下游客户订单需求增加，带动公司营业收入实现同比增长，推动公司从上年同期的亏损状态转为盈利。",2026-08-15T21:22:30.243870+08:00
gildata,AnnouncementData,2026年半年报业绩预告中提到供给偏紧、满产满销、产销两旺且净利润增长的A股公司公告,8,公告库,海星股份:2026年半年度业绩预告,0.77,"公告标题：海星股份:2026年半年度业绩预告；
发布时间：2026-07-15；
证券简称：海星股份
原文：  南通海星电子股份有限公司发布2026年半年度业绩预告，预计2026年上半年（1月1日至6月30日）实现归属于上市公司股东的净利润，较去年同期增加3320万元至3750万元，同比增幅达50.07%到56.55%，实现盈利且净利润同比增幅超50%。同时，公司预计同期归属于上市公司股东的扣除非经常性损益的净利润，较去年同期增加4050万元至4550万元，同比增幅达62.48%到70.19%，本次业绩预告数据未经会计师事务所审计。  上年同期公司归属于上市公司股东的净利润为6630.95万元，扣除非经常性损益的净利润为6482.24万元，基本每股收益为0.2772元。本次业绩预增主要来自三方面因素：一是公司通过持续扩产增加产能，投产后实现连续生产，叠加新能源、风光储、车载电子等下游应用领域景气度较高，上半年实现产销两旺，营收规模明显增长；二是公司通过技术研发提升产品水平，AI服务器用产品已实现批量交付，通过积极调整产品结构，高端产品产出占比得到提升；三是公司充分发挥新基地产能，有效提高了生产成本的综合竞争力，带动综合成本下降。目前公司未发现影响本次业绩预告准确性的重大不确定因素，本次预告为初步核算数据，具体准确财务数据以公司正式披露的2026年半年度报告为准。",2026-08-15T21:22:30.243870+08:00
gildata,AnnouncementData,2026年半年报业绩预告中提到供给偏紧、满产满销、产销两旺且净利润增长的A股公司公告,9,公告库,永杉锂业:永杉锂业2026年半年度业绩预告,0.77,"公告标题：永杉锂业:永杉锂业2026年半年度业绩预告；
发布时间：2026-07-15；
证券简称：永杉锂业
原文： 锦州永杉锂业股份有限公司发布2026年半年度业绩预告，预计2026年1月1日至6月30日实现归属于母公司所有者的净利润为16000万元到23000万元，与上年同期相比实现扭亏为盈；预计扣除非经常性损益后的归属于母公司所有者净利润为23500万元到33500万元。上年同期公司归属于母公司所有者的净利润为-14406.94万元，扣除非经常性损益后净利润为-16367.90万元，每股收益为-0.28元，本次预告数据为公司初步测算结果，未经年审会计师审计。 本次业绩扭亏为盈主要受主营业务因素推动，2026年上半年锂盐市场价格持续上行，公司通过强化生产运营管控实现满产满销，带动锂盐产品量价齐升，同时本期存货跌价损失计提规模较小，锂盐板块盈利水平得到显著提升；同期钼铁价格呈阶梯式上涨，带动钼铁产品毛利率同步回升，共同推动公司半年度业绩扭亏为盈。 本期非经常性损益预计为-10500万元至-7500万元，亏损原因主要为报告期内公司采购锂矿采用期后点价业务产生公允价值变动损失，会计处理不存在重大影响，也无其他重大影响业绩预告的因素，公司提示本次业绩为初步核算，准确财务数据以正式披露的半年报为准，提醒投资者注意投资风险。",2026-08-15T21:22:30.243870+08:00
gildata,AnnouncementData,2026年半年报业绩预告中提到供给偏紧、满产满销、产销两旺且净利润增长的A股公司公告,10,公告库,容百科技:2026年半年度业绩预告的自愿性披露公告,0.77,"公告标题：容百科技:2026年半年度业绩预告的自愿性披露公告；
发布时间：2026-07-07；
证券简称：容百科技
原文： 宁波容百新能源科技股份有限公司披露2026年半年度业绩预告，预计当期实现归属于母公司所有者的净利润为10000万元到12000万元，较2025年同期的-6839.46万元实现扭亏为盈，同比增加16839万元到18839万元；预计扣非净利润为9000万元到11000万元，较2025年同期的-7930.53万元同比增加16931万元到18931万元，同样实现扭亏为盈。 2025年半年度公司营业收入为624842.10万元，当期利润总额、归母净利润及扣非归母净利润均为负值，分别为-2266.99万元、-6839.46万元和-7930.53万元。 本次业绩预告未经注册会计师审计，最终财务数据以正式披露的2026年半年报为准。 2026年上半年公司业绩修复主要得益于新能源行业景气度提升，三元正极业务盈利能力提升、海外客户出货量增长，磷酸铁锂项目按计划推进，磷酸锰铁锂业务满产满销，钠电正极进入规模化出货阶段，平台化战略成效显现。",2026-08-15T21:22:30.243870+08:00
