vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,AnnouncementData,2026年半年度业绩预告中扭亏为盈的石油石化行业公司公告,1,公告库,上海石化:上海石化2026年半年度业绩预盈公告,0.99,"公告标题：上海石化:上海石化2026年半年度业绩预盈公告；
发布时间：2026-07-15；
证券简称：上海石化
原文： 中国石化上海石油化工股份有限公司发布2026年半年度业绩预盈公告，预计2026年上半年归属于母公司股东的净利润约为2.34亿元到3.51亿元，扣除非经常性损益的净利润约为2.45亿元到3.67亿元，与上年同期相比均实现扭亏为盈，该业绩未经注册会计师审计或审阅。 上年同期，公司归属于母公司股东净利润为-46212.8万元，扣除非经常性损益的净利润为-4393.75万元，基本每股收益为-0.044元，彼时处于亏损状态。 本次业绩预盈的主要原因是2026年上半年国际原油价格冲高带动石化产品价格上涨，公司优化生产运营后主要产品价格涨幅高于原油加工成本涨幅，产品毛利同比上升，整体盈利增加。",2026-08-12T22:24:18.105202+08:00
gildata,AnnouncementData,2026年半年度业绩预告中扭亏为盈的石油石化行业公司公告,2,公告库,石大胜华:石大胜华2026年半年度业绩预盈公告,0.97,"公告标题：石大胜华:石大胜华2026年半年度业绩预盈公告；
发布时间：2026-07-11；
证券简称：石大胜华
原文： 石大胜华新材料集团股份有限公司发布2026年半年度业绩预盈公告，本次业绩预告属于净利润扭亏为盈的适用情形。经公司财务部门初步测算，预计2026年1月1日至6月30日期间，实现归属于上市公司股东的净利润区间为41000万元到47000万元，较上年同期实现扭亏为盈；扣除非经常性损益后，预计归属于上市公司股东的净利润区间为41400万元到47400万元，同样较上年同期实现扭亏为盈，本次预计业绩尚未经注册会计师审计。 石大胜华上年同期半年度业绩表现为亏损，其中归属于上市公司股东的净利润为-5633.78万元，扣除非经常性损益后的归属于上市公司股东净利润为-5713.48万元，对应上年同期每股收益为-0.28元。公告明确说明本次半年度业绩实现扭亏为盈的核心原因，当前市场延续回升态势，新能源电解液相关产品需求复苏明显，公司紧抓该市场机遇，核心产品价格上涨带动整体盈利能力大幅提升。此外，公告提示公司不存在影响本次业绩预告内容准确性的重大不确定因素，但本次预告数据仅为初步测算结果，具体准确财务数据需以公司后续正式披露的半年度定期报告为准，提醒广大投资者注意投资风险。",2026-08-12T22:24:18.105202+08:00
gildata,AnnouncementData,2026年半年度业绩预告中扭亏为盈的石油石化行业公司公告,3,公告库,岳阳兴长:2026年半年度业绩预告,0.97,"公告标题：岳阳兴长:2026年半年度业绩预告；
发布时间：2026-07-10；
证券简称：岳阳兴长
原文： 岳阳兴长石化股份有限公司发布2026年半年度业绩预告，业绩预告期间为2026年1月1日至2026年6月30日，本次预计业绩为净利润正值，属于扭亏为盈情形。其中预计归属于上市公司股东的净利润盈利区间为1200万元到1600万元，上年同期为亏损2948.33万元，同比增长幅度在140.70%到154.27%之间；扣除非经常性损益后的净利润盈利区间为1000万元到1400万元，上年同期为亏损2986.41万元，同比增长幅度在133.49%到146.88%之间；基本每股收益盈利区间为0.033元/股到0.043元/股，上年同期为亏损0.081元/股。本次业绩预告相关数据未经会计师事务所审计，公司已就业绩预告事项与年报审计会计师事务所预沟通，双方不存在分歧，最终具体业绩数据将在2026年半年度报告中详细披露。 本次业绩大幅增长、实现扭亏为盈主要来自四方面因素的共同推动：第一，传统能源化工业务上年同期4-6月开展周期性装置检修，本期装置正常生产，产销量同比大幅提升，拉动业绩增长；第二，化工新材料业务受益于新能源行业景气度持续提升，负极材料及树脂行业需求增加，公司相关产品实现量价齐升，带动控股子公司湖南立恒与新岭化工业绩同比增长；第三，节能环保业务销售市场逐步拓展，控股子公司湖南立泰的CO催化剂业务销售体系已逐步成熟，业绩实现同比增长；第四，报告期内公司持续推进集团化管控，优化生产运营效率，全面落实降本增效措施，对整体经营业绩产生了积极影响。",2026-08-12T22:24:18.105202+08:00
gildata,AnnouncementData,2026年半年度业绩预告中扭亏为盈的石油石化行业公司公告,4,公告库,中泰化学:新疆中泰化学股份有限公司2026年半年度业绩预告,0.97,"公告标题：中泰化学:新疆中泰化学股份有限公司2026年半年度业绩预告；
发布时间：2026-07-11；
证券简称：中泰化学
原文： 新疆中泰化学股份有限公司发布2026年半年度业绩预告，预告期间为2026年1月1日至6月30日，预计本期业绩实现扭亏为盈。其中归属于上市公司股东的净利润预计盈利5500万元至8200万元，上年同期亏损19412.83万元，同比增幅达128.33%至142.24%；扣除非经常性损益后的净利润预计亏损2800万元至5500万元，上年同期亏损21711.75万元，同比增长74.67%至87.10%；基本每股收益预计盈利0.0214元/股至0.0318元/股，上年同期为亏损0.0754元/股。本次业绩预告未经会计师事务所审计，具体财务数据需以公司后续正式披露的《2026年半年度报告》为准。 本次业绩大幅变动、实现扭亏为盈主要来自多方面因素支撑：生产经营层面，公司深耕核心主业，持续推进提质增效与产品结构优化，加大创新研发力度，其中核心板块氯碱化工盈利水平保持稳定，煤化工甲醇产品依托成本优势实现产销规模稳定释放，成为公司稳定盈利的重要增量，纺织业务盈利能力也实现稳步提升；同时公司重要联营企业亏损大幅收窄，使得公司对应投资损失同比减少。此外，本期非经常性损益带来正向贡献，主要包括公司债权清收收益和政府补助。 本次业绩预告仅为公司财务部门的初步测算结果，公司已提示投资风险，提醒广大投资者谨慎决策。",2026-08-12T22:24:18.105202+08:00
gildata,AnnouncementData,2026年半年度业绩预告中扭亏为盈的石油石化行业公司公告,5,公告库,海南高速:2026年半年度业绩预告,0.96,"公告标题：海南高速:2026年半年度业绩预告；
发布时间：2026-07-15；
证券简称：海南高速
原文：海南高速2026年半年度业绩预告显示，公司预计实现扭亏为盈，归属于上市公司股东的净利润区间为4200万元至6300万元，较上年同期重组前的-3546.40万元、重组后的-3173.38万元实现大幅增长。基本每股收益预计为0.042元至0.064元，上年同期基本每股收益为-0.036元（重组前）和-0.032元（重组后）。扣除非经常性损益后的净利润区间为-1200万元至-600万元，较上年同期的-3454.59万元有所收窄。本次业绩变动主要系联营企业投资收益增长，且公司在2026年1月和4月分别完成海南华特石油化工有限公司、海南省交控石化有限公司的合并范围调整，按照同一控制下企业合并原则对上年同期数据进行了追溯调整。本次业绩预告相关财务数据未经会计师事务所预审计，但公司与会计师事务所就相关重大事项初步沟通后无重大分歧，业绩预告结果具备一定可靠性，最终财务数据将以正式半年度报告披露为准。",2026-08-12T22:24:18.105202+08:00
gildata,AnnouncementData,2026年半年度业绩预告中扭亏为盈的石油石化行业公司公告,6,公告库,普利特:2026年半年度业绩预告,0.96,"公告标题：普利特:2026年半年度业绩预告；
发布时间：2026-07-15；
证券简称：普利特
原文：上海普利特2026年半年度业绩预告显示，公司预计归属于上市公司股东的净利润区间为8000万元至10000万元，同比下降51.76%至61.41%；扣非净利润区间为6100万元至8100万元，同比下降60.29%至70.10%；基本每股收益预计为0.07元至0.09元，较上年同期的0.19元大幅下滑。本次业绩变动主要源于上游大宗石化产品价格上涨，公司原材料成本增加，且产品定价传导存在滞后性，不过新能源业务出货规模快速增长实现扭亏为盈，同时公司预计2026年1-6月营业收入同比增长30%以上。本次业绩预告为公司财务部门初步核算数据，未经过会计师事务所预审计，最终财务数据以2026年半年度报告披露为准，且公司后续将通过降本增效、优化产品客户结构等措施提升运营效率与盈利能力。",2026-08-12T22:24:18.105202+08:00
gildata,AnnouncementData,2026年半年度业绩预告中扭亏为盈的石油石化行业公司公告,7,公告库,天洋新材:2026年半年度业绩预盈公告,0.96,"公告标题：天洋新材:2026年半年度业绩预盈公告；
发布时间：2026-07-15；
证券简称：天洋新材
原文：天洋新材（上海）科技股份有限公司2026年半年度业绩预盈公告显示，公司预计2026年1-6月归属于上市公司股东的净利润为400万元到750万元，较上年同期实现扭亏为盈，上年同期该指标为-1056.26万元；扣除非经常性损益后归属于上市公司股东的净利润预计为180万元到530万元，上年同期该项指标为-932.05万元。本次业绩扭亏为盈主要源于两方面主营业务影响：一是停止了毛利率为负的光伏封装胶膜业务，减少了亏损对净利润的拖累；二是热熔胶业务销售收入较上年同期增长约13%，带动毛利额增加，直接推动净利润提升。公告同时提示，本次业绩预告未经注册会计师审计，仅为初步测算数据，最终财务数据需以正式披露的经审计半年度报告为准，且不存在影响业绩预告准确性的重大不确定因素。",2026-08-12T22:24:18.105202+08:00
gildata,AnnouncementData,2026年半年度业绩预告中扭亏为盈的石油石化行业公司公告,8,公告库,盈新发展:2026年半年度业绩预告,0.95,"公告标题：盈新发展:2026年半年度业绩预告；
发布时间：2026-07-11；
证券简称：盈新发展
原文：北京铜官盈新文化旅游发展股份有限公司发布2026年半年度业绩预告，业绩预告期间为2026年1月1日至6月30日，业绩类型为扭亏为盈。报告期内，归属于上市公司股东的净利润预计盈利7500万至10000万元，上年同期为亏损16129.48万元；扣除非经常性损益后的净利润预计亏损25000万至33000万元，亏损幅度较上年同期有所扩大；基本每股收益预计盈利0.01至0.02元，上年同期为亏损0.0275元。本次业绩预告相关财务数据为公司财务部门初步测算结果，未经审计机构预审计，最终数据以正式披露的2026年半年度报告为准。公司净利润扭亏为盈主要系本期处置子公司西宁盈新置业有限公司和新丝路控股集团有限公司股权，确认合计约3.85亿元的投资收益，该部分收益计入当期非经常性损益。",2026-08-12T22:24:18.105202+08:00
gildata,AnnouncementData,2026年半年度业绩预告中扭亏为盈的石油石化行业公司公告,9,公告库,领先股份:2026年半年度业绩预盈公告,0.93,"公告标题：领先股份:2026年半年度业绩预盈公告；
发布时间：2026-07-15；
证券简称：领先股份
原文：深圳市领先半导体科技产业股份有限公司发布2026年半年度业绩预盈公告，预计2026年半年度实现归属于上市公司股东的净利润为18000万元左右，将实现扭亏为盈，同时预计扣除非经常性损益的净利润为18100万元左右。上年同期公司归属于母公司所有者的净利润为-2264.80万元，扣除非经常性损益的净利润为-2348.66万元，本次业绩实现大幅反转。公司本次业绩扭亏为盈的核心原因是2025年末完成重大资产重组，置入AAMI半导体引线框架业务并剥离传统线缆用高分子材料业务，资产质量、业务结构得到根本性优化，资产规模与盈利能力大幅改善。本次业绩预告未经注册会计师审计，预告数据仅为初步核算结果，具体准确财务数据需以正式披露的2026年半年度报告为准。",2026-08-12T22:24:18.105202+08:00
gildata,AnnouncementData,2026年半年度业绩预告中扭亏为盈的石油石化行业公司公告,10,公告库,深圳新星:2026年半年度业绩预盈公告,0.92,"公告标题：深圳新星:2026年半年度业绩预盈公告；
发布时间：2026-07-15；
证券简称：深圳新星
原文： 深圳市新星轻合金材料股份有限公司发布2026年半年度业绩预盈公告，公司董事会承诺公告内容真实、准确、完整，不存在虚假记载、误导性陈述或重大遗漏，本次业绩预告的核心变动为净利润实现扭亏为盈。根据公告的初步测算，本次业绩预告区间为2026年1月1日至2026年6月30日，预计该期间实现归属于母公司所有者的净利润在1900万元到2200万元之间，对比上年同期成功实现扭亏为盈；同时预计归属于母公司所有者的扣除非经常性损益后的净利润为1700万元到2000万元。本次业绩预告为公司财务部门结合报告期经营情况做出的初步预测，尚未经过会计师事务所审计，最终准确财务数据需以公司正式披露的2026年半年度报告为准。 上年同期深圳市新星轻合金材料股份有限公司整体经营业绩处于亏损状态，其中利润总额为-2696.30万元，归属于母公司所有者的净利润为-2236.32万元，归属于母公司所有者的扣除非经常性损益的净利润为-2611.77万元，对应每股收益为-0.11元。本次业绩扭亏为盈主要来自两方面业务拉动：一是公司电池铝箔坯料冷精轧产品销售占比持续提升，带动铝箔坯料业务的综合毛利得到改善；二是六氟磷酸锂市场价格较上年同期出现较大幅度上涨，带动该产品经营业绩较去年同期大幅改善，不过2026年第二季度受原材料价格波动影响，公司当季度盈利有所收窄。公司明确表示，不存在其他影响本次业绩预告内容准确性的不确定因素，同时提醒广大投资者注意投资风险。",2026-08-12T22:24:18.105202+08:00
