vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,AnnouncementData,2026年半年度业绩预告或半年报中提到行业高景气、需求旺盛的石油石化行业公司公告,1,公告库,荣盛石化:2026年半年度业绩预告,0.93,"公告标题：荣盛石化:2026年半年度业绩预告；
发布时间：2026-07-15；
证券简称：荣盛石化
原文：荣盛石化股份有限公司2026 年半年度业绩预告
本公司及董事会全体成员保证信息披露内容的真实、准确和完整，没有虚假记载、误导性陈述或重大遗漏。
一、本期业绩预计情况
1、业绩预告期间：2026 年 1 月 1 日至 2026 年 6 月 30 日
2、业绩预告情况：预计净利润为正值且属于同向上升情形
| 项目 | 本报告期 | 上年同期 |
| --- | --- | --- |
| 归属于上市公司股东 的净利润 | 盈利：500.000万元-520.000万元 | 盈利：60.208.41万元 |
|  | 比上年同期增长：730.45%-763.67% |  |
| 扣除非经常性损益后 的净利润 | 盈利：520.000万元-540.000万元 | 盈利：75495.79万元 |
|  | 比上年同期增长：588.78%-615.27% |  |
| 基本每股收益 | 盈利：0.52元/股-0.54元/股 | 盈利：0.06元/股 |
二、与会计师事务所沟通情况
本次业绩预告未经会计师事务所预审计。
三、业绩变动原因说明
公司2026 年半年度业绩与上年同期比较实现大幅增长，主要原因有：
1、报告期内，石油化工行业较上年同期有所回暖，景气度回升，公司主要产品加工价差较上年同期明显修复，产品毛利状况得到改善。
2、公司依托全球特大型炼化一体化装置，持续开展技术改造与工艺优化，充分挖掘现有产能潜力，不断提升装置运行效率和弹性生产能力。在原油价格中枢上移的背景下，公司全产业链优势进一步凸显，上半年各板块运行平稳，产销顺畅。
3、公司密切跟踪市场动态，采取稳健多元化的采购策略，在保障原油稳定供应的同时，有效平衡成本与供应韧性。
四、风险提示
本次业绩预告是公司财务部门初步测算结果，未经审计机构审计，具体财务数据以公司披露的2026 年半年度报告为准。
敬请投资者谨慎决策，注意投资风险。
特此公告。",2026-08-12T22:24:03.962295+08:00
gildata,AnnouncementData,2026年半年度业绩预告或半年报中提到行业高景气、需求旺盛的石油石化行业公司公告,2,公告库,恒逸石化:2026年半年度业绩预告,0.9,"公告标题：恒逸石化:2026年半年度业绩预告；
发布时间：2026-06-26；
证券简称：恒逸石化
原文： 恒逸石化2026年半年度业绩预告显示，归属于上市公司股东的净利润预计为550000.00万元-600000.00万元，较上年同期增长2326.31%-2546.88%，扣除非经常性损益后的净利润预计为547000.00万元-597000.00万元，同比增长3560.47%-3895.07%，基本每股收益预计为1.63元/股-1.78元/股，上年同期为0.07元/股。 本次业绩预告上年同期数据为追溯调整前数据，因公司2026年1月完成同一控制下企业合并恒逸能源科技（吐鲁番）100%股权，追溯调整后的财务数据将在正式半年报中披露。 本次业绩预告相关财务数据未经注册会计师审计，业绩大幅增长主要源于三方面：一是作为国内唯一在海外布局炼化工厂的化纤龙头企业，文莱炼厂依托东南亚成品油供需偏紧、盈利优于国内及自身税收、成本优势实现满产满销，成为核心业绩增长动力；二是年产120万吨己内酰胺-聚酰胺一体化及配套项目（一期）凭借自研先进技术、优化的能耗物耗指标实现产销两旺，成为新的利润增长点；三是PTA及下游聚酯产业链稳步复苏，行业新增产能受限带动景气度回升，公司作为行业领先企业产品单吨利润大幅改善。 公司提示本次业绩预告为初步测算结果，实际数据以2026年半年度报告为准，提请投资者注意投资风险。",2026-08-12T22:24:03.962295+08:00
gildata,AnnouncementData,2026年半年度业绩预告或半年报中提到行业高景气、需求旺盛的石油石化行业公司公告,3,公告库,荣盛石化:2026年半年度业绩预告,0.89,"公告标题：荣盛石化:2026年半年度业绩预告；
发布时间：2026-07-15；
证券简称：荣盛石化
原文： 荣盛石化2026年半年度业绩预告披露，2026年上半年归属于上市公司股东的净利润预计盈利500亿元-520亿元，较上年同期增长730.45%-763.67%；扣除非经常性损益后的净利润预计盈利520亿元-540亿元，较上年同期增长588.78%-615.27%；基本每股收益预计盈利0.52元/股-0.54元/股，上年同期为0.06元/股，整体业绩实现同向大幅上升，本次业绩预告未经会计师事务所预审计，具体财务数据以正式半年度报告披露内容为准。 荣盛石化本次半年度业绩大幅增长的核心原因之一是石油化工行业较上年同期回暖，行业景气度回升，带动公司主要产品加工价差较上年同期明显修复，产品整体毛利状况得到显著改善。 公司自身运营层面也为业绩增长提供了支撑，依托全球特大型炼化一体化装置，公司持续开展技术改造与工艺优化，充分挖掘现有产能潜力，提升了装置运行效率和弹性生产能力；在原油价格中枢上移的背景下，公司全产业链优势进一步凸显，上半年各板块运行平稳、产销顺畅；同时公司密切跟踪市场动态，采取稳健多元化的采购策略，在保障原油稳定供应的同时，有效平衡了成本与供应韧性。",2026-08-12T22:24:03.962295+08:00
gildata,AnnouncementData,2026年半年度业绩预告或半年报中提到行业高景气、需求旺盛的石油石化行业公司公告,4,公告库,恒力石化:恒力石化2026年半年度业绩预增公告,0.89,"公告标题：恒力石化:恒力石化2026年半年度业绩预增公告；
发布时间：2026-07-07；
证券简称：恒力石化
原文：恒力石化2026年半年度业绩预增公告显示，公司预计实现归属于上市公司股东的净利润为720000万元左右，同比增加136.06%左右，扣非后净利润预计为533000万元左右，同比增加132.10%左右。上年同期公司归属于上市公司股东的净利润为305009.90万元，扣非后净利润为229643.55万元，每股收益0.43元/股。本次业绩预增主要源于三方面因素：一是石油化工行业供需格局改善，产品价差扩大，炼化、PTA及下游聚酯新材料产业链盈利水平大幅提升；二是公司“油、煤、化”一体化全产业链优势释放，核心产能运行平稳，产业链协同效应持续增厚业绩；三是通过强化精细化管理与全流程成本管控，动态优化采购、排产与产品结构，保障主业盈利能力持续增长。本次业绩预告数据未经注册会计师审计，仅为财务部门初步核算结果，最终准确财务数据需以正式披露的2026年半年度报告为准。",2026-08-12T22:24:03.962295+08:00
gildata,AnnouncementData,2026年半年度业绩预告或半年报中提到行业高景气、需求旺盛的石油石化行业公司公告,5,公告库,东方盛虹:2026年半年度业绩预告,0.88,"公告标题：东方盛虹:2026年半年度业绩预告；
发布时间：2026-07-06；
证券简称：东方盛虹
原文： 江苏东方盛虹股份有限公司发布2026年半年度业绩预告，预告区间为2026年1月1日至6月30日，预计本期业绩同向上升，净利润为正值。归属于上市公司股东的净利润预计盈利420000万元到500000万元，较上年同期增长987.39%到1194.51%；扣除非经常性损益后的净利润预计盈利401600万元到481600万元，同比增长1377.97%到1672.39%；基本每股收益预计为0.64元/股到0.76元/股，上年同期为0.06元/股，业绩同比增幅极为显著。本次业绩预告相关财务数据尚未经注册会计师审计，最终具体财务数据以公司正式披露的2026年半年度报告为准。 本次业绩大幅增长主要受三方面因素推动：第一，2026年上半年石化化工行业供需格局改善，行业景气度提升，叠加地缘局势紧张推高国际原油价格中枢，受成本抬升、原料供应偏紧影响，石化产品价格整体呈上升趋势，公司主要产品价差扩大，直接带动整体盈利能力大幅提升。 第二，公司充分发挥炼化一体化布局的成本优势，核心的1600万吨/年盛虹炼化一体化项目及其他各产业板块上半年运行平稳、产销顺畅，同时公司主动把握市场变化，灵活调整下游产品结构，有效提升了整体市场竞争力。第三，公司通过强化产业板块联动、智能化提质增效、严控供应链稳定等多项措施，保障了主业盈利能力的稳定增长。本次业绩预告为初步预测，公司提示投资者注意业绩相关风险，理性投资。",2026-08-12T22:24:03.962295+08:00
gildata,AnnouncementData,2026年半年度业绩预告或半年报中提到行业高景气、需求旺盛的石油石化行业公司公告,6,公告库,东方盛虹:2026年半年度业绩预告,0.87,"公告标题：东方盛虹:2026年半年度业绩预告；
发布时间：2026-07-06；
证券简称：东方盛虹
原文：江苏东方盛虹股份有限公司2026 年半年度业绩预告
本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。
一、本期业绩预计情况
1、业绩预告期间：2026 年 1 月 1 日至 2026 年 6 月 30 日。
2、业绩预告情况：预计净利润为正值且属于同向上升情形。
| 项目 | 本报告期 | 上年同期 |
| --- | --- | --- |
| 归属于上市公司股东的 净利润 | 盈利：420，000万元—500，000万元 | 盈利：38.624.51万元 |
|  | 比上年同期上升：987.39%—1194.51% |  |
| 扣除非经常性损益后的 净利润 | 盈利：401，600万元—481，600万元 | 盈利：27，172.39万元 |
|  | 比上年同期上升：1377.97%-1672.39% |  |
| 基本每股收益 | 盈利：0.64元/股-0.76元/股 | 盈利：0.06元/股 |
二、与会计师事务所沟通情况
本次业绩预告相关财务数据未经注册会计师审计。
三、业绩变动原因说明
公司2026 年半年度业绩与上年同期相比实现大幅增长，主要原因是：
1、2026 年上半年，石化化工行业供需格局改善导致景气度有所提升。同时，地缘局势紧张带动国际原油价格中枢上移，受成本抬升以及原料供应偏紧的影响，石化产品价格整体呈上升趋势，公司主要产品价差扩大带动整体盈利能力提升。
2、公司充分发挥炼化一体化布局的成本优势，1600 万吨/年盛虹炼化一体化项目及其他各产业板块上半年运行平稳、产销顺畅。同时，公司主动把握市场变化，灵活调整下游产品结构，有效提升市场竞争力。
3、公司积极采取强化产业板块联动、智能化提质增效、严控供应链稳定等多种措施，确保了主业盈利能力的增长。
四、风险提示
本次业绩预告是公司财务部门初步预测的结果，具体财务数据以公司披露的2026 年半年度报告为准。敬请广大投资者理性投资，注意风险。
特此公告。
江苏东方盛虹股份有限公司董事会2026 年 7 月 3 日",2026-08-12T22:24:03.962295+08:00
gildata,AnnouncementData,2026年半年度业绩预告或半年报中提到行业高景气、需求旺盛的石油石化行业公司公告,7,公告库,日联科技:2026年半年度业绩预告的自愿性披露公告,0.87,"公告标题：日联科技:2026年半年度业绩预告的自愿性披露公告；
发布时间：2026-07-17；
证券简称：日联科技
原文： 日联科技发布2026年半年度业绩预告，预计2026年上半年（1月1日至6月30日）业绩将实现大幅增长，本次预告相关财务数据未经注册会计师审计。本次预告预计，公司2026年半年度实现营业收入约71500万元，较2025年同期的46039.14万元增加约25460.86万元，同比增幅约55.30%；预计实现归属于母公司所有者的净利润约12800万元，较2025年同期的8279.36万元增加约4520.64万元，同比增幅约54.60%；预计实现扣除非经常性损益后的归属于母公司净利润约10900万元，较2025年同期的5965.64万元增加约4934.36万元，同比增幅高达约82.71%。三项核心财务指标均实现超50%的同比增长，其中扣非净利润的增长幅度显著高于营业收入和归母净利润的增速，反映出公司核心业务盈利能力提升较为明显。 本次公告披露了业绩大幅增长的核心驱动因素，主要包括三方面：一是下游集成电路、高端电子制造领域行业景气度较高，市场对公司产品需求旺盛；二是公司持续加大研发投入以及全球营销网络建设，公司综合竞争力得到进一步提升；三是公司通过投资并购打造检测平台化能力，本次并入报表的收购标的为公司整体业绩增长贡献了增量收益。同时公告提示，本次预告为初步核算数据，最终准确财务数据以正式披露的2026年半年度报告为准，目前未发现影响预告准确性的重大不确定因素，提醒投资者注意投资风险。",2026-08-12T22:24:03.962295+08:00
gildata,AnnouncementData,2026年半年度业绩预告或半年报中提到行业高景气、需求旺盛的石油石化行业公司公告,8,公告库,鼎际得:辽宁鼎际得石化股份有限公司2026年半年度业绩预告,0.86,"公告标题：鼎际得:辽宁鼎际得石化股份有限公司2026年半年度业绩预告；
发布时间：2026-07-15；
证券简称：鼎际得
原文：二、上年同期经营业绩情况
2025 年半年度公司业绩情况如下：
（一）利润总额为 288.85 万元。归属于上市公司股东的净利润为 422.64 万元；归属于上市公司股东的扣除非经常性损益后的净利润为296.40 万元。
（二）基本每股收益为0.03 元。
三、本期业绩预增的主要原因
（一）2026 上半年，产品应用领域市场需求持续稳定回暖，行业供需格局逐步向好，公司牢牢把握本轮行业市场复苏的发展契机，结合下游订单动态，合理统筹排布全年生产计划，持续深化全流程生产精细化管理。通过设备技改、工艺优化、能耗管控等多项举措全面提升核心生产装置连续稳定运行效率。受益于各项生产运营举措落地见效，规模化生产优势得到释放，产品综合毛利率较上年同期有所提升。
（二）在市场销售与产品布局层面，公司依托核心产品优势，积极应对市场变化，持续加大高附加值、高毛利核心产品的渠道拓展、市场推广与优质长期客户开发力度。通过适时优化产品结构与销售区域布局，有效带动了整体销售收入的增长。
（三）报告期内，POE 高端新材料项目顺利投产并陆续投放市场，该业务收益为公司整体盈利提供了新的支撑。
四、风险提示
本次业绩预告是公司财务部门基于自身专业判断进行的初步核算，未经注册会计师审计。截至本公告日，公司不存在影响本次业绩预告内容准确性的重大不确定因素。
五、其他说明事项
以上预告数据仅为初步核算数据，具体准确的财务数据以公司正式披露的2026 年半年度报告为准。敬请广大投资者注意投资风险。
特此公告。
辽宁鼎际得石化股份有限公司董事会2026 年 7 月 15 日",2026-08-12T22:24:03.962295+08:00
gildata,AnnouncementData,2026年半年度业绩预告或半年报中提到行业高景气、需求旺盛的石油石化行业公司公告,9,公告库,上海石化:上海石化2026年半年度业绩预盈公告,0.85,"公告标题：上海石化:上海石化2026年半年度业绩预盈公告；
发布时间：2026-07-15；
证券简称：上海石化
原文： 中国石化上海石油化工股份有限公司发布2026年半年度业绩预盈公告，预计2026年上半年归属于母公司股东的净利润约为2.34亿元到3.51亿元，扣除非经常性损益的净利润约为2.45亿元到3.67亿元，与上年同期相比均实现扭亏为盈，该业绩未经注册会计师审计或审阅。 上年同期，公司归属于母公司股东净利润为-46212.8万元，扣除非经常性损益的净利润为-4393.75万元，基本每股收益为-0.044元，彼时处于亏损状态。 本次业绩预盈的主要原因是2026年上半年国际原油价格冲高带动石化产品价格上涨，公司优化生产运营后主要产品价格涨幅高于原油加工成本涨幅，产品毛利同比上升，整体盈利增加。",2026-08-12T22:24:03.962295+08:00
gildata,AnnouncementData,2026年半年度业绩预告或半年报中提到行业高景气、需求旺盛的石油石化行业公司公告,10,公告库,恒力石化:恒力石化2026年半年度业绩预增公告,0.84,"公告标题：恒力石化:恒力石化2026年半年度业绩预增公告；
发布时间：2026-07-07；
证券简称：恒力石化
原文：二、上年同期业绩情况
1、归属于上市公司股东的净利润：305,009.90 万元；归属于上市公司股东的扣除非经常性损益的净利润：229,643.55 万元。
2、每股收益：0.43 元/股。
三、本期业绩变动的主要原因
1、行业供需格局改善，产品价差扩大，盈利水平大幅提升。
报告期内，石油化工行业供需结构边际优化，景气度稳步回升。炼化、PTA 及下游聚酯新材料产业链运行平稳、产销顺畅，行业格局持续向好。公司主要产品加工价差较上年同期明显修复，原料成本端与产品端的价差红利得以充分释放，有效放大产业链整体盈利优势。
2、一体化全产业链优势释放，协同效应增厚业绩
公司充分发挥“油、煤、化”深度融合的“大化工”平台优势，2000 万吨/年炼化、600 万吨/年煤化工、150 万吨/年乙烯及1660 万吨/年PTA 等核心产能运行平稳、产销顺畅，产业链协同效应持续释放，炼化、PTA 板块加工价差显著修复，有效增厚经营业绩。
3、强化精细化管理与全流程成本管控，确保主业盈利能力。
公司持续深化产业链板块联动与产销协同，动态优化原料采购节奏和产品排产计划，同时严控供应链稳定性，灵活调整下游产品结构，多措并举提升市场响应速度和运营效率，有效保障了主业盈利能力的持续增长。
四、风险提示
公司本次业绩预告数据未经注册会计师审计，为财务部门基于自身专业判断进行的初步核算，公司尚未发现影响本次业绩预告内容准确性的重大不确定因素。
五、其他说明事项
以上预告数据仅为初步核算数据，具体准确的财务数据以公司正式披露的2026年半年度报告为准，敬请广大投资者注意投资风险。
特此公告。
恒力石化股份有限公司董事会2026 年 7 月 7 日",2026-08-12T22:24:03.962295+08:00
