vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,AnnouncementData,2026年半年度业绩预告或半年报中提到订单充足、满产满销、产能利用率高的石油石化行业公司公告,1,公告库,恒逸石化:2026年半年度业绩预告,0.93,"公告标题：恒逸石化:2026年半年度业绩预告；
发布时间：2026-06-26；
证券简称：恒逸石化
原文： 恒逸石化2026年半年度业绩预告显示，归属于上市公司股东的净利润预计为550000.00万元-600000.00万元，较上年同期增长2326.31%-2546.88%，扣除非经常性损益后的净利润预计为547000.00万元-597000.00万元，同比增长3560.47%-3895.07%，基本每股收益预计为1.63元/股-1.78元/股，上年同期为0.07元/股。 本次业绩预告上年同期数据为追溯调整前数据，因公司2026年1月完成同一控制下企业合并恒逸能源科技（吐鲁番）100%股权，追溯调整后的财务数据将在正式半年报中披露。 本次业绩预告相关财务数据未经注册会计师审计，业绩大幅增长主要源于三方面：一是作为国内唯一在海外布局炼化工厂的化纤龙头企业，文莱炼厂依托东南亚成品油供需偏紧、盈利优于国内及自身税收、成本优势实现满产满销，成为核心业绩增长动力；二是年产120万吨己内酰胺-聚酰胺一体化及配套项目（一期）凭借自研先进技术、优化的能耗物耗指标实现产销两旺，成为新的利润增长点；三是PTA及下游聚酯产业链稳步复苏，行业新增产能受限带动景气度回升，公司作为行业领先企业产品单吨利润大幅改善。 公司提示本次业绩预告为初步测算结果，实际数据以2026年半年度报告为准，提请投资者注意投资风险。",2026-08-12T22:24:10.139160+08:00
gildata,AnnouncementData,2026年半年度业绩预告或半年报中提到订单充足、满产满销、产能利用率高的石油石化行业公司公告,2,公告库,百隆东方:百隆东方2026年半年度业绩预增公告,0.89,"公告标题：百隆东方:百隆东方2026年半年度业绩预增公告；
发布时间：2026-07-08；
证券简称：百隆东方
原文：百隆东方2026年半年度业绩预增公告显示，公司预计实现归属于上市公司股东的净利润5.07亿元至6.24亿元，较上年同期3.90亿元同比增长30.00%至60.00%，预计增加1.17亿元到2.34亿元。同时预计扣除非经常性损益的净利润为4.86亿元至5.94亿元，较上年同期3.60亿元同比增长35.00%到65.00%，预计增加1.26亿元到2.34亿元。本次业绩预增的核心原因为2026年上半年订单饱满，产能利用率提升，上半年销量持续增长，主营业务利润增加。本次业绩预告尚未经会计师事务所审计，最终财务数据以正式披露的2026年半年报为准，不存在影响预告准确性的重大不确定因素。",2026-08-12T22:24:10.139160+08:00
gildata,AnnouncementData,2026年半年度业绩预告或半年报中提到订单充足、满产满销、产能利用率高的石油石化行业公司公告,3,公告库,恒逸石化:2026年半年度业绩预告,0.89,"公告标题：恒逸石化:2026年半年度业绩预告；
发布时间：2026-06-26；
证券简称：恒逸石化
原文：二、与会计师事务所沟通情况
本次业绩预告相关的财务数据未经注册会计师审计。
三、业绩变动原因说明
报告期内，公司充分发挥柱状均衡全产业链一体化和“涤纶+锦纶”双“纶”驱动的优势，持续推进科技创新成果应用，实现归属于上市公司股东的净利润550,000.00 万元-600,000.00 万元，同比大幅增长 2,326.31%-2,546.88%，主要原因如下：
1、作为国内龙头化纤企业中唯一在海外布局炼化工厂的公司，充分受益于东南亚地区成品油供需格局长期偏紧，成品油盈利远好于国内，同时 PX、苯等化工产品盈利继续维持高位水平。报告期内，文莱炼厂继续享受税收、市场化定价以及运保费低廉等优势，并全面把握市场机遇，实现了满产满销，单吨产品盈利长期维持高位水平，成为公司当前及今后业绩增长的核心因素，文莱炼厂的独特区位优势及前瞻战略布局优势愈发凸显。
2、报告期内，公司持续保持高强度的研发投入，产品成果迭代创新，作为自研成果集成应用的公司年产 120 万吨己内酰胺-聚酰胺一体化及配套项目（一期）大力应用多项公司自主研发的先进技术，且该项目全流程集成配套生产要素与能源资源，能耗物耗指标显著优化，项目的技术优势、一体化优势与成本优势显著领先于同类企业。报告期内该项目产销两旺，成为公司新的利润增长点，为业绩增长贡献重要增量。
3、公司所在的PTA 及下游聚酯产业链条稳步复苏，产品下游需求稳步增长，且在碳达峰和碳中和政策的影响下，PTA 及聚酯行业未来新增产能几乎为零，有望带动今后几年产业链景气度大幅回升，公司作为 PTA 及聚酯长丝、聚酯瓶片领先企业，产品单吨利润实现了大幅改善并全面盈利，为公司中长期业绩增长提供长期支撑。
四、风险提示
本次业绩预告是公司财务部门初步测算的结果，未经注册会计师审计。公司2026 年半年度业绩具体数据将在公司2026 年半年度报告中详细披露，实际数据请以2026 年半年度报告为准。敬请广大投资者谨慎决策，注意投资风险。
特此公告。
恒逸石化股份有限公司董事会2026 年 6 月 25 日",2026-08-12T22:24:10.139160+08:00
gildata,AnnouncementData,2026年半年度业绩预告或半年报中提到订单充足、满产满销、产能利用率高的石油石化行业公司公告,4,公告库,荣盛石化:2026年半年度业绩预告,0.86,"公告标题：荣盛石化:2026年半年度业绩预告；
发布时间：2026-07-15；
证券简称：荣盛石化
原文：荣盛石化股份有限公司2026 年半年度业绩预告
本公司及董事会全体成员保证信息披露内容的真实、准确和完整，没有虚假记载、误导性陈述或重大遗漏。
一、本期业绩预计情况
1、业绩预告期间：2026 年 1 月 1 日至 2026 年 6 月 30 日
2、业绩预告情况：预计净利润为正值且属于同向上升情形
| 项目 | 本报告期 | 上年同期 |
| --- | --- | --- |
| 归属于上市公司股东 的净利润 | 盈利：500.000万元-520.000万元 | 盈利：60.208.41万元 |
|  | 比上年同期增长：730.45%-763.67% |  |
| 扣除非经常性损益后 的净利润 | 盈利：520.000万元-540.000万元 | 盈利：75495.79万元 |
|  | 比上年同期增长：588.78%-615.27% |  |
| 基本每股收益 | 盈利：0.52元/股-0.54元/股 | 盈利：0.06元/股 |
二、与会计师事务所沟通情况
本次业绩预告未经会计师事务所预审计。
三、业绩变动原因说明
公司2026 年半年度业绩与上年同期比较实现大幅增长，主要原因有：
1、报告期内，石油化工行业较上年同期有所回暖，景气度回升，公司主要产品加工价差较上年同期明显修复，产品毛利状况得到改善。
2、公司依托全球特大型炼化一体化装置，持续开展技术改造与工艺优化，充分挖掘现有产能潜力，不断提升装置运行效率和弹性生产能力。在原油价格中枢上移的背景下，公司全产业链优势进一步凸显，上半年各板块运行平稳，产销顺畅。
3、公司密切跟踪市场动态，采取稳健多元化的采购策略，在保障原油稳定供应的同时，有效平衡成本与供应韧性。
四、风险提示
本次业绩预告是公司财务部门初步测算结果，未经审计机构审计，具体财务数据以公司披露的2026 年半年度报告为准。
敬请投资者谨慎决策，注意投资风险。
特此公告。",2026-08-12T22:24:10.139160+08:00
gildata,AnnouncementData,2026年半年度业绩预告或半年报中提到订单充足、满产满销、产能利用率高的石油石化行业公司公告,5,公告库,茂化实华:公司2026年半年度业绩预告,0.84,"公告标题：茂化实华:公司2026年半年度业绩预告；
发布时间：2026-07-14；
证券简称：茂化实华
原文：茂名石化实华股份有限公司2026年半年度业绩预告
本公司及董事会全体成员保证信息披露内容的真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。
一、本期业绩预计情况
1.业绩预告期间：2026 年 1 月 1 日至 2026 年 6 月 30 日  
2.业绩预告情况：预计净利润为负值
（1）以区间数进行业绩预告的
单位：万元
| 项目 | 本报告期 上年同期 |  |  |  |
| --- | --- | --- | --- | --- |
| 归属于上市公司 股东的净利润 | -3,500 ～ |  | -2,700 | -8,265.91 |
|  | 比上年同 期增长 | 57.66% ～ | 67.34% |  |
| 扣除非经常性损 益后的净利润 | -3,550 ～ |  | -2,750 | -8,011.64 |
|  | 比上年同 期增长 | 55.69% ～ | 65.67% |  |
| 基本每股收益 （元/股） | -0.07 ～ |  | -0.05 | -0.16 |
二、与会计师事务所沟通情况
本次业绩预告数据是公司财务部门初步测算的结果，未经注册会计师审计。
三、业绩变动原因说明
本报告期内，公司化工板块核心产品市场价格同比大幅上行，产品售价、毛利水平同步显著提升。公司抢抓市场有利时机，全力稳产满产、释放产能，板块经营效益同比大幅减亏。北京海洋馆经营正常，受市场因素影响，营业收入和效益同比有所降低。
四、其他相关说明
2026 年半年度业绩具体数据将在公司 2026 年半年度报告中详细披露，敬请广大投资者注意投资风险。
特此公告。
茂名石化实华股份有限公司董事会2026 年 7 月 14 日",2026-08-12T22:24:10.139160+08:00
gildata,AnnouncementData,2026年半年度业绩预告或半年报中提到订单充足、满产满销、产能利用率高的石油石化行业公司公告,6,公告库,中化国际:中化国际2026年半年度业绩预告,0.82,"公告标题：中化国际:中化国际2026年半年度业绩预告；
发布时间：2026-07-14；
证券简称：中化国际
原文：二、 上年同期业绩情况
（一）归属于母公司所有者的净利润-88,584 万元；归属于母公司所有者的扣除非经常性损益的净利润-83,650 万元。
（二）每股收益-0.25 元。
三、 本期业绩预亏的主要原因
2026 年半年度业绩亏损主要系经营亏损，中化国际抓住化工品行业景气度回升机遇，加强市场研判，紧抓市场机遇，经营业绩实现大幅改善，具体说明如下：
（一）主营经营业务的影响
2026 年上半年受美伊地缘政治影响，原油价格在 3 月大幅上涨并持续至 4月末带动整体市场景气度回升。受成本抬升和原料供应紧张的影响，公司主要产品价格呈上升趋势。同时行业供需格局有所改善，3 月至4 月下游需求复苏。5、6 月市场风险溢价出现回落，供应担忧有所缓解，行业整体有所回落。
公司对外部环境的变化快速响应，建立并执行日决策、周复盘的采产销调度“战时跟踪机制”，并持续以“高目标”为牵引助力业绩提升，上半年公司持续提升产品销量及生产提负降耗节降成本。其中主要装置上半年产能负荷逐月提升，部分装置实现满产满销。业绩方面狠抓拓市增收，推动产品销量增长，采产销齐发力，重点产品产量、销量、毛利较上年同期均实现大幅增长，整体盈利能力同比大幅提升。具体工作举措列示如下：
（1）销售端：研判市场趋势，敏捷把握销售机会，上半年产品销量较上年同期增长 3%以上；控制采销节奏，优化客户结构，拓展海外市场销量，产品利润较预算目标大幅增长。（2）生产端：锚定装置“安稳长满优”运行目标，开展生产竞赛以赛促干，2026 年上半年产量较上年同期提升7.85%；实施技改技措行动，降低产品物料、能源消耗，单位不变价生产成本较上年同期下降1.14%。（3）供应端：通过强化市场洞察和研判、提升专业能力、优化业务机制、把握市场机遇，提高采购竞争力，降低原料成本，提高供应链综合效益。此外，公司致力于持续提升营运资金周转效率，通过加强年度预算目标牵引与月度滚动预测，提升资金配置精准度，全方位提升现金流韧性，经营性现金流同比增长 95%-105%；同时积极优化债务结构，降低财务费用，维持资产负债结构的稳健。
公司业务主要分为五个板块，包括基础原料及中间体、高性能材料、聚合物添加剂、化工材料营销和其他板块。各板块2026 年上半年的具体情况如下：",2026-08-12T22:24:10.139160+08:00
gildata,AnnouncementData,2026年半年度业绩预告或半年报中提到订单充足、满产满销、产能利用率高的石油石化行业公司公告,7,公告库,恒力石化:恒力石化2026年半年度业绩预增公告,0.8,"公告标题：恒力石化:恒力石化2026年半年度业绩预增公告；
发布时间：2026-07-07；
证券简称：恒力石化
原文：恒力石化2026年半年度业绩预增公告显示，公司预计实现归属于上市公司股东的净利润为720000万元左右，同比增加136.06%左右，扣非后净利润预计为533000万元左右，同比增加132.10%左右。上年同期公司归属于上市公司股东的净利润为305009.90万元，扣非后净利润为229643.55万元，每股收益0.43元/股。本次业绩预增主要源于三方面因素：一是石油化工行业供需格局改善，产品价差扩大，炼化、PTA及下游聚酯新材料产业链盈利水平大幅提升；二是公司“油、煤、化”一体化全产业链优势释放，核心产能运行平稳，产业链协同效应持续增厚业绩；三是通过强化精细化管理与全流程成本管控，动态优化采购、排产与产品结构，保障主业盈利能力持续增长。本次业绩预告数据未经注册会计师审计，仅为财务部门初步核算结果，最终准确财务数据需以正式披露的2026年半年度报告为准。",2026-08-12T22:24:10.139160+08:00
gildata,AnnouncementData,2026年半年度业绩预告或半年报中提到订单充足、满产满销、产能利用率高的石油石化行业公司公告,8,公告库,百隆东方:百隆东方2026年半年度业绩预增公告,0.8,"公告标题：百隆东方:百隆东方2026年半年度业绩预增公告；
发布时间：2026-07-08；
证券简称：百隆东方
原文：二、上年同期业绩情况
（一）归属于上市公司股东的净利润：3.90 亿元。
（二）归属于上市公司股东的扣除非经常性损益的净利润：3.60 亿元。  
（三）每股收益：0.26 元。
三、本期业绩预增的主要原因
（一）主营业务影响
公司本次业绩预增主要是由于2026 年上半年订单饱满，产能利用率提升，上半年销量持续增长，主营业务利润增加所致。
四、风险提示
1、公司不存在影响本次业绩预告内容准确性的重大不确定因素。  
2、本次业绩预告未经会计师事务所审计。
五、其他说明事项
以上预告数据仅为初步核算数据，具体准确的财务数据以公司正式披露的2026 年半年报为准，敬请广大投资者注意投资风险。
特此公告。
百隆东方股份有限公司董事会
2026 年 7 月 8 日",2026-08-12T22:24:10.139160+08:00
gildata,AnnouncementData,2026年半年度业绩预告或半年报中提到订单充足、满产满销、产能利用率高的石油石化行业公司公告,9,公告库,上海石化:上海石化2026年半年度业绩预盈公告,0.79,"公告标题：上海石化:上海石化2026年半年度业绩预盈公告；
发布时间：2026-07-15；
证券简称：上海石化
原文： 中国石化上海石油化工股份有限公司发布2026年半年度业绩预盈公告，预计2026年上半年归属于母公司股东的净利润约为2.34亿元到3.51亿元，扣除非经常性损益的净利润约为2.45亿元到3.67亿元，与上年同期相比均实现扭亏为盈，该业绩未经注册会计师审计或审阅。 上年同期，公司归属于母公司股东净利润为-46212.8万元，扣除非经常性损益的净利润为-4393.75万元，基本每股收益为-0.044元，彼时处于亏损状态。 本次业绩预盈的主要原因是2026年上半年国际原油价格冲高带动石化产品价格上涨，公司优化生产运营后主要产品价格涨幅高于原油加工成本涨幅，产品毛利同比上升，整体盈利增加。",2026-08-12T22:24:10.139160+08:00
gildata,AnnouncementData,2026年半年度业绩预告或半年报中提到订单充足、满产满销、产能利用率高的石油石化行业公司公告,10,公告库,鼎际得:辽宁鼎际得石化股份有限公司2026年半年度业绩预告,0.79,"公告标题：鼎际得:辽宁鼎际得石化股份有限公司2026年半年度业绩预告；
发布时间：2026-07-15；
证券简称：鼎际得
原文：辽宁鼎际得石化股份有限公司2026 年半年度业绩预告
本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。
重要内容提示
 本期业绩预告适用于实现盈利，且净利润同比上升50%以上的情形。
 辽宁鼎际得石化股份有限公司（以下简称“公司”）预计2026 年半年度归属于上市公司股东的净利润为4,006.64 万元到6,009.96 万元，与上年同期相比，将增加 3,584.00 万元到 5,587.32 万元，同比增加 848.00%到 1,322.00%。
 公司预计 2026 年半年度归属于上市公司股东的扣除非经常性损益后的净利润为 3,920.80 万元到 5,881.20 万元，与上年同期相比，将增加 3,624.40 万元到5,584.80 万元，同比增加 1,222.81%到 1,884.21%。
 本预告系初步测算结果，具体数据以公司正式披露的 2026 年半年度报告为准。
一、本期业绩预告情况
（一）业绩预告期间
2026 年 1 月 1 日至 2026 年 6 月 30 日
（二）业绩预告情况
经财务部门初步测算，与上年同期（2025 年半年度）相比，公司预计 2026年半年度实现盈利且同比上升50%以上，具体如下：
1. 预计 2026 年半年度归属于上市公司股东的净利润为 4,006.64 万元到6,009.96 万元，与上年同期相比，将增加 3,584.00 万元到 5,587.32 万元，同比增加 848.00%到 1,322.00%；
2. 预计2026 年半年度归属于上市公司股东的扣除非经常性损益后的净利润
为 3,920.80 万元到 5,881.20 万元，与上年同期相比，将增加 3,624.40 万元到5,584.80 万元，同比增加 1,222.81%到 1,884.21%。
（三）本期业绩预告未经注册会计师审计。",2026-08-12T22:24:10.139160+08:00
