vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,AnnouncementData,2026年半年度业绩预告中提到产品供不应求的A股公司公告,1,公告库,铜冠铜箔:2026年半年度业绩预告,0.96,"公告标题：铜冠铜箔:2026年半年度业绩预告；
发布时间：2026-07-20；
证券简称：铜冠铜箔
原文：安徽铜冠铜箔集团股份有限公司发布2026年半年度业绩预告，预计2026年1-6月归属于上市公司股东的净利润为20500万元-22500万元，较上年同期的3495.40万元同比增长486.49%-543.70%；扣非净利润为20000万元-22000万元，较上年同期的2427.05万元同比增长724.05%-806.45%。本次业绩预告相关财务数据为公司财务部门初步测算结果，未经注册会计师审计。业绩大幅提升主要源于两方面：一是聚焦头部客户需求，高频高速铜箔供不应求，销量同比增长；二是优化产品结构，高附加值的高频高速铜箔占比提升带动加工费收入增长，同时通过降本增效压降成本，产品毛利率实现提升。公司2026年半年度具体业绩数据将在正式半年度报告中详细披露，提醒投资者注意投资风险。",2026-08-12T21:36:00.970168+08:00
gildata,AnnouncementData,2026年半年度业绩预告中提到产品供不应求的A股公司公告,2,公告库,铜冠铜箔:2026年半年度业绩预告,0.96,"公告标题：铜冠铜箔:2026年半年度业绩预告；
发布时间：2026-07-20；
证券简称：铜冠铜箔
原文：安徽铜冠铜箔集团股份有限公司
2026年半年度业绩预告
本公司及董事会全体成员保证信息披露的内容真实、准确和完整，没有虚假记载、误导性陈述或重大遗漏。
一、本期业绩预计情况
1、业绩预告期间：2026年1月1日-2026年6月30日
2、业绩预告情况:预计净利润为正值且属于同向上升情形
3、预计的业绩情况：
| 项目 | 本报告期 | 上年同期 |
| --- | --- | --- |
| 归属于上市公司股东的净利润 | 盈利:20,500万元-22,500万元 | 盈利3,495.40万元 |
|  | 比上年同期增长:486.49%-543.70% |  |
| 扣除非经常性损益后的净利润 | 盈利:20,000万元-22,000万元 | 盈利2,427.05万元 |
|  | 比上年同期增长:724.05%-806.45% |  |
二、业绩预告审计情况
本期业绩预告相关财务数据为公司财务部门初步测算的结果，未经注册会计师审计。
三、业绩变动原因说明
报告期内公司业绩同比大幅提升的主要原因是：
1、报告期内，公司聚焦头部客户需求，高频高速铜箔呈现供不应求的情况，销量实现同比增长；
2、报告期内，公司持续优化产品结构，高频高速铜箔等高附加值产品占比
提升，带动加工费收入增长；同时公司持续深化降本增效，不断提升运营效率与管理水平，相关成本有效压降，产品毛利率实现提升。
四、其他相关说明
2026年半年度业绩的具体数据将在本公司2026年半年度报告中详细披露，敬请广大投资者谨慎决策，注意投资风险。
特此公告。
安徽铜冠铜箔集团股份有限公司
董事会
2026年7月19日",2026-08-12T21:36:00.970168+08:00
gildata,AnnouncementData,2026年半年度业绩预告中提到产品供不应求的A股公司公告,3,公告库,金安国纪:2026年半年度业绩预告,0.95,"公告标题：金安国纪:2026年半年度业绩预告；
发布时间：2026-07-14；
证券简称：金安国纪
原文：金安国纪2026年半年度业绩预告显示，公司预计2026年1-6月归属于上市公司股东的净利润区间为73000万元至82000万元，同比增长935.75%至1063.45%；扣非净利润区间为73600万元至82500万元，同比增长908.22%至1030.14%；基本每股收益区间为1.003元至1.126元，上年同期仅为0.096元/股。本次业绩预告相关财务数据未经会计师事务所审计，公司未与会计师事务所就业绩预告事项进行预沟通。本次业绩大幅增长主要得益于两方面因素，一是2026年上半年覆铜板市场行情持续向好，公司主要产品覆铜板及半固化片供不应求，销售数量同比上升且销售价格持续上涨，带动毛利率提升；二是公司加强内部管理，提升产品技术含量，优化产能资源配置，增加市场急需产品的供应比例，进一步推动业绩同比实现大幅度增长。同时公告提示，公司所处覆铜板产业受宏观经济、市场供需、原材料价格等多重因素影响，若相关因素发生重大变化可能导致未来经营业绩波动，且本次预告数据为初步测算结果，最终以正式半年报披露为准。",2026-08-12T21:36:00.970168+08:00
gildata,AnnouncementData,2026年半年度业绩预告中提到产品供不应求的A股公司公告,4,公告库,东华能源:东华能源股份有限公司2026年半年度业绩预告,0.86,"公告标题：东华能源:东华能源股份有限公司2026年半年度业绩预告；
发布时间：2026-07-15；
证券简称：东华能源
原文：东华能源股份有限公司2026 年半年度业绩预告
本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。
一、本期业绩预计情况
1、业绩预告期间：2026 年 1 月 1 日至 2026 年 6 月 30 日。
2、业绩预告情况：预计净利润为正值且属于同向上升情形
（1）以区间数进行业绩预告的
单位：万元
| 项目 | 本报告期 |  |  | 上年同期 |
| --- | --- | --- | --- | --- |
|  |  | 17,900 | 24,300 |  |
| 归属于上市公司股 东的净利润 | 比上年同期 增长 | 169.67% | 266.09% | 6,637.63 |
| 扣除非经常性损益 后的净利润 |  | 8,000 | 11,000 | 3,462.25 |
|  | 比上年同期 增长 | 131.06% | 217.71% |  |
| 基本每股收益（元/ 股) | 0.1136 |  | 0.1542 | 0.0421 |
二、与会计师事务所沟通情况
公司 2026 年半年度业绩预告未经过注册会计师预审计。
三、业绩变动原因说明
2026 年上半年，地缘冲突推升国际能源价格，受成本抬升以及原料供应偏紧影响，聚丙烯等石化产品价格整体上行。公司依托托管马森能源形成的船-库-贸一体化优势，面对外部波动，快速采取有效措施，主要产品价差扩大带动盈利改善。
四、风险提示
上述数据为公司财务部门初步预计，与公司 2026 年半年度报告中所披露的最终数据可能存在差异，具体财务数据请以公司披露的 2026 年半年度报告为准。
敬请投资者注意投资风险
特此公告。
东华能源股份有限公司
董事会
2026 年 07 月 14 日",2026-08-12T21:36:00.970168+08:00
gildata,AnnouncementData,2026年半年度业绩预告中提到产品供不应求的A股公司公告,5,公告库,金安国纪:2026年半年度业绩预告,0.98,"公告标题：金安国纪:2026年半年度业绩预告；
发布时间：2026-07-14；
证券简称：金安国纪
原文：三、业绩变动原因说明
2026年上半年，覆铜板市场行情持续向好，公司主要产品覆铜板及半固化片供不应求，销售数量同比上升，销售价格持续上涨，带动毛利率提升及公司利润的增长。
面对市场机遇，公司不断加强内部管理，提高产品的技术含金量，及时推出市场急需的产品，大幅增加了市场急需产品的比例，同时优化了产能资源配置，因而公司业绩与去年同期相比实现了大幅度的增长。
四、风险提示
1、公司所处的覆铜板产业受产业政策、客户需求、产能供给等多方面因素影响，如所处的宏观经济环境、市场供需关系、竞争格局、原材料价格等发生重
大变化，可能导致公司未来经营业绩波动的风险。
2、本次业绩预告是公司财务部门初步测算的结果，未经审计机构审计，具体财务数据以公司披露的2026 年半年度报告为准。敬请广大投资者谨慎决策，注意投资风险。
特此公告。
金安国纪集团股份有限公司董事会二〇二六年七月十四日",2026-08-12T21:36:00.970168+08:00
gildata,AnnouncementData,2026年半年度业绩预告中提到产品供不应求的A股公司公告,6,公告库,太湖远大:2026 年半年度业绩预告公告,0.94,"公告标题：太湖远大:2026 年半年度业绩预告公告；
发布时间：2026-07-27；
证券简称：太湖远大
原文： 浙江太湖远大新材料股份有限公司发布2026年半年度业绩预告，预告区间为2026年1月1日至6月30日，预告显示公司本期归属于上市公司股东的净利润预计为4300万元至5000万元，上年同期净利润为1375.50万元，同比变动幅度为212.61%至263.50%，业绩呈现大幅增长的态势。 本次业绩大幅增长的核心驱动因素为：2026年上半年原油价格波动导致公司主要原材料市场价格剧烈波动，市场不确定性增强，行业此前的产品激烈竞价局面有所缓和，公司根据原材料价格变动及时调整了产品销售价格，最终使得公司产品毛利率较上年同期明显回升，带动毛利额实现同比大幅增长，拉动整体业绩大幅提升。 需要特别提示的是，本次业绩预告披露的2026年半年度主要财务数据均为初步核算数据，尚未经会计师事务所审计，最终的正式财务数据需要以公司后续披露的2026年半年度报告内容为准，本次预告数据不构成公司对投资者的业绩承诺，投资者决策时需要充分关注相关投资风险。",2026-08-12T21:36:00.970168+08:00
gildata,AnnouncementData,2026年半年度业绩预告中提到产品供不应求的A股公司公告,7,公告库,宝明科技:2026年半年度业绩预告,0.93,"公告标题：宝明科技:2026年半年度业绩预告；
发布时间：2026-07-15；
证券简称：宝明科技
原文：深圳市宝明科技股份有限公司
2026 年半年度业绩预告
本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。
一、本期业绩预计情况
1、业绩预告期间：2026 年 1 月 1 日至 2026 年 6 月 30 日。
2、业绩预告情况：预计净利润为负值 
（1）以区间数进行业绩预告的
单位：万元
| 项目 | 本报告期 |  |  | 上年同期 |
| --- | --- | --- | --- | --- |
| 归属于上市公司股东的净利润 |  |  | -1,700 | -1,300.05 |
|  |  |  |  |  |
| 扣除非经常性损益后的净利润 | 比上年同期下降 76.92% |  | 30.76% |  |
|  |  | -2,310 | -1,710 |  |
|  | 比上年同期下降 92.72% | ～ | 42.67% |  |
| 基本每股收益（元/股） | -0.13 |  | -0.09 | -0.07 |
二、与会计师事务所沟通情况
本次业绩预告数据仅为公司财务部门初步核算结果，未经会计师事务所审计。
三、业绩变动原因说明
1、受存储芯片短缺影响，手机/平板等消费类背光源产品订单减少，收入下滑；同时，背光源产品主要原材料价格上涨，成本上升，产品毛利率下降。
2、复合铜箔产品处于产能释放中，产品收入尚未能弥补相关费用。
上述原因综合导致公司半年度持续亏损。
四、其他相关说明
本次业绩预告系公司财务部门初步测算的结果，未经会计师事务所审计，具体财务数据将在公司2026 年半年度报告中详细披露，敬请广大投资者谨慎决策，注意投资风险。特此公告。
深圳市宝明科技股份有限公司董事会2026 年 07 月 15 日",2026-08-12T21:36:00.970168+08:00
gildata,AnnouncementData,2026年半年度业绩预告中提到产品供不应求的A股公司公告,8,公告库,瑞尔特:2026年半年度业绩预告,0.93,"公告标题：瑞尔特:2026年半年度业绩预告；
发布时间：2026-07-15；
证券简称：瑞尔特
原文：厦门瑞尔特卫浴科技股份有限公司2026 年半年度业绩预告
本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。
一、本期业绩预计情况
1、业绩预告期间：2026 年 1 月 1 日至 2026 年 6 月 30 日。
2、业绩预告情况：预计净利润为负值 
（1）以区间数进行业绩预告的
单位：万元
| 项目 | 本报告期 |  | 上年同期 |
| --- | --- | --- | --- |
| 归属于上市公司 股东的净利润 | -1,600 | -1,100 | 5,166.62 |
| 扣除非经常性损 益后的净利润 | -1,950 | -1,450 | 4,024.12 |
| 基本每股收益 （元/股） | -0.04 | -0.03 | 0.12 |
二、与会计师事务所沟通情况
本次业绩预告的相关财务数据未经过注册会计师预审计。
三、业绩变动原因说明
公司业绩变动的主要原因如下：
1、报告期内，公司所处的家居卫浴行业整体需求偏弱，行业竞争日趋激烈，市场有效需求相对不足，产品单价有所下滑，导致公司营业收入呈下滑趋势。2、受营业收入下降、市场竞争加剧导致的产品价格体系承压及刚性费用投入等多重因素叠加影响，利润空间受到挤压，导致盈利水平明显走弱。
面对复杂多变且竞争加剧的市场环境，公司将以高质量发展为出发点，聚焦市场发展、技术创新、品牌升级、提质降本等关键领域，力争提升营业收入规模并改善盈利能力。
四、风险提示
本次业绩预告是公司财务部门初步测算的结果，未经会计师事务所审计，具体财务数据以公司正式披露的《2026 年半年度报告》为准。公司将严格按照有关法律法规的规定和要求，及时做好信息披露工作。
敬请广大投资者谨慎决策，注意投资风险。
五、备查文件
《董事会关于2026 年半年度业绩预告的说明》。
特此公告。",2026-08-12T21:36:00.970168+08:00
gildata,AnnouncementData,2026年半年度业绩预告中提到产品供不应求的A股公司公告,9,公告库,红宝丽:2026年半年度业绩预告,0.93,"公告标题：红宝丽:2026年半年度业绩预告；
发布时间：2026-07-14；
证券简称：红宝丽
原文：红宝丽集团股份有限公司
2026年半年度业绩预告
本公司及董事会全体成员保证信息披露内容的真实、准确和完整，没有虚假记载、误导性陈述或重大遗漏
一、本期业绩预计情况
1、业绩预告期间：2026 年 1 月 1 日-2026 年 6 月 30 日
2、业绩预告情况：预计净利润为负值 
（1）以区间数进行业绩预告的
| 项目 | 本报告期 | 上年同期 |
| --- | --- | --- |
| 归属于上市公司股 东的净利润 | 亏损： 500万元－1，000万元 | 盈利：2，438.93万元 |
| 扣除非经常性损益 后的净利润 | 亏损：1,500万元－2,000万元 | 亏损：617.06万元 |
| 基本每股收益 | 亏损：0.0068元/股－0.0136元/股 | 盈利：0.03元/股 |
二、与会计师事务所沟通情况
本次业绩预告相关数据未经会计师事务所审计。
三、业绩变动原因说明
报告期，公司积极开拓产品国内外市场，主产品销售总量增长；主原料环氧丙烷采购价格受国际形势影响大幅波动上涨后回落，环氧丙烷采购成本同比上涨超23%，加上有关辅助材料价格同比上涨，产品综合毛利率下降；随着二季度营收增长，期末应收款项增加，计提坏账准备增多；人民币兑美元升值，汇兑损失增加等，以致实现利润较上年同期减少。
四、风险提示
本次业绩预告数据是公司财务部初步测算，未经会计师事务所审计，公司2026 年半年度实际经营业绩情况和财务数据请以公司后续披露的《2026 年半年度报告》为准。敬请广大投资者谨慎决策，注意投资风险。
特此公告。
红宝丽集团股份有限公司董事会2026年 7月 14日",2026-08-12T21:36:00.970168+08:00
gildata,AnnouncementData,2026年半年度业绩预告中提到产品供不应求的A股公司公告,10,公告库,神剑股份:公司2026年半年度业绩预告,0.86,"公告标题：神剑股份:公司2026年半年度业绩预告；
发布时间：2026-07-15；
证券简称：神剑股份
原文：安徽神剑新材料股份有限公司2026 年半年度业绩预告
本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。
一、本期业绩预计情况
1、业绩预告期间：2026 年 1 月 1 日至 2026 年 6 月 30 日。
2、业绩预告情况：预计净利润为负值 
（1）以区间数进行业绩预告的
单位：万元
| 项目 | 本报告期 |  |  |  | 上年同期 |
| --- | --- | --- | --- | --- | --- |
| 归属于上市公司股东 的净利润 扣除非经常性损益后 |  | -3,300 | ？ | -2,300 | 2,359.71 |
|  | 比上年同期下降 | -239.85% |  | -197.47% |  |
|  |  | -3,900 |  | -2,900 |  |
| 的净利润 基本每股收益（元/ 股) | 比上年同期下降 | -287.25% |  | -239.23% | 2,082.83 0.0248 |
|  |  | -0.0347 |  | -0.0242 |  |
二、与会计师事务所沟通情况
本次业绩预告相关财务数据未经会计师事务所审计。
三、业绩变动原因说明
报告期内，公司坚持以市场为导向，以客户为中心，持续强化新产品研发，不断优化产品结构。业绩变动主要原因有：
1、2026 年上半年，公司化工新材料领域受地缘冲突影响，上游原材料价格波动较大。公司全资子公司珠海神剑聚酯树脂项目产能爬坡期，叠加行业竞争激烈、下游需求减弱等因素影响，毛利率下降，经营业绩不及预期；
2、2026 年是国家“十五五”开局之年，高端装备制造领域下游客户项目启动期延迟，订单交付不及预期；
3、人民币兑美元、欧元升值，汇兑损失增加等。
四、风险提示
本次业绩预告为公司财务部门初步核算的结果，具体准确的财务数据将在公司 2026年半年度报告中详细披露。
五、其他相关说明
公司指定信息披露媒体为《证券时报》、《中国证券报》和巨潮资讯网（http://www.cninfo.com.cn），敬请广大投资者谨慎决策,注意投资风险。特此公告。
2026 年 07 月 14 日",2026-08-12T21:36:00.970168+08:00
