vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,AnnouncementData,2026年半年度业绩预告或半年报中提到产品价格上涨、提价、量价齐升的石油石化行业公司公告,1,公告库,盛屯矿业:盛屯矿业集团股份有限公司2026年半年度业绩预增公告,0.93,"公告标题：盛屯矿业:盛屯矿业集团股份有限公司2026年半年度业绩预增公告；
发布时间：2026-07-11；
证券简称：盛屯矿业
原文：盛屯矿业2026年半年度业绩预增公告显示，公司预计2026年1-6月实现归属于上市公司股东的净利润为175000万元到195000万元，较上年同期增加69727.56万元至89727.56万元，同比增幅66.24%至85.23%；预计扣除非经常性损益的净利润为185000万元到205000万元，同比增加68777.12万元至88777.12万元，同比增幅59.18%至76.39%。上年同期盛屯矿业归属于上市公司股东的净利润为105272.44万元，扣除非经常性损益的净利润为116222.88万元，每股收益0.341元。本次业绩预增主要有两方面原因，一是公司铜产品量价齐升，刚果（金）铜钴项目铜产品产量同比增长叠加铜价上涨，二是公司内部推进提质增效与精细化管理，部分子公司经营改善、可控成本下降。本次业绩预告为财务部门初步测算结果，未经注册会计师审计，最终数据以正式半年报披露为准。",2026-08-12T22:23:52.878363+08:00
gildata,AnnouncementData,2026年半年度业绩预告或半年报中提到产品价格上涨、提价、量价齐升的石油石化行业公司公告,2,公告库,上海石化:上海石化2026年半年度业绩预盈公告,0.93,"公告标题：上海石化:上海石化2026年半年度业绩预盈公告；
发布时间：2026-07-15；
证券简称：上海石化
原文： 中国石化上海石油化工股份有限公司发布2026年半年度业绩预盈公告，预计2026年上半年归属于母公司股东的净利润约为2.34亿元到3.51亿元，扣除非经常性损益的净利润约为2.45亿元到3.67亿元，与上年同期相比均实现扭亏为盈，该业绩未经注册会计师审计或审阅。 上年同期，公司归属于母公司股东净利润为-46212.8万元，扣除非经常性损益的净利润为-4393.75万元，基本每股收益为-0.044元，彼时处于亏损状态。 本次业绩预盈的主要原因是2026年上半年国际原油价格冲高带动石化产品价格上涨，公司优化生产运营后主要产品价格涨幅高于原油加工成本涨幅，产品毛利同比上升，整体盈利增加。",2026-08-12T22:23:52.878363+08:00
gildata,AnnouncementData,2026年半年度业绩预告或半年报中提到产品价格上涨、提价、量价齐升的石油石化行业公司公告,3,公告库,富瀚微:2026年半年度业绩预告,0.92,"公告标题：富瀚微:2026年半年度业绩预告；
发布时间：2026-07-31；
证券简称：富瀚微
原文：证券代码：300613
证券简称：富瀚微
公告编号：2026-049
债券代码：123122
债券简称：富瀚转债
上海富瀚微电子股份有限公司2026年半年度业绩预告
本公司及董事会全体成员保证信息披露内容的真实、准确和完整，没有虚假记载、误导性陈述或重大遗漏。
一、本期业绩预计情况
1、业绩预告期间：2026 年1月 1日至2026 年6月30 日
2、业绩预告情况：预计净利润为正值且属于同向上升情形
（1）以区间数进行业绩预告的
单位：万元
| 项目 | 本报告期 | 上年同期 |
| --- | --- | --- |
| 归属于上市公司股东的凈利润 | 盈利：27,000~35,000 | 2,302.34 |
|  | 比上年同期增长：1,072.72%～1,420.19% |  |
| 扣除非经常性损益后的净利润 | 盈利：26,600~34,600 | 1,527.92 |
|  | 比上年同期增长：1,640.93%～2,164.52% |  |
二、与会计师事务所沟通情况
本次业绩预告未经会计师事务所审计，公司已就本次业绩预告有关事项与会计师事务所进行了预沟通，公司与会计师事务所在业绩预告方面不存在重大分歧。
三、业绩变动原因说明
公司预计 2026 年上半年实现营业收入 14 亿元—15 亿元，同比增长103.48%—118.01%；实现归属于上市公司股东的净利润 2.7 亿元—3.5 亿元，同比增长1,072.72%—1,420.19%。其中，二季度营业收入和归母净利润双双创下单季度历史新高。具体如下：
1、2026 年上半年，全球电子业经历了大幅度的存储价格上涨，其他各类上游原材料（包括 PCB、电阻电容等）也出现供应紧缺及价格上涨的情况，公司对产品价格进行了上调。
2、2026 年上半年，公司三大业务板块销售数量大幅增长。由于产品价格同样上行，各项业务同比均形成量价齐升的良好局面。针对上游产能紧张、下游需求高企的状况，公司通过成熟的供应链管理和多样的产品方案，顺利保障向客户充足出货，进而与下游客户共同构建了良好的商业生态。同时，公司新产品AI-ISP芯片的市场反馈积极，面向机器人等新领域的客户拓展也稳步向好。
3、长期来看，端边侧 AI 应用已规模化落地，AI 技术在智能终端、边缘硬件等场景中得到大规模应用。具身智能、机器人、家庭智能终端等市场集中逐步起量，将为公司主营业务增长提供强劲的支持。公司将一如既往地坚持内部研发和产业投资并重：一方面保持高研发强度，完善端边侧芯片产品矩阵，以覆盖从低到高算力、从定点到运动设备的全方位场景和应用需求；另一方面保持对 AI大视觉产业链的高度关注，携手从前端采集处理、数据编码传输到后端内容分析等各环节的产业链伙伴，推进多方面布局与赋能，为搭建新时代的 AI视觉生态平台继续努力。
四、其他相关说明
本次业绩预告相关数据是公司财务部门初步测算的结果，未经会计师事务所审计，具体财务数据将在公司2026 年半年度报告中详细披露。敬请广大投资者谨慎决策，注意投资风险。
特此公告。
上海富瀚微电子股份有限公司董事会
2026 年 7 月 31 日",2026-08-12T22:23:52.878363+08:00
gildata,AnnouncementData,2026年半年度业绩预告或半年报中提到产品价格上涨、提价、量价齐升的石油石化行业公司公告,4,公告库,和顺石油:和顺石油2026年半年度业绩预告,0.91,"公告标题：和顺石油:和顺石油2026年半年度业绩预告；
发布时间：2026-07-15；
证券简称：和顺石油
原文： 湖南和顺石油股份有限公司发布2026年半年度业绩预告，预计2026年1月1日至6月30日，公司实现归属于母公司所有者的净利润区间为6800万元到8800万元，较上年同期增加5395.11万元到7395.11万元，同比增幅达到384.02%到526.38%；扣除非经常性损益后的归属于母公司所有者净利润区间为2200万元到3200万元，较上年同期增加1558.70万元到2558.70万元，同比增幅达到243.05%到398.99%。本次预告数据仅为公司财务部门初步核算结果，尚未经注册会计师审计，最终准确财务数据以公司正式披露的半年报为准。 上年同期湖南和顺石油归属于母公司所有者的净利润为1404.89万元，扣除非经常性损益后的归属于母公司净利润为641.30万元，利润总额为1806.31万元，上年同期每股收益为0.08元，本次预计业绩属于净利润为正值的同向上升情形。 本次业绩大幅正向增长主要来自两方面推动，一方面是主营业务因素，地缘冲突推动国际原油价格上涨后，国内成品油零售限价同步上调，而炼厂因库存积压出货承压，成品油出厂价涨幅偏弱，带动行业批零价差扩大，和顺石油充分把握该高价差行情，直接带动公司利润增长；另一方面是非经常性损益因素，报告期内公司购买的证券投资产品公允价值上升，赎回时产生的投资收益增加，进一步推高本期净利润。本次预告不存在影响内容准确性的重大不确定因素，公司也提示投资者注意投资风险。",2026-08-12T22:23:52.878363+08:00
gildata,AnnouncementData,2026年半年度业绩预告或半年报中提到产品价格上涨、提价、量价齐升的石油石化行业公司公告,5,公告库,中稀有色:中稀有色金属股份有限公司2026年半年度业绩预告,0.91,"公告标题：中稀有色:中稀有色金属股份有限公司2026年半年度业绩预告；
发布时间：2026-07-14；
证券简称：中稀有色
原文： 中稀有色金属股份有限公司2026年半年度业绩预告显示，公司预计实现归属于上市公司股东的净利润为3.7亿元至4.3亿元，同比增加410.35%到493.11%；预计扣非净利润为3.68亿元至4.28亿元，同比增加301.00%到366.39%，业绩预增幅度显著。 上年同期公司归属于上市公司股东的净利润为7249.87万元，扣非净利润为9177.01万元，本次业绩预增主要源于稀土产品价格上涨带动主业盈利提升、亏损企业治理见效以及参股企业投资收益增加。其中稀土行业供需格局变化叠加产品价格同比上涨，公司通过一体化经营模式优化产品结构，稀土主业经营价值大幅提升；同时公司资源向核心主业集中，亏损企业大幅减亏，参股大宝山公司铜硫产品量价齐升，权益法核算的投资收益也有所增加。 本次业绩预告数据尚未经注册会计师审计，最终财务数据需以正式披露的2026年半年度报告为准，公司提示投资者注意投资风险。",2026-08-12T22:23:52.878363+08:00
gildata,AnnouncementData,2026年半年度业绩预告或半年报中提到产品价格上涨、提价、量价齐升的石油石化行业公司公告,6,公告库,岳阳兴长:2026年半年度业绩预告,0.91,"公告标题：岳阳兴长:2026年半年度业绩预告；
发布时间：2026-07-10；
证券简称：岳阳兴长
原文： 岳阳兴长石化股份有限公司发布2026年半年度业绩预告，业绩预告期间为2026年1月1日至2026年6月30日，本次预计业绩为净利润正值，属于扭亏为盈情形。其中预计归属于上市公司股东的净利润盈利区间为1200万元到1600万元，上年同期为亏损2948.33万元，同比增长幅度在140.70%到154.27%之间；扣除非经常性损益后的净利润盈利区间为1000万元到1400万元，上年同期为亏损2986.41万元，同比增长幅度在133.49%到146.88%之间；基本每股收益盈利区间为0.033元/股到0.043元/股，上年同期为亏损0.081元/股。本次业绩预告相关数据未经会计师事务所审计，公司已就业绩预告事项与年报审计会计师事务所预沟通，双方不存在分歧，最终具体业绩数据将在2026年半年度报告中详细披露。 本次业绩大幅增长、实现扭亏为盈主要来自四方面因素的共同推动：第一，传统能源化工业务上年同期4-6月开展周期性装置检修，本期装置正常生产，产销量同比大幅提升，拉动业绩增长；第二，化工新材料业务受益于新能源行业景气度持续提升，负极材料及树脂行业需求增加，公司相关产品实现量价齐升，带动控股子公司湖南立恒与新岭化工业绩同比增长；第三，节能环保业务销售市场逐步拓展，控股子公司湖南立泰的CO催化剂业务销售体系已逐步成熟，业绩实现同比增长；第四，报告期内公司持续推进集团化管控，优化生产运营效率，全面落实降本增效措施，对整体经营业绩产生了积极影响。",2026-08-12T22:23:52.878363+08:00
gildata,AnnouncementData,2026年半年度业绩预告或半年报中提到产品价格上涨、提价、量价齐升的石油石化行业公司公告,7,公告库,国恩股份:2026年半年度业绩预告,0.9,"公告标题：国恩股份:2026年半年度业绩预告；
发布时间：2026-07-11；
证券简称：国恩股份
原文：青岛国恩科技股份有限公司发布2026年半年度业绩预告，预计2026年1-6月归属于上市公司股东的净利润为60000万元至75000万元，同比增长73.48%至116.85%，扣除非经常性损益后的净利润为58000万元至72000万元，同比增长73.78%至115.73%，基本每股收益为1.40元至1.75元，较上年同期的0.88元实现大幅提升，且本次业绩预告已考虑2026年6月每10股转增4.8股的股本变动影响。本次业绩预告数据为公司财务部门初步核算结果，尚未经会计师事务所审计，最终财务数据将在2026年半年度报告中正式披露。国恩股份业绩大幅增长主要得益于全产业链纵向一体化布局带来的供应链韧性与成本优势巩固，绿色石化新材料板块产能释放与下游协同推动业务规模快速扩容，有机高分子改性材料板块通过产品结构优化与高端客户拓展实现量价齐升，有机高分子复合材料板块在新能源汽车赛道的技术迭代与市场拓展取得关键突破，叠加长期产业规模优势与技术创新驱动的产品附加值提升，共同推动公司整体盈利能力增强。",2026-08-12T22:23:52.878363+08:00
gildata,AnnouncementData,2026年半年度业绩预告或半年报中提到产品价格上涨、提价、量价齐升的石油石化行业公司公告,8,公告库,富瀚微:2026年半年度业绩预告,0.9,"公告标题：富瀚微:2026年半年度业绩预告；
发布时间：2026-07-31；
证券简称：富瀚微
原文： 上海富瀚微电子股份有限公司发布2026年半年度业绩预告，预计2026年1月1日至6月30日归属于上市公司股东的净利润盈利27000万元~35000万元，较上年同期增长1072.72%~1420.19%，扣除非经常性损益后的净利润盈利26600万元~34600万元，较上年同期增长1640.93%~2164.52%，预计整体营业收入为14亿元~15亿元，同比增长103.48%~118.01%，且二季度营业收入和归母净利润均创下单季度历史新高，业绩呈同向大幅上升趋势。 本次业绩预告未经会计师事务所审计，但公司已与会计师事务所预沟通，双方不存在重大分歧，具体财务数据将在正式半年度报告中披露。本次业绩大幅增长的核心原因包括两方面，一方面2026年上半年全球电子业存储价格大幅上涨，PCB、电阻电容等其他上游原材料也出现供应紧缺、价格上涨的情况，富瀚微对自身产品价格进行了上调；另一方面公司三大业务板块销售数量大幅增长，叠加产品价格上行，各项业务实现量价齐升，面对上游产能紧张下游需求高企的行业环境，公司凭借成熟的供应链管理和多样的产品方案保障了充足出货，构建了良好的商业生态，同时公司新产品AI-ISP芯片市场反馈积极，面向机器人等新领域的客户拓展也进展顺利。 长期来看，端边侧AI应用已实现规模化落地，AI技术在智能终端、边缘硬件等场景大规模应用，具身智能、机器人、家庭智能终端等市场逐步集中起量，将为富瀚微主营业务增长提供强劲支撑，公司将继续坚持内部研发和产业投资并重，维持高研发强度完善端边侧芯片产品矩阵，同时关注AI大视觉产业链推进多环节布局，搭建AI视觉生态平台。",2026-08-12T22:23:52.878363+08:00
gildata,AnnouncementData,2026年半年度业绩预告或半年报中提到产品价格上涨、提价、量价齐升的石油石化行业公司公告,9,公告库,上海石化:上海石化2026年半年度业绩预盈公告,0.89,"公告标题：上海石化:上海石化2026年半年度业绩预盈公告；
发布时间：2026-07-15；
证券简称：上海石化
原文：二、上年同期业绩情况
|  | 按照中国企业会计准则 |
| --- | --- |
| 利润总额（人民币千元) | -595.616 |
| 归属于母公司股东净利润（人民币千元) | -462,128 |
| 归属于母公司股东的扣除非经常性损益的净利润 （人民币千元） | -439,375 |
| 基本每股收益（人民币元/股) | -0.044 |
三、本期业绩预盈的主要原因
本集团于2026 年上半年业绩预计盈利的主要原因如下：
2026 年上半年，受地缘冲突带动国际原油价格冲高、行业供需格局调整等因素影响，石化产品价格整体呈上涨趋势。公司持续优化生产运营，主要产品价格涨幅高于原油加工成本涨幅，产品毛利同比上升，整体盈利增加。
四、风险提示
公司不存在影响本次业绩预告内容准确性的重大不确定因素。
五、其他说明事项
以上预告数据仅为初步核算数据，具体准确的财务数据以公司正式披露的2026 年半年度报告为准，敬请广大投资者注意投资风险。
特此公告。
中国石化上海石油化工股份有限公司董事会二零二六年七月十四日",2026-08-12T22:23:52.878363+08:00
gildata,AnnouncementData,2026年半年度业绩预告或半年报中提到产品价格上涨、提价、量价齐升的石油石化行业公司公告,10,公告库,盛新锂能:2026年半年度业绩预告,0.89,"公告标题：盛新锂能:2026年半年度业绩预告；
发布时间：2026-07-09；
证券简称：盛新锂能
原文：盛新锂能2026年半年度业绩预告显示，公司预计实现扭亏为盈，归属于上市公司股东的净利润为100000.00万元-120000.00万元，较上年同期亏损84104.78万元大幅增长218.90%-242.68%。扣除非经常性损益后的净利润预计为130000.00万元-150000.00万元，较上年同期亏损89411.30万元增长245.40%-267.76%，基本每股收益预计为1.09元/股-1.31元/股，上年同期为亏损0.92元/股。本次业绩变动主要源于两方面因素，一是全球新能源行业快速发展带动锂盐产品销售价格较上年同期大幅上涨，二是公司通过优化生产效率、推行控本增效，印尼锂盐工厂产能大幅释放，实现锂盐产品量价齐升，推动经营业绩较去年同期大幅改善。本次业绩预告为公司财务部门初步测算结果，未经会计师事务所预审计，具体财务数据将以公司正式披露的2026年半年度报告为准，同时提醒投资者注意相关投资风险。",2026-08-12T22:23:52.878363+08:00
