vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,AnnouncementData,2026年半年度业绩预告中提到创新药对外授权或license out的公司,1,公告库,ST万邦:2026年半年度业绩预告,0.94,"公告标题：ST万邦:2026年半年度业绩预告；
发布时间：2026-07-14；
证券简称：ST万邦
原文：万邦德医药控股集团股份有限公司2026 年半年度业绩预告
本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。
一、本期业绩预计情况
1、业绩预告期间：2026 年 1 月 1 日至 2026 年 6 月 30 日。
2、业绩预告情况：预计净利润为正值且属于同向上升情形
单位：万元
| 项目 | 本报告期 |  |  | 上年同期 |
| --- | --- | --- | --- | --- |
| 归属于上市公司股东的净利润 |  | 6,500 ～ | 9,000 | 1,346.35 |
|  | 比上年同期增长 | 382.79% | 568.47% |  |
| 扣除非经常性损益后的净利润 |  | 6,121 | 8,621 | -2,411.43 |
| 基本每股收益(元/股) |  | 0.11 ～ | 0.15 | 0.02 |
二、与会计师事务所沟通情况
本次业绩预告的相关数据是公司财务部门初步测算的结果，未经会计师事务所审计。
三、业绩变动原因说明
报告期内公司由仿制药向创新药战略发展转型初见成效，创新药对外授权许可业务取得进展，带来新的业绩增长点；公司推动精细化管理，优化产品结构、调整市场布局，助力后续推动重点新潜力品种；同时公司加大创新药研发投入，以及部分产品受集采招标等政策持续推进的影响，产品价格下降，综合造成公司利润变动。
四、风险提示
本次业绩预告是公司财务部门初步测算的结果，具体财务数据以公司披露的《2026 年半年度报告》为准。敬请广大投资者谨慎决策，注意投资风险。
特此公告。
万邦德医药控股集团股份有限公司董事会2026 年 7 月 14 日",2026-08-13T11:20:59.369269+08:00
gildata,AnnouncementData,2026年半年度业绩预告中提到创新药对外授权或license out的公司,2,公告库,阳光诺和:自愿披露2026年半年度业绩预告的公告,0.93,"公告标题：阳光诺和:自愿披露2026年半年度业绩预告的公告；
发布时间：2026-07-15；
证券简称：阳光诺和
原文： 北京阳光诺和药物研究股份有限公司发布2026年半年度业绩预告，经公司财务部门初步测算，预计2026年上半年实现归属于母公司所有者的净利润为-1497.18万元至-2994.36万元，较上年同期减少14480.46万元至15977.64万元，同比降幅达到111.53%至123.06%；扣除非经常性损益后的归属于母公司所有者净利润预计为-1497.04万元至-2994.08万元，同比减少13464.74万元至14961.78万元，同比降幅为112.51%至125.02%。本次业绩预告数据未经注册会计师审计，具体准确财务数据需以公司后续正式披露的2026年半年度报告为准。上年同期公司利润总额为13595.67万元，归属于母公司所有者的净利润为12983.28万元，扣非后归属于母公司所有者净利润为11967.70万元，每股收益为1.18元。 本次业绩大幅下滑由三方面核心因素导致：第一，创新药对外授权合作业务盈利贡献不及上年同期，该业务受行业环境与研发周期影响存在波动性，上年同期有大额授权项目落地兑现收益，本期受项目推进节奏和收益确认节奏影响，暂无规模化BD业务收益入账；第二，传统药学业务营收承压，受集采政策常态化推进、行业市场竞争加剧影响，叠加公司主动优化业务结构、缩减低毛利项目规模，导致药学相关业务订单和收入同比减少，传统业务盈利贡献下降；第三，本期确认股权激励对应的股份支付摊销费用，同比上年同期增长幅度较大，进一步拖累了当期利润。",2026-08-13T11:20:59.369269+08:00
gildata,AnnouncementData,2026年半年度业绩预告中提到创新药对外授权或license out的公司,3,公告库,阳光诺和:自愿披露2026年半年度业绩预告的公告,0.93,"公告标题：阳光诺和:自愿披露2026年半年度业绩预告的公告；
发布时间：2026-07-15；
证券简称：阳光诺和
原文：三、本期业绩变化的主要原因
1．创新药对外授权合作业务具有波动性：创新药对外授权合作业务受行业
及研发周期影响，相较去年同期大额授权项目顺利落地实现收益兑现，本期受相关项目推进及收益确认节奏影响，暂无规模化BD 业务收益入账，高附加值业务盈利贡献不及上年同期水平。
2．药学业务营收承压：受集采政策常态化推进、行业市场竞争加剧影响，同时公司优化业务结构、缩减低毛利项目规模，致使药学相关业务订单及收入同比有所减少，传统业务盈利贡献下降。
3．股权激励摊销费用增加：本期确认股权激励对应的股份支付摊销费用，较上年同期同比增长较大。
四、风险提示
截止公告日，公司尚未发现影响本次业绩预告内容准确性的重大不确定性因素。本次业绩预告是公司财务部门基于自身专业判断进行的初步核算，尚未经注册会计师审计。
五、其他事项说明
以上预告数据仅为初步核算数据，具体准确的财务数据以公司正式披露的《2026 年半年度报告》为准，敬请广大投资者注意投资风险。
特此公告。
北京阳光诺和药物研究股份有限公司董事会2026 年 7 月 15 日",2026-08-13T11:20:59.369269+08:00
gildata,AnnouncementData,2026年半年度业绩预告中提到创新药对外授权或license out的公司,4,公告库,海思科:2026年半年度业绩预告,0.92,"公告标题：海思科:2026年半年度业绩预告；
发布时间：2026-07-09；
证券简称：海思科
原文： 海思科医药集团股份有限公司发布2026年半年度业绩预告，预告区间为2026年1月1日至2026年6月30日，预计业绩为净利润正值且同向上升。归属于上市公司股东的净利润预计区间为79000万元至87000万元，较上年同期增长幅度为513.25%至575.35%；扣除非经常性损益后的净利润预计区间为69000万元至77000万元，较上年同期增长幅度为377.10%至432.41%；基本每股收益预计区间为0.71元/股至0.78元/股，上年同期基本每股收益为0.12元/股，每股收益同比增长幅度明显。本次业绩预告明确提示，公司上半年签署的多个对外授权许可协议约定的里程碑款收取存在条件约束，最终能否收到全部款项仍有不确定性，同时公司未来对外授权业务本身也存在不确定性，提醒投资者谨慎决策、注意投资风险。 本次业绩预告数据未经会计师事务所审计，公司已就业绩预告相关事项与年度审计会计师事务所进行预沟通，截至公告发布日，双方对本次业绩预告数据不存在分歧，最终具体财务数据以公司后续正式披露的《2026年半年度报告》为准。本次业绩大幅增长主要来源于两大驱动因素：一是公司创新药在国内市场的销售持续保持快速增长；二是公司上半年签署了多个产品对外授权交易合同，按照协议约定已收到首付款等款项，实现了大额产品授权收入。即使在研发费用同比增长50%以上的背景下，公司归属于上市公司股东的净利润以及扣除非经常性损益后的净利润仍实现了超常规的高增长。",2026-08-13T11:20:59.369269+08:00
gildata,AnnouncementData,2026年半年度业绩预告中提到创新药对外授权或license out的公司,5,公告库,ST万邦:2026年半年度业绩预告,0.92,"公告标题：ST万邦:2026年半年度业绩预告；
发布时间：2026-07-14；
证券简称：ST万邦
原文：万邦德医药控股集团股份有限公司发布2026年半年度业绩预告，预计2026年1月1日至6月30日归属于上市公司股东的净利润为6500万元至9000万元，较上年同期的1346.35万元同比增长382.79%至568.47%，扣除非经常性损益后的净利润为6121万元至8621万元，上年同期该项数据为-2411.43万元。基本每股收益预计为0.11元至0.15元/股，上年同期为0.02元/股。本次业绩预告相关数据为公司财务部门初步测算结果，未经会计师事务所审计，最终财务数据以正式半年度报告为准。业绩变动主要源于公司仿制药向创新药战略转型初见成效，创新药对外授权许可业务带来新业绩增长点；同时公司通过精细化管理优化产品结构、调整市场布局，叠加加大创新药研发投入，叠加部分产品受集采政策影响价格下降，共同导致利润大幅变动。",2026-08-13T11:20:59.369269+08:00
gildata,AnnouncementData,2026年半年度业绩预告中提到创新药对外授权或license out的公司,6,公告库,海思科:2026年半年度业绩预告,0.91,"公告标题：海思科:2026年半年度业绩预告；
发布时间：2026-07-09；
证券简称：海思科
原文：二、与会计师事务所沟通情况
本次业绩预告未经会计师事务所审计，公司就业绩预告有关事项与年度审计会计师事务所进行了预沟通，截至目前公司与会计师事务所对本报告期业绩预告数据内容不存在分歧，具体数据以公司正式披露的《2026年半年度报告》为准。
三、业绩变动原因说明
1.公司创新药在国内的销售持续保持快速增长；
2.公司签署多个产品对外授权的交易合同，根据协议约定在上半年收到了首付款等款项，实现了较大金额的产品授权收入。
因此，在研发费用同比增长50%以上的情况下，公司归属于上市公司股东的净利润及扣除非经常性损益后的净利润仍实现了较高的增长。
四、其他相关说明
本次业绩预告是公司财务部门初步测算的结果，具体财务数据以本公司正式披露的《2026 年半年度报告》为准。敬请广大投资者谨慎决策，注意投资风险。
特此公告。
海思科医药集团股份有限公司董事会2026 年 07 月 09 日",2026-08-13T11:20:59.369269+08:00
gildata,AnnouncementData,2026年半年度业绩预告中提到创新药对外授权或license out的公司,7,公告库,石药创新:2026年半年度业绩预告,0.89,"公告标题：石药创新:2026年半年度业绩预告；
发布时间：2026-07-27；
证券简称：石药创新
原文：石药创新制药股份有限公司
2026年半年度业绩预告
本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。
一、本期业绩预计情况
（一）业绩预告期间
2026 年 1 月 1 日至 2026 年 6 月 30 日。
（二）业绩预告情况：预计净利润为正值且属于扭亏为盈情形
| 项目 | 本报告期 | 上年同期 |
| --- | --- | --- |
| 归属于上市公司 股东的净利润 | 盈利：118,000万元－136,000万元 | 亏损：274.61万元 |
| 益后的净利润 | 扣除非经常性损 盈利：115.000万元-133.000万元 | 亏损：4,114.41万元 |
二、与会计师事务所沟通情况
本次业绩预告的财务数据未经会计师事务所审计，公司已就业绩预告的财务数据与会计师事务所进行了预沟通，公司与会计师事务所在业绩预告的财务数据方面不存在分歧。
三、业绩变动原因说明
报告期内，公司持续加大研发创新投入，重点布局抗体药物、ADC 及 mRNA 疫苗等前沿技术平台，稳步推进生物制药业务的管线的研发与产业化进程，产品布局覆盖肿瘤、代谢及自身免疫疾病等多个核心治疗领域。
报告期内，公司生物制药业务研发成果持续兑现。2026年1月，公司控股子公司石药集团巨石生物制药有限公司（以下简称“巨石生物”）与阿斯利康签署《战略合作与授权协议》，将与阿斯利康在创新多肽分子药物领域开展合作。巨石生物已于2026年5月29日全额收到阿斯利康支付的4.2亿美元首付款。报告期内，根据协议履约义务及相关会计准则的规定，巨石生物已对部分首付款予以收入确认。同时，在产品商业化方面，公司已有恩朗苏拜单抗注射液、注射用奥马珠单抗与乌司奴单抗注射液获批上市销售，产品商业化进程持续推进。
综合上述影响，公司2026年半年度业绩较上年同期实现扭亏为盈，并实现较高水平盈利。
四、其他相关说明
本次业绩预告数据是经公司财务部门初步估算得出，未经审计机构审计，具体业绩的详细数据以公司2026年半年度报告披露的数据为准。敬请广大投资者谨慎决策，注意投资风险。
特此公告。
石药创新制药股份有限公司董事会2026 年 7 月 27 日",2026-08-13T11:20:59.369269+08:00
gildata,AnnouncementData,2026年半年度业绩预告中提到创新药对外授权或license out的公司,8,公告库,长春高新:2026年半年度业绩预告,0.86,"公告标题：长春高新:2026年半年度业绩预告；
发布时间：2026-07-15；
证券简称：长春高新
原文：长春高新技术产业（集团）股份有限公司2026 年半年度业绩预告
本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。
一、本期业绩预告情况
（一）业绩预告期间：2026 年 1 月 1 日至 2026 年 6 月 30 日
（二）业绩预告情况：预计净利润为正值且属于同向下降情形
| 项目 | 本报告期 | 上年同期 |
| --- | --- | --- |
| 归属于上市公司股东的净利润 | 39，314.87万元-58，972.31万元 | 98，287.18万元 |
|  | 比上年同期下降：40%-60% |  |
| 扣除非经常性损益后的净利润 | 42，437.12万元-62，094.56万元 | 103,271.14万元 |
|  | 比上年同期下降：39.87%-58.91% |  |
| 基本每股收益 | 0.98元/股-1.47元/股 | 2.44元/股 |
二、与会计师事务所沟通情况
本次业绩预告的相关数据未经会计师事务所审计。
三、业绩变动原因说明
报告期内，公司归属于上市公司股东的净利润同比下降，主要原因如下：
1、报告期内，随着新版国家医保目录在2026 年1 月1 日的正式实施，公司纳入新版医保目录的长效生长激素等产品价格大幅下降，使得公司生长激素系列产品价格体系及收入结构出现调整，导致公司营业收入及净利润有所减少。
2、报告期内，公司控股子公司长春金赛药业有限责任公司授权其下属全资子公司上海赛增医疗科技有限公司作为技术许可方，与被许可方 YarrowBioscience,Inc.签订 GenSci098 注射液项目独家许可协议获得了 7,000 万美元
首付款，相关授权合作款项在报告期内已确认。
四、风险提示
本次业绩预告为公司财务部门初步核算结果，未经注册会计师审计，具体财务数据将在2026 年半年度报告中详细披露。公司将严格按照相关法律法规要求，及时披露2026 年半年度报告。敬请广大投资者谨慎决策，注意投资风险。
特此公告
长春高新技术产业（集团）股份有限公司
董事会
2026 年 7 月 15 日",2026-08-13T11:20:59.369269+08:00
gildata,AnnouncementData,2026年半年度业绩预告中提到创新药对外授权或license out的公司,9,公告库,罗欣药业:2026年半年度业绩预告,0.85,"公告标题：罗欣药业:2026年半年度业绩预告；
发布时间：2026-07-14；
证券简称：罗欣药业
原文：罗欣药业集团股份有限公司2026 年半年度业绩预告
本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。
一、本期业绩预计情况
1、业绩预告期间：2026 年 1 月 1 日至 2026 年 6 月 30 日。
2、业绩预告情况：预计净利润为正值且属于同向上升情形
（1）以区间数进行业绩预告的
单位：万元
| 项目 | 本报告期 | 上年同期 |
| --- | --- | --- |
| 归属于上市公司股 东的净利润 | 4,900~5,100 | 1,769.50 |
|  | 比上年同期增长：176.91%～188.22% |  |
| 扣除非经常性损益 后的净利润 | 3,000~3,200 | 230.07 |
|  | 比上年同期增长：1,203.97%～1,290.90% |  |
| 基本每股收益 （元/股） | 0.0450～0.0480 | 0.0163 |
二、与会计师事务所沟通情况
本业绩预告相关的财务数据未经会计师审计。公司就业绩预告已与会计师事务所进行了预沟通，双方不存在分歧。
三、业绩变动原因说明
报告期内，公司归属于上市公司股东的净利润同比实现较大幅度增长，主要原因如下：
1.报告期内，公司核心创新药产品替戈拉生片进入商业化深化阶段，产品生命周期价值逐步显现。公司围绕产品优势持续推进市场价值转化，终端需求持续释放，销售收入同比实现较快增长，对公司整体业绩提升形成重要支撑。
2.报告期内，公司完成所持罗欣安若维他药业（成都）有限公司 20%股权的处置，并根据相关会计准则确认投资收益。上述投资收益属于非经常性损益，对公司报告期净利润增长产生积极影响。
3.公司于 2025 年末完成山东乐康制药有限公司 100%股权处置。由于山东乐康制药有限公司 2025 年度持续亏损，股权处置完成后，公司合并报表范围发生变化，相关亏损因素不再影响公司2026 年度经营业绩。
四、风险提示
本次业绩预告是公司财务部门的初步估算结果，具体财务数据以公司披露的 2026 年半年度报告为准。敬请广大投资者谨慎决策，注意投资风险。
特此公告。
罗欣药业集团股份有限公司董事会2026 年 7 月 13 日",2026-08-13T11:20:59.369269+08:00
gildata,AnnouncementData,2026年半年度业绩预告中提到创新药对外授权或license out的公司,10,公告库,海思科:2026年半年度业绩预告,0.85,"公告标题：海思科:2026年半年度业绩预告；
发布时间：2026-07-09；
证券简称：海思科
原文：海思科医药集团股份有限公司2026 年半年度业绩预告
本公司及董事会全体成员保证信息披露内容的真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。
重要提示：
公司上半年签署的多个对外授权许可协议中所约定的里程碑款等款项需要满足一定的条件，最终能否收到全部款项尚存在不确定性；同时公司未来的对外授权业务具有一定的不确定性，敬请广大投资者谨慎决策，注意投资风险。
一、本期业绩预计情况
1.业绩预告期间：2026 年 1 月 1 日-2026 年 6 月 30 日
2.业绩预告情况：预计净利润为正值且属于同向上升情形
（1）以区间数进行业绩预告的
单位：万元
| 项目 | 本报告期 |  |  |  |  |
| --- | --- | --- | --- | --- | --- |
| 归属于上市公司股东的 净利润 | 79,000 |  |  | 87,000 | 12,882.2 |
|  | 比上年同期增长 | 513.25% |  | 575.35% |  |
| 扣除非经常性损益后的 净利润 | 比上年同期增长 | 69,000 |  | 77,000 | 14,462.46 |
|  |  | 377.10% |  | 432.41% |  |
| 基本每股收益（元/股） | 0.71 |  |  | 0.78 | 0.12 |",2026-08-13T11:20:59.369269+08:00
