vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,AnnouncementData,2026年半年度业绩预告扭亏为盈的医药生物公司,1,公告库,灵康药业:2026年半年度业绩预告,0.99,"公告标题：灵康药业:2026年半年度业绩预告；
发布时间：2026-07-15；
证券简称：灵康药业
原文： 灵康药业集团股份有限公司2026年半年度业绩预告显示，公司预计2026年1月1日至6月30日实现归属于母公司所有者的净利润为2300万元左右，较上年同期的-3573.37万元实现扭亏为盈；预计扣除非经常性损益的净利润为2000万元左右，上年同期该数据为-4554.49万元。 预计2026年半年度实现营业收入约25000万元，扣除与主营业务无关及不具备商业实质的收入后，营业收入约为24200万元。 公司本次扭亏为盈的主要原因是报告期内加大集采中标品种推广力度、发挥渠道优势拓展非集采品种市场，同时依托销售体系优势深化医药流通及代理业务，带动经营业绩向好。 本次业绩预告未经注册会计师审计，最终准确财务数据需以正式披露的2026年半年度报告为准。",2026-08-13T11:21:28.294575+08:00
gildata,AnnouncementData,2026年半年度业绩预告扭亏为盈的医药生物公司,2,公告库,石药景峰:2026年半年度业绩预告,0.97,"公告标题：石药景峰:2026年半年度业绩预告；
发布时间：2026-07-15；
证券简称：石药景峰
原文： 石药集团湖南景峰医药股份有限公司发布2026年半年度业绩预告，预计2026年1月1日至6月30日归属于上市公司股东的净利润为500万元至750万元，较上年同期的-3256.74万元实现扭亏为盈；基本每股收益预计为0.0036元/股至0.0054元/股，上年同期为-0.0370元/股。 本次业绩变动主要源于公司顺利完成司法重整，资产负债结构得到优化，财务费用等支出下降，主营业务亏损同比大幅收窄，同时本期确认结构性存款收益、政府补助等非经常性损益，进一步推动业绩转正。 本次业绩预告相关财务数据未经会计师事务所审计，扣除非经常性损益后的净利润预计为-800万元至-600万元，仍处于亏损状态，说明公司主营业务尚未完全实现盈利。 本次业绩预告数据为公司财务部门初步估算结果，具体财务数据需以正式披露的2026年半年度报告为准，投资者需注意投资风险。",2026-08-13T11:21:28.294575+08:00
gildata,AnnouncementData,2026年半年度业绩预告扭亏为盈的医药生物公司,3,公告库,石药创新:2026年半年度业绩预告,0.96,"公告标题：石药创新:2026年半年度业绩预告；
发布时间：2026-07-27；
证券简称：石药创新
原文：石药创新制药股份有限公司
2026年半年度业绩预告
本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。
一、本期业绩预计情况
（一）业绩预告期间
2026 年 1 月 1 日至 2026 年 6 月 30 日。
（二）业绩预告情况：预计净利润为正值且属于扭亏为盈情形
| 项目 | 本报告期 | 上年同期 |
| --- | --- | --- |
| 归属于上市公司 股东的净利润 | 盈利：118,000万元－136,000万元 | 亏损：274.61万元 |
| 益后的净利润 | 扣除非经常性损 盈利：115.000万元-133.000万元 | 亏损：4,114.41万元 |
二、与会计师事务所沟通情况
本次业绩预告的财务数据未经会计师事务所审计，公司已就业绩预告的财务数据与会计师事务所进行了预沟通，公司与会计师事务所在业绩预告的财务数据方面不存在分歧。
三、业绩变动原因说明
报告期内，公司持续加大研发创新投入，重点布局抗体药物、ADC 及 mRNA 疫苗等前沿技术平台，稳步推进生物制药业务的管线的研发与产业化进程，产品布局覆盖肿瘤、代谢及自身免疫疾病等多个核心治疗领域。
报告期内，公司生物制药业务研发成果持续兑现。2026年1月，公司控股子公司石药集团巨石生物制药有限公司（以下简称“巨石生物”）与阿斯利康签署《战略合作与授权协议》，将与阿斯利康在创新多肽分子药物领域开展合作。巨石生物已于2026年5月29日全额收到阿斯利康支付的4.2亿美元首付款。报告期内，根据协议履约义务及相关会计准则的规定，巨石生物已对部分首付款予以收入确认。同时，在产品商业化方面，公司已有恩朗苏拜单抗注射液、注射用奥马珠单抗与乌司奴单抗注射液获批上市销售，产品商业化进程持续推进。
综合上述影响，公司2026年半年度业绩较上年同期实现扭亏为盈，并实现较高水平盈利。
四、其他相关说明
本次业绩预告数据是经公司财务部门初步估算得出，未经审计机构审计，具体业绩的详细数据以公司2026年半年度报告披露的数据为准。敬请广大投资者谨慎决策，注意投资风险。
特此公告。
石药创新制药股份有限公司董事会2026 年 7 月 27 日",2026-08-13T11:21:28.294575+08:00
gildata,AnnouncementData,2026年半年度业绩预告扭亏为盈的医药生物公司,4,公告库,盈新发展:2026年半年度业绩预告,0.96,"公告标题：盈新发展:2026年半年度业绩预告；
发布时间：2026-07-11；
证券简称：盈新发展
原文：北京铜官盈新文化旅游发展股份有限公司发布2026年半年度业绩预告，业绩预告期间为2026年1月1日至6月30日，业绩类型为扭亏为盈。报告期内，归属于上市公司股东的净利润预计盈利7500万至10000万元，上年同期为亏损16129.48万元；扣除非经常性损益后的净利润预计亏损25000万至33000万元，亏损幅度较上年同期有所扩大；基本每股收益预计盈利0.01至0.02元，上年同期为亏损0.0275元。本次业绩预告相关财务数据为公司财务部门初步测算结果，未经审计机构预审计，最终数据以正式披露的2026年半年度报告为准。公司净利润扭亏为盈主要系本期处置子公司西宁盈新置业有限公司和新丝路控股集团有限公司股权，确认合计约3.85亿元的投资收益，该部分收益计入当期非经常性损益。",2026-08-13T11:21:28.294575+08:00
gildata,AnnouncementData,2026年半年度业绩预告扭亏为盈的医药生物公司,5,公告库,荣昌生物:荣昌生物制药（烟台）股份有限公司2026年半年度业绩预告的自愿性披露公告,0.96,"公告标题：荣昌生物:荣昌生物制药（烟台）股份有限公司2026年半年度业绩预告的自愿性披露公告；
发布时间：2026-08-06；
证券简称：荣昌生物
原文：荣昌生物2026年半年度业绩预告显示，公司预计实现营业收入约585000万元，同比增加约433%，上年同期营收为109795.34万元；预计归属于母公司所有者的净利润约470000万元，实现扭亏为盈，上年同期净亏损44956.87万元；预计扣除非经常性损益后的净利润约430000万元，同样实现扭亏为盈，上年同期扣非净亏损44551.75万元，本次预告财务数据未经注册会计师审计。本次业绩大幅增长并实现扭亏的核心原因在于，公司核心产品泰它西普、维迪西妥单抗国内销售收入持续增长，同时与艾伯维就RC148签署独家授权许可协议，获得大额技术授权收入，带动上半年盈利水平大幅提升。",2026-08-13T11:21:28.294575+08:00
gildata,AnnouncementData,2026年半年度业绩预告扭亏为盈的医药生物公司,6,公告库,华神科技:2026年半年度业绩预告,0.97,"公告标题：华神科技:2026年半年度业绩预告；
发布时间：2026-07-15；
证券简称：华神科技
原文： 成都华神科技集团股份有限公司发布2026年半年度业绩预告，预告期间为2026年1月1日至2026年6月30日，本次预计业绩为净利润正值，属于扭亏为盈情形。 具体财务测算数据方面，预计归属于上市公司股东的净利润盈利区间为480万元-710万元，上年同期为亏损5484.40万元；扣除非经常性损益后的净利润预计盈利区间为440万元-650万元，上年同期为亏损5462.53万元；基本每股收益预计为0.0077元/股-0.0114元/股，上年同期为亏损0.0879元/股。 本次业绩预告的相关数据为公司财务部门初步测算结果，未经会计师事务所审计，但公司已就业绩预告相关事项与会计师事务所预沟通，双方在本次业绩预告相关财务数据方面不存在重大分歧。 对于本次业绩扭亏为盈的变动原因，华神科技表示，报告期内公司持续聚焦医药核心主业，深度挖掘现有产品的临床价值，积极拓展院外增量市场，同时通过动态优化资源与费用投入，完善成本管控体系，提升了市场运营效率与整体经营质量，最终推动经营业绩实现扭亏为盈。此外公告也提示，本业绩预告为初步估算结果，尚未经审计机构审计，具体财务数据将在2026年半年度报告中详细披露，提醒广大投资者谨慎决策，注意投资风险。",2026-08-13T11:21:28.294575+08:00
gildata,AnnouncementData,2026年半年度业绩预告扭亏为盈的医药生物公司,7,公告库,美迪西:2026年半年度业绩预增公告,0.96,"公告标题：美迪西:2026年半年度业绩预增公告；
发布时间：2026-07-20；
证券简称：美迪西
原文：上海美迪西生物医药股份有限公司2026 年半年度业绩预增公告
本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述或者重大遗漏，并对其内容的真实性、准确性和完整性依法承担法律责任。
一、本期业绩预告情况
（一）业绩预告期间
2026 年 1 月 1 日至 2026 年 6 月 30 日。
（二）业绩预告情况
经上海美迪西生物医药股份有限公司（以下简称“公司”）财务部门初步测算：
（1）预计 2026 年半年度实现归属于母公司所有者的净利润将实现扭亏为盈，为 4,200 万元到 6,300 万元，与上年同期（法定披露数据）相比，预计增加5,490 万元到 7,590 万元。
（2）预计2026年半年度实现归属于母公司所有者的扣除非经常性损益后的净利润为 3,500 万元到 5,250 万元，与上年同期（法定披露数据）相比，预计增加 6,173 万元到 7,923 万元。
（三）本次业绩预告数据未经注册会计师审计。
二、上年同期业绩情况和财务状况
（一）利润总额：-2,055.13万元。归属于母公司所有者的净利润为-1,289.84万元，归属于母公司所有者的扣除非经常性损益后的净利润为-2,673.04万元。
（二）每股收益：-0.10元/股。",2026-08-13T11:21:28.294575+08:00
gildata,AnnouncementData,2026年半年度业绩预告扭亏为盈的医药生物公司,8,公告库,灵康药业:2026年半年度业绩预告,0.96,"公告标题：灵康药业:2026年半年度业绩预告；
发布时间：2026-07-15；
证券简称：灵康药业
原文：灵康药业集团股份有限公司2026 年半年度业绩预告
本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述或者重大遗漏，并对其内容的真实性、准确性和完整性承担个别及连带责任。
重要内容提示：
业绩预告的适用情形：净利润实现扭亏为盈业绩预告的主要财务数据：公司预计2026 年半年度实现归属于母公司所有者的净利润为2,300 万元左右；归属于母公司所有者的扣除非经常性损益的净利润为2,000 万元左右。
一、本期业绩预告情况
（一）业绩预告期间
2026 年 1 月 1 日至 2026 年 6 月 30 日。
（二）业绩预告情况
经公司财务部门初步测算，预计2026 年半年度实现归属于母公司所有者的净利润为2,300 万元左右，与上年同期（法定披露数据）相比，将实现扭亏为盈。
预计2026 年半年度归属于母公司所有者的扣除非经常性损益的净利润为2,000 万元左右。
预计2026 年半年度实现营业收入为25,000 万元左右，扣除与主营业务无关的业务收入和不具备商业实质的收入后的营业收入为24,200 万元左右。
（三）本期业绩预告数据未经注册会计师审计。
二、上年同期经营业绩和财务状况
（一）利润总额：-3,596.62 万元。归属于母公司所有者的净利润：-3,573.37万元；归属于母公司所有者的扣除非经常性损益的净利润：-4,554.49 万元。
（二）每股收益-0.05 元。",2026-08-13T11:21:28.294575+08:00
gildata,AnnouncementData,2026年半年度业绩预告扭亏为盈的医药生物公司,9,公告库,石药景峰:2026年半年度业绩预告,0.96,"公告标题：石药景峰:2026年半年度业绩预告；
发布时间：2026-07-15；
证券简称：石药景峰
原文：石药集团湖南景峰医药股份有限公司2026 年半年度业绩预告
本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。
一、本期业绩预计情况
（一）业绩预告期间：2026 年 1 月 1 日至 2026 年 6 月 30 日（二）业绩预告情况：预计净利润为正值且属于扭亏为盈的情形
单位：万元
| 项目 | 本报告期 |  |  | 上年同期 |
| --- | --- | --- | --- | --- |
| 归属于上市公司股东的净利润 | 500 | ～ | 750 | -3,256.74 |
| 扣除非经常性损益后的净利润 | -800 | ～ | -600 | -2,981.27 |
| 基本每股收益（元/股) | 0.0036 | ～ | 0.0054 | -0.0370 |
二、与会计师事务所沟通情况
本次业绩预告的相关财务数据未经会计师事务所审计。
三、业绩变动原因说明
报告期内，石药集团湖南景峰医药股份有限公司（以下简称“公司”）顺利完成司法重整，资产负债结构优化，财务费用等支出下降，主营业务亏损同比大幅收窄；同时，公司本期确认结构性存款收益、政府补助等非经常性损益，进一步提升业绩水平。上述因素共同带动本报告期归属于上市公司股东的净利润同比实现扭亏为盈。",2026-08-13T11:21:28.294575+08:00
gildata,AnnouncementData,2026年半年度业绩预告扭亏为盈的医药生物公司,10,公告库,卫光生物:2026年半年度业绩预告,0.96,"公告标题：卫光生物:2026年半年度业绩预告；
发布时间：2026-07-15；
证券简称：卫光生物
原文：深圳市卫光生物制品股份有限公司
2026 年半年度业绩预告
本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。
一、本期业绩预计情况
1.业绩预告期间：2026 年 1 月 1 日至 2026 年 06 月 30 日
2.预计的经营业绩：
 扭亏为盈  同向上升  同向下降
| 项目 | 本报告期 | 上年同期 |
| --- | --- | --- |
| 归属于上市公司股 东的净利润 | 盈利：4,306万元-5,382万元 | 盈利 |
|  | 比上年同期减少：60%-50% |  |
| 扣除非经常性损益 后的净利润 | 盈利：4,252万元-5,315万元 | 盈利 |
|  | 比上年同期减少：60%-50% | 10,630.37万元 |
| 基本每股收益 | 盈利：0.1898元/股-0.2373元/股 | 盈利 0.4746元/股 |
二、与会计师事务所沟通情况
本次业绩预告相关财务数据未经过注册会计师审计。
三、业绩变动原因说明
1.税收政策调整影响：受2026 年第10 号文《财政部税务总局关于增值税法施行后增值税优惠政策衔接事项的公告》影响，除罕见病药物外，公司其他血制品业务由3%简易征收转为13%一般计税，导致公司收入与利润承压。
2.市场环境影响：由于市场竞争加剧，公司血制品的销售额出现一定程度下滑。
四、风险提示
本次业绩预告是公司财务部门初步测算的结果，未经审计机构审计，具体财务数据以公司披露的《2026 年半年度报告》为准。敬请广大投资者注意投资风险。
特此公告。
深圳市卫光生物制品股份有限公司董事会2026 年 7 月 15 日",2026-08-13T11:21:28.294575+08:00
