vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,AnnouncementData,2026年半年度业绩预告中提到新药获批上市或产品放量的公司,1,公告库,石药创新:2026年半年度业绩预告,0.94,"公告标题：石药创新:2026年半年度业绩预告；
发布时间：2026-07-27；
证券简称：石药创新
原文：石药创新制药股份有限公司
2026年半年度业绩预告
本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。
一、本期业绩预计情况
（一）业绩预告期间
2026 年 1 月 1 日至 2026 年 6 月 30 日。
（二）业绩预告情况：预计净利润为正值且属于扭亏为盈情形
| 项目 | 本报告期 | 上年同期 |
| --- | --- | --- |
| 归属于上市公司 股东的净利润 | 盈利：118,000万元－136,000万元 | 亏损：274.61万元 |
| 益后的净利润 | 扣除非经常性损 盈利：115.000万元-133.000万元 | 亏损：4,114.41万元 |
二、与会计师事务所沟通情况
本次业绩预告的财务数据未经会计师事务所审计，公司已就业绩预告的财务数据与会计师事务所进行了预沟通，公司与会计师事务所在业绩预告的财务数据方面不存在分歧。
三、业绩变动原因说明
报告期内，公司持续加大研发创新投入，重点布局抗体药物、ADC 及 mRNA 疫苗等前沿技术平台，稳步推进生物制药业务的管线的研发与产业化进程，产品布局覆盖肿瘤、代谢及自身免疫疾病等多个核心治疗领域。
报告期内，公司生物制药业务研发成果持续兑现。2026年1月，公司控股子公司石药集团巨石生物制药有限公司（以下简称“巨石生物”）与阿斯利康签署《战略合作与授权协议》，将与阿斯利康在创新多肽分子药物领域开展合作。巨石生物已于2026年5月29日全额收到阿斯利康支付的4.2亿美元首付款。报告期内，根据协议履约义务及相关会计准则的规定，巨石生物已对部分首付款予以收入确认。同时，在产品商业化方面，公司已有恩朗苏拜单抗注射液、注射用奥马珠单抗与乌司奴单抗注射液获批上市销售，产品商业化进程持续推进。
综合上述影响，公司2026年半年度业绩较上年同期实现扭亏为盈，并实现较高水平盈利。
四、其他相关说明
本次业绩预告数据是经公司财务部门初步估算得出，未经审计机构审计，具体业绩的详细数据以公司2026年半年度报告披露的数据为准。敬请广大投资者谨慎决策，注意投资风险。
特此公告。
石药创新制药股份有限公司董事会2026 年 7 月 27 日",2026-08-13T11:21:18.877475+08:00
gildata,AnnouncementData,2026年半年度业绩预告中提到新药获批上市或产品放量的公司,2,公告库,贝达药业:2026年半年度业绩预告,0.94,"公告标题：贝达药业:2026年半年度业绩预告；
发布时间：2026-07-22；
证券简称：贝达药业
原文：贝达药业股份有限公司2026 年半年度业绩预告
本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。
一、本期业绩预计情况
1、业绩预告期间：2026 年 1 月 1 日至 2026 年 6 月 30 日。
2、业绩预告情况：预计净利润为正值且属于同向上升情形
（1）以区间数进行业绩预告
单位：万元
| 项目 | 本报告期 |  |  | 上年同期 |
| --- | --- | --- | --- | --- |
| 归属于上市公司 股东的净利润 |  | 30.777.38 | 39.171.22 | 13.989.72 |
|  | 比上年同期增长 | 120.00% | 180.00% |  |
| 扣除非经常性损 益后的净利润 |  | 22.874.84 | 28,593.56 | 19.062.37 |
|  | 比上年同期增长 | 20.00% | 50.00% |  |
二、与会计师事务所沟通情况
本次业绩预告相关的财务数据是公司财务部门初步测算的结果，未经会计师事务所审计。
三、业绩变动原因说明
目前，公司共有九款药品上市销售，搭建形成覆盖肺癌、肾癌、乳腺癌等多个领域的产品矩阵。公司全面推进自主研发、市场销售、战略合作、创新生态圈“四驾马车”协同发展战略，持续自研与引进差异化、迭代性的创新药物。依托差异化竞争优势、医保政策红利及完善成熟的商业化网络，市场销售规模实现持续放量，2026 年半年度主营业务收入稳步攀升。公司持续提升经营管理能力，持续提质增效，整体经营效率持续提升，本期归属于上市公司股东的净利润实现大幅增长，扣除非
经常性损益后的净利润保持明显增长。
四、其他相关说明
本次业绩预告是公司财务部门初步测算的结果，具体财务数据将在 2026 年半年度报告中详细披露。敬请广大投资者注意投资风险，谨慎决策。
特此公告。
贝达药业股份有限公司董事会2026 年 7 月 22 日",2026-08-13T11:21:18.877475+08:00
gildata,AnnouncementData,2026年半年度业绩预告中提到新药获批上市或产品放量的公司,3,公告库,富祥股份:2026年半年度业绩预告,0.92,"公告标题：富祥股份:2026年半年度业绩预告；
发布时间：2026-06-18；
证券简称：富祥股份
原文：江西富祥药业股份有限公司2026年半年度业绩预告
本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏
一、本期业绩预计情况
1、业绩预告期间：2026年1月1日至2026年6月30日。
2、业绩预告情况：预计净利润为正值且扭亏为盈 
| 项目 | 本报告期 | 上年同期 |
| --- | --- | --- |
| 归属于上市公司 股东的净利润 | 盈利：_16.500_万元-21,450万元 | 亏损：_691.12万元 |
|  | 比上年同期增长：_2487%-3204% |  |
| 扣除非经常性损 益后的净利润 | 盈利：_16,100_万元-21.050万元 | 亏损：3.217.98_万元 |
二、与会计师事务所沟通情况
本次业绩预告相关数据为公司财务部门初步测算的结果，未经会计师事务所审计。
三、业绩变动原因说明
报告期内，公司紧抓市场机遇，将电解液添加剂VC产品产能增加至10,000吨/年，同时FEC产品产能约4,000吨/年。2026年上半年公司前述产品销售量价齐增，推动公司业绩大幅增长且扭亏为盈。新能源业务已成为公司业绩增长的核心引擎。
此外，公司医药制造业务稳健发展，持续推进市场拓展及降本增效工作，重点攻关关键中间体跨领域应用，多个主导产品全球市占率连续多年位于第一梯队。生物制造微生物蛋白业务商业化进程提速，打开长期成长空间。公司核心产品未冉®蛋白作为新食品原料已于2025年11月通过国家卫健委审批，成为我国首个获批的丝状真菌蛋白，此前已通过美国SELF-GRAS认证，意味着公司产品可以自由通行全球两个最大的消费市场。报告期内，公司B端、C端业务布局同步提速，一方面加快年产2万吨微生物蛋白项目建设，为后续规模化供应奠定基础；另一方面，通过未冉联创商盟已开发出20多款自主品牌及联营品牌产品，如肽爽气泡水、肽润草本水、椰肽水、蛋白汉堡、蛋白魔芋面等，并加速市场推广。其中通过斯洛文尼亚子公司迈壹国际开发生产的牛肉口味和鸡肉口味蛋白汉堡，已成功进入欧洲主流商超如奥乐齐、SPAR等渠道进行销售。该业务凭借中美双认证的资质、清晰的产品矩阵和逐步落地的海内外渠道，有望成为公司中长期新的业绩增长极。
四、其他相关说明
本次业绩预告是公司财务部门进行初步测算的结果，未经会计师事务所审计。2026年半年度业绩具体数据将在2026年半年度报告中详细披露，敬请广大投资者理性投资，注意风险。
五、备查文件
董事会关于本期业绩预告的情况说明。  
特此公告。
江西富祥药业股份有限公司董事会2026 年 6 月 18 日",2026-08-13T11:21:18.877475+08:00
gildata,AnnouncementData,2026年半年度业绩预告中提到新药获批上市或产品放量的公司,4,公告库,双成药业:海南双成药业股份有限公司2026年半年度业绩预告,0.9,"公告标题：双成药业:海南双成药业股份有限公司2026年半年度业绩预告；
发布时间：2026-07-15；
证券简称：双成药业
原文： 海南双成药业股份有限公司发布2026年半年度业绩预告，预告区间为2026年1月1日至2026年6月30日，公司预计本期业绩为净利润正值，实现扭亏为盈。其中归属于上市公司股东的净利润预计区间为1000万元-1500万元，较上年同期的-1846.66万元增长154.15%-181.23%；扣除非经常性损益后的净利润预计区间为750万元-1100万元，较上年同期的-2101.58万元增长135.69%-152.34%；基本每股收益预计区间为0.0241元/股-0.0362元/股。 本次业绩变动的核心驱动因素为注射用紫杉醇（白蛋白结合型）产品的出口业务增长，该产品于上年5月才取得美国上市许可批准，上年同期可实现销售的周期较短，本期该产品对美出口业务有序开展，美国客户销售稳定推进，带动公司本期营收同比大幅增长，最终推动公司整体业绩实现扭亏为盈。 本次业绩预告相关数据属于公司财务部门的初步测算结果，尚未经会计师事务所审计。 公司提示，本次业绩预告数据仅为初步测算，具体财务数据需要以公司正式披露的2026年半年度报告内容为准，提醒广大投资者理性投资，注意投资风险，公司所有公开信息均以《中国证券报》《证券时报》和巨潮资讯网披露内容为准。",2026-08-13T11:21:18.877475+08:00
gildata,AnnouncementData,2026年半年度业绩预告中提到新药获批上市或产品放量的公司,5,公告库,江丰电子:2026年半年度业绩预告,0.99,"公告标题：江丰电子:2026年半年度业绩预告；
发布时间：2026-07-15；
证券简称：江丰电子
原文：宁波江丰电子2026年半年度业绩预告显示，归属于上市公司股东的净利润区间为48000万元至56000万元，较上年同期25264.85万元同比增长89.99%至121.65%；扣除非经常性损益后的净利润区间为18000万元至23000万元，较上年同期17583.09万元同比增长2.37%至30.81%。公司预计2026年半年度实现营业收入约27亿元，较上年同期增长约30%，主要得益于全球半导体产业与AI技术迭代带动下游需求释放，公司超高纯金属溅射靶材收入稳步增长，半导体精密零部件产品作为第二增长曲线收入持续放量。报告期内公司推进多项产能建设，黄湖靶材智能工厂部分车间已交付，核心智能化模块完成单体测试，韩国江丰靶材工厂主体工程开工建设，同时加快推进静电吸盘、脆性材料等半导体精密零部件项目扩产，加码全球化与自主可控布局。公司预计非经常性损益金额约3亿元至3.3亿元，主要来自战略投资公允价值变动、股权转让、业务整合及政府补助等因素，本次业绩预告未经会计师事务所审计，后续将在半年度报告中披露详细财务数据。",2026-08-13T11:21:18.877475+08:00
gildata,AnnouncementData,2026年半年度业绩预告中提到新药获批上市或产品放量的公司,6,公告库,四方达:2026年半年度业绩预告,0.98,"公告标题：四方达:2026年半年度业绩预告；
发布时间：2026-07-20；
证券简称：四方达
原文：河南四方达超硬材料股份有限公司发布2026年半年度业绩预告，预计2026年1-6月归属于上市公司股东的净利润为7250.23万元至9425.29万元，较上年同期的5321.84万元同比增长36.24%至77.11%，扣非净利润预计为6543.83万元至8506.98万元，同比增长72.38%至124.09%，业绩同向上升。本次业绩预告数据为公司财务部门初步测算结果，尚未经会计师事务所审计，最终详细财务数据将在2026年半年度报告中正式披露。本次业绩增长主要源于两方面，一是公司在夯实基本业务的同时积极拓展新市场，子公司CVD金刚石业务板块放量成为新的业绩增长点；二是公司持续推进降本增效，优化经营管理与资源配置，经营质量稳步提升，实现营业收入与利润双增长。",2026-08-13T11:21:18.877475+08:00
gildata,AnnouncementData,2026年半年度业绩预告中提到新药获批上市或产品放量的公司,7,公告库,燕京啤酒:2026年半年度业绩预告,0.99,"公告标题：燕京啤酒:2026年半年度业绩预告；
发布时间：2026-07-07；
证券简称：燕京啤酒
原文：北京燕京啤酒股份有限公司发布2026年半年度业绩预告，预计2026年1-6月归属于上市公司股东的净利润为137853万元-148881万元，较上年同期的110282.19万元增长25.00%-35.00%；扣除非经常性损益后的净利润为134744万元-145108万元，较上年同期的103648.87万元增长30.00%-40.00%；基本每股收益为0.4891元/股-0.5282元/股，上年同期为0.3913元/股。本次业绩预告数据为财务部门初步核算结果，未经会计师事务所审计，公司与会计师事务所无重大分歧。本次业绩增长主要源于公司稳步推进“十五五”规划落地，围绕“一核两翼”战略布局，以啤酒主业为核心推动燕京U8、燕京A10等大单品放量增长，带动产品结构优化升级；以饮料、健康食品为两翼拓展多元消费场景，丰富产品矩阵。同时公司深化市场渠道建设，强化产销协同与费用管控，推行卓越管理体系建设，通过供应链变革、精益管理、数字化建设深挖效率提升空间，推动收入稳健增长和盈利能力持续改善。",2026-08-13T11:21:18.877475+08:00
gildata,AnnouncementData,2026年半年度业绩预告中提到新药获批上市或产品放量的公司,8,公告库,铭普光磁:2026年半年度业绩预告,0.98,"公告标题：铭普光磁:2026年半年度业绩预告；
发布时间：2026-07-15；
证券简称：铭普光磁
原文： 东莞铭普光磁股份有限公司发布2026年半年度业绩预告，业绩预告区间为2026年1月1日至2026年6月30日，预计该区间内公司归属于上市公司股东的净利润为-1800万元至-1400万元，上年同期为-7303.87万元；扣除非经常性损益后的净利润为-2475万元至-2075万元，上年同期为-7778.65万元；基本每股收益为-0.08元/股至-0.06元/股，上年同期为-0.31元/股，本次预告相关财务数据未经会计师事务所审计，公司与审计会计师事务所预沟通后不存在分歧，整体来看公司2026年半年度业绩较上年同期实现明显减亏。 本次业绩减亏的核心原因在于公司“光+磁”双主业协同放量，高附加值产品驱动盈利上行，其中磁性元器件领域受益于下游需求回暖叠加高端市场拓展，订单实现快速增长，同时产线自动化改造与产品结构优化落地后，高附加值产品占比显著提高，板块毛利率同比大幅提升；光通信业务则受益于行业景气上行，光器件出货量稳步增加，规模效应持续释放，两大主业协同向好成为业绩提升的核心动力。 公司通过深化供应链精细化管控、优化生产工艺流程实现了显著的降本成效，有效压降整体生产成本，提升生产运营效率，扎实的降本举措推动本期业绩减亏增效，经营质量稳步提升，为后续发展积蓄了内生动力。另外公司2025年末完成的充电桩业务并购目前尚处整合期，为适配欧洲新版行业标准，公司持续加大研发投入并承担相应认证开支，现阶段前期投入较大，规模化收益尚未释放，预计随着整合深化和标准落地，后续将逐步释放协同价值。本次业绩预告为初步测算结果，具体财务数据将在公司2026年半年度报告中详细披露。",2026-08-13T11:21:18.877475+08:00
gildata,AnnouncementData,2026年半年度业绩预告中提到新药获批上市或产品放量的公司,9,公告库,景兴纸业:2026年半年度业绩预告,0.98,"公告标题：景兴纸业:2026年半年度业绩预告；
发布时间：2026-07-09；
证券简称：景兴纸业
原文：浙江景兴纸业2026年半年度业绩预告显示，公司预计2026年1-6月归属于上市公司股东的净利润区间为13000万元至16000万元，较上年同期5503.38万元同比增长136.22%至190.73%；扣非后净利润区间为11000万元至14000万元，较上年同期-3766.07万元同比增长392.08%至471.74%，基本每股收益预计为0.09元至0.11元，上年同期为0.04元。本次业绩变动主要有三方面原因：一是公司主要产品盈利能力恢复，毛利率水平较上年上升，带动盈利大幅增长；二是再生浆板销售放量，推动整体销售收入提升；三是公司2025年10月完成可转债摘牌，报告期内不再计提利息，叠加精细化管理实现利息收入增长，使得财务费用较上年同期大幅下降。本次业绩预告为公司财务部门初步测算结果，未经审计，具体财务数据以正式披露的2026年半年度报告为准，公司指定信息披露媒体为《证券时报》和巨潮资讯网。",2026-08-13T11:21:18.877475+08:00
gildata,AnnouncementData,2026年半年度业绩预告中提到新药获批上市或产品放量的公司,10,公告库,信德新材:2026年半年度业绩预告,0.97,"公告标题：信德新材:2026年半年度业绩预告；
发布时间：2026-07-11；
证券简称：信德新材
原文：辽宁信德新材2026年半年度业绩预告显示，公司预计归属于上市公司股东的净利润区间为6500万元至7500万元，较上年同期的981.37万元同比增长562.34%至664.24%；扣非后净利润区间为4600万元至5600万元，较上年同期的-377.81万元同比增长1317.54%至1582.23%。本次业绩预告相关财务数据为公司财务部门初步测算结果，未经会计师事务所审计，最终数据以正式半年度报告披露为准。2026年半年度业绩同比大幅增长主要源于三方面驱动因素：一是新能源行业景气度上行，动力电池、储能需求放量带动负极包覆材料市场需求旺盛，公司凭借行业龙头地位、头部客户资源及“黄金三角”产能保障实现出货量同比较大增长；二是公司加大高端产品排产交付，中高温、高温系列包覆产品出货占比提升，拉动营收与综合毛利率改善；三是副产品下游需求增强，出货量和销售价格双升带来额外营收与利润增量。",2026-08-13T11:21:18.877475+08:00
