vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,AnnouncementData,燕京啤酒2026年半年度业绩预告,1,公告库,燕京啤酒:2026年半年度业绩预告,1.0,"公告标题：燕京啤酒:2026年半年度业绩预告；
发布时间：2026-07-07；
证券简称：燕京啤酒
原文：北京燕京啤酒股份有限公司发布2026年半年度业绩预告，预计2026年1-6月归属于上市公司股东的净利润为137853万元-148881万元，较上年同期的110282.19万元增长25.00%-35.00%；扣除非经常性损益后的净利润为134744万元-145108万元，较上年同期的103648.87万元增长30.00%-40.00%；基本每股收益为0.4891元/股-0.5282元/股，上年同期为0.3913元/股。本次业绩预告数据为财务部门初步核算结果，未经会计师事务所审计，公司与会计师事务所无重大分歧。本次业绩增长主要源于公司稳步推进“十五五”规划落地，围绕“一核两翼”战略布局，以啤酒主业为核心推动燕京U8、燕京A10等大单品放量增长，带动产品结构优化升级；以饮料、健康食品为两翼拓展多元消费场景，丰富产品矩阵。同时公司深化市场渠道建设，强化产销协同与费用管控，推行卓越管理体系建设，通过供应链变革、精益管理、数字化建设深挖效率提升空间，推动收入稳健增长和盈利能力持续改善。",2026-08-16T09:22:23.782388+08:00
gildata,AnnouncementData,燕京啤酒2026年半年度业绩预告,2,公告库,燕京啤酒:2026年第一季度业绩预告,0.95,"公告标题：燕京啤酒:2026年第一季度业绩预告；
发布时间：2026-04-03；
证券简称：燕京啤酒
原文： 北京燕京啤酒股份有限公司发布2026年第一季度业绩预告，预计归属于上市公司股东的净利润为25,618万元至27,270万元，较上年同期的16,527.57万元实现大幅增长。公司预计净利润同比增长幅度在55%至65%之间，显示出强劲的盈利增长势头。这一业绩表现标志着公司在2026年开局即取得显著突破，为全年经营目标的达成奠定了坚实基础。 在核心业务指标方面，燕京啤酒扣除非经常性损益后的净利润预计为25,253万元至26,784万元，上年同期为15,304.97万元。基本每股收益预计将达到0.0909元至0.0968元，同比增幅高达65%至75%，而上年同期为0.0586元/股。这些关键财务数据的显著提升，反映了公司主营业务盈利能力的实质性增强，且增长主要来源于内生动力而非一次性收益。 业绩变动的主要原因在于公司继续延续高效能、高质量发展态势，坚持以价值引领为导向，精准洞察消费者需求并锐意创新。特别是公司加速推进高端化进程，其大单品“燕京U8”继续保持双位数高增速，成为推动整体业绩增长的核心引擎。一季度优异的“开门红”成绩，充分验证了公司战略转型的成功及市场对其高端产品的认可度。",2026-08-16T09:22:23.782388+08:00
gildata,AnnouncementData,燕京啤酒2026年半年度业绩预告,3,公告库,燕京啤酒:2026年一季度报告,0.92,"公告标题：燕京啤酒:2026年一季度报告；
发布时间：2026-04-24；
证券简称：燕京啤酒
原文： 燕京啤酒2026年第一季度实现营业收入40.97亿元，同比增长7.06%；归属于上市公司股东的净利润达2.65亿元，同比大幅增长60.19%，扣非后净利润为2.59亿元，同比增长69.09%，展现出强劲的盈利修复能力。公司核心大单品燕京U8持续领跑市场，保持近30%的高增速，同时高端全麦新品燕京A10于3月底上市，进一步夯实产品优势。 报告期内，公司啤酒销量达到103.99万千升（含托管企业），经营活动产生的现金流量净额为12.75亿元，虽较上年同期略有下降，但仍保持健康水平。总资产增至247.80亿元，同比增长4.35%，归属于上市公司股东的所有者权益增长至157.46亿元，财务结构稳健。 非经常性损益方面，本期合计金额为595.61万元，主要来源于政府补助及金融资产公允价值变动，对净利润影响较小，核心业务盈利能力显著提升。此外，公司在建工程增加37.04%，长期借款增长52.33%，显示公司正加大资本开支以支持产能扩张与战略升级。",2026-08-16T09:22:23.782388+08:00
gildata,AnnouncementData,燕京啤酒2026年半年度业绩预告,4,公告库,燕京啤酒:燕京啤酒投资者关系管理信息（二）,0.91,"公告标题：燕京啤酒:燕京啤酒投资者关系管理信息（二）；
发布时间：2026-05-15；
证券简称：燕京啤酒
原文： 北京燕京啤酒2026年5月15日的投资者关系活动记录显示，公司当前坚持“一核两翼”的发展战略，其中啤酒主业始终是公司核心业务与利润来源。围绕该发展战略，公司从品牌升级、产品结构优化、渠道精耕、运营提效等多个维度持续发力，推动啤酒主业实现高质量发展，同时公司坚持高端化、全国化、数智化发展方向，通过产品升级、渠道优化、品牌焕新与管理提效不断提升核心竞争力与长期投资价值，以稳健经营成果回馈投资者与消费者。 在产品布局方面，燕京啤酒坚持以核心大单品为引领带动全品类发展，统筹大众基础产品、主流畅销产品及区域特色产品协同发展，构建层次清晰、搭配合理的全品类产品矩阵，形成大单品强势赋能、多品类协同联动的韧性发展格局，推动整体运营效率与经营质量稳步提升。 2026年一季度燕京啤酒延续高质量发展态势，各项经营指标均实现稳步增长，报告期内公司含托管企业在内的啤酒销量达103.99万千升，其中核心大单品燕京U8继续保持近30%的高增速；当期实现营业收入409711万元，同比增长7.06%；实现归属于上市公司股东的净利润26475万元，同比大幅增长60.19%，一季度的亮眼“开门红”为全年经营目标的达成奠定了坚实基础。在渠道布局层面，公司正积极推进渠道结构优化升级，一方面通过数字化手段巩固传统渠道优势、提升终端运营效率，另一方面大力拓展电商、即时零售等新兴渠道，强化与大型连锁商超的协同合作，补齐渠道短板，推动各渠道均衡发展。此外公司不断强化总部赋能，构建全国一盘棋的联动机制，通过优化资源配置、降低运营成本驱动盈利提升，持续推进生产、营销等多业务领域变革，实现经营效益、运营效率与发展质量同步提升。",2026-08-16T09:22:23.782388+08:00
gildata,AnnouncementData,燕京啤酒2026年半年度业绩预告,5,公告库,燕京啤酒:燕京啤酒投资者关系管理信息,0.9,"公告标题：燕京啤酒:燕京啤酒投资者关系管理信息；
发布时间：2026-05-29；
证券简称：燕京啤酒
原文：北京燕京啤酒股份有限公司在2026年5月29日的投资者关系活动中披露，公司“十四五”规划圆满收官，主要经济指标已连续五年实现增长，变革驱动增长的成效显著。大单品战略实施有力，产品结构升级成为核心亮点，为后续发展奠定了坚实基础。公司重点推出了全麦旗舰新品燕京A10，该产品于2026年3月上市，依托原料与工艺创新打造“满分口感”，旨在承载强化品牌影响力、加速高端化进程及构建新增长极的战略使命。燕京A10将聚焦中高端餐饮等高价值渠道，致力于打造成为继燕京U8之后的又一全国性标杆单品，推动公司全国化与场景化布局。业绩方面，2026年一季度公司延续高质量发展态势，实现啤酒销量103.99万千升（含托管企业），其中大单品燕京U8继续保持近30%的高增速。报告期内，公司实现营业收入409,711万元，同比增长7.06%；归属于上市公司股东的净利润达到26,475万元，同比大幅增长60.19%，实现了显著的业绩“开门红”。面向未来，“十五五”期间公司将着力构建“一核两翼”业务布局，形成“啤酒+饮料+健康食品”协同增长的发展生态。同时，公司通过强化总部职能、统筹全域协同，以运营效率提高、资源配置优化和运营成本降低来驱动盈利提升，持续深化产品升级、渠道优化与管理提效，不断提升核心竞争力。",2026-08-16T09:22:23.782388+08:00
gildata,AnnouncementData,燕京啤酒2026年半年度业绩预告,6,公告库,燕京啤酒:2025年半年度业绩预告,0.83,"公告标题：燕京啤酒:2025年半年度业绩预告；
发布时间：2025-07-08；
证券简称：燕京啤酒
原文： 北京燕京啤酒股份有限公司发布2025年半年度业绩预告，预计归属于上市公司股东的净利润为106,150万元至113,732万元，较上年同期的75,821.61万元大幅增长40.00%至50.00%。公司扣除非经常性损益后的净利润预计为92,604万元至100,013万元，同比增长25.00%至35.00%，显示出核心业务盈利能力的显著增强。基本每股收益预计达到0.3766元/股至0.4035元/股，较上年同期的0.2690元/股有实质性提升。 业绩大幅增长的主要驱动力在于公司在党建引领下，于首季“开门红”基础上继续保持高效能、高质量发展态势。报告期内，公司以系统性变革为牵引，构建了多维度的价值创造体系，通过深耕九大变革措施，形成了显著的协同效应，使得管理效能持续提升，市场活力不断增强。这一系列举措有效推动了公司整体经营业绩的跃升。 本次预告数据仅为财务部门初步核算结果，未经会计师事务所审计，具体详细数据将在2025年半年度报告中披露。公司与会计师事务所在沟通中未存在重大分歧，数据可靠性较高。投资者在参考该业绩预告时，应关注后续正式报告的详细财务指标及风险提示，谨慎做出投资决策。",2026-08-16T09:22:23.782388+08:00
gildata,AnnouncementData,燕京啤酒2026年半年度业绩预告,7,公告库,燕京啤酒:燕京啤酒投资者关系管理信息,0.83,"公告标题：燕京啤酒:燕京啤酒投资者关系管理信息；
发布时间：2026-05-08；
证券简称：燕京啤酒
原文： 燕京啤酒在2025年实现了营收与利润的历史性突破，净利润表现亮眼，主要得益于产品结构的持续优化、优势市场的不断拓展以及成本管控的精准有效。公司扎实推进大单品战略，其中核心单品燕京U8在2025年销量达到90万千升，同比增长29.31%，增量达20.1万千升，不仅巩固了市场地位，更为提升整体盈利水平提供了强有力的战略保障。 面向未来，公司确立了“一核两翼”的业务布局，即构建“啤酒+饮料+健康食品”协同增长的发展生态。2026年作为“十五五”开局之年，公司重磅推出了全新全麦旗舰新品燕京A10，旨在通过高端化、全国化及场景化策略，重点覆盖中高端餐饮等高价值渠道，将其打造为继U8之后的又一全国性标杆单品，以加速品牌高端化进程并构建新的增长极。 在行业竞争方面，面对存量提质与结构升级的新阶段，燕京啤酒坚持深化大单品战略与多元化经营并举，一方面持续优化产品结构，稳步提升中高端产品营收与毛利占比；另一方面全面推进精益管理与数智化转型，常态化落实降本增效，同时积极布局新兴渠道如即时零售，以对冲行业周期波动，确保业绩增长的稳定性与可持续性，致力于实现规模与效益的同步提升。",2026-08-16T09:22:23.782388+08:00
gildata,AnnouncementData,燕京啤酒2026年半年度业绩预告,8,公告库,燕京啤酒:燕京啤酒投资者关系管理信息（一）,0.81,"公告标题：燕京啤酒:燕京啤酒投资者关系管理信息（一）；
发布时间：2025-07-08；
证券简称：燕京啤酒
原文： 2025年上半年，燕京啤酒在党建引领下继续保持高效能、高质量发展态势，预计实现归属于上市公司股东的净利润为106",2026-08-16T09:22:23.782388+08:00
gildata,AnnouncementData,燕京啤酒2026年半年度业绩预告,9,公告库,燕京啤酒:燕京啤酒投资者关系管理信息,0.78,"公告标题：燕京啤酒:燕京啤酒投资者关系管理信息；
发布时间：2026-07-16；
证券简称：燕京啤酒
原文： 北京燕京啤酒股份有限公司于2026年7月16日开展特定对象调研投资者关系活动，共81家机构100人、7名个人投资者参与，公司董事长、总经理等核心高管参与接待，本次活动介绍了公司高管分工、公司概况，并就投资者关心的战略规划、行业趋势、业务布局等核心问题作出回应。公司“十五五”规划以“二次创业、复兴燕京”为主线，确立“卓越、新质、数智、绿色、融合”五大发展目标，将构建“一核两翼”业务格局，以啤酒为核心，以饮料和健康食品为两翼，打造协同增长体系，啤酒主业将继续深化大单品战略，重点聚焦燕京U8、燕京A10等核心产品。 燕京啤酒判断，当前啤酒行业已从规模扩张进入存量提质、结构升级和渠道重构阶段，整体呈现“量稳质升”格局，未来行业竞争转向综合能力竞争，高端化趋势中长期仍具备延续基础，短期消费波动仅会影响推进节奏，消费者对高品质、差异化产品的需求仍在持续提升。燕京U8作为公司核心大单品，五年时间销量从10万千升提升至90万千升，年复合增长率超过50%，2026年一季度仍保持近30%的高增速，目前仍处于规模化放量阶段，远未触及增长天花板，公司将通过“百城百县”工程继续推进全国化布局，提升市场渗透率。 燕京A10是公司推出的高端全麦淡色拉格啤酒，当前市场反馈积极，渠道认可其对产品结构的补充作用，公司计划将其打造为继U8之后又一全国性标杆高端单品。公司已构建以全国大单品为引领、覆盖多场景多需求的层次清晰的全品类产品矩阵，未来将持续丰富创新品类，推进产品高端化升级。渠道层面，公司以“全渠道融合+区域深耕”为核心策略，实施“双百工程”推进梯度开发，在巩固传统渠道优势的同时大力拓展电商、即时零售等新兴渠道，推动各渠道协同增效。 管理端公司坚持开源增收与节流降本并举，在采购、生产等全环节推行精细化管理，通过多项举措缓释原料包材价格波动冲击，依托卓越管理体系和数字化建设压降综合成本，提升投入产出效率。股东回报方面，公司2025年度首次实施“双分红”，全年累计现金分红8.46亿元，上市以来累计现金分红已近48亿元，获评2025年上市公司现金分红榜单，未来将持续构建稳定透明可预期的股东回报机制，维护全体股东权益。",2026-08-16T09:22:23.782388+08:00
gildata,AnnouncementData,燕京啤酒2026年半年度业绩预告,10,公告库,燕京啤酒:2026年度日常关联交易预计公告,0.77,"公告标题：燕京啤酒:2026年度日常关联交易预计公告；
发布时间：2026-04-15；
证券简称：燕京啤酒
原文：北京燕京啤酒股份有限公司预计2026年度日常关联交易总金额合计为64,395.03万元，较2025年度实际发生的70,354.85万元有所下降。该预测基于对2025年度执行情况的分析，主要涵盖接受关联方综合服务、从关联方购买商品、向关联方销售商品及受托经营等四类业务，且无需提交股东会审议，已由董事会全票通过。
在采购方面，公司向关联人采购产品、商品及原材料的预计金额为47,557.01万元，其中向燕京啤酒（曲阜三孔）有限责任公司采购啤酒及原材料的金额高达41,375.64万元，占采购总额的绝大部分。同时，公司接受关联方综合服务的预计金额为12,269.02万元，主要是向北京燕京啤酒集团有限公司支付商标使用费及租赁房屋、土地的费用，其中商标使用费预计达8,411.91万元。
在销售和受托经营方面，公司向关联人销售产品、商品及原材料的预计金额为4,469.00万元，主要为向曲阜三孔和燕达皇冠盖销售原材料；此外，公司对燕京啤酒（莱州）有限公司及燕京啤酒（曲阜三孔）有限责任公司进行受托经营，每年收取托管费用共计100.00万元。所有交易均遵循市场定价原则，独立董事及审计委员会均认为交易公允合理，未损害公司及股东利益，不会影响公司独立性。
根据协议细节，公司使用“燕京”系列商标需按年销售收入1%或每瓶0.01元标准付费；房屋租赁年租金为2,680.02万元，部分土地租赁年租金为298.96万元。尽管部分关联公司如燕京啤酒（莱州）有限公司净资产为负，但公告指出其生产经营正常，具备良好的履约能力，日常交易不存在重大不确定性。",2026-08-16T09:22:23.782388+08:00
