vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,AnnouncementData,中炬高新、洽洽食品、莲花控股2026年半年度业绩预告 业绩变动原因,1,公告库,中炬高新:中炬高新2026年半年度业绩预增公告,0.95,"公告标题：中炬高新:中炬高新2026年半年度业绩预增公告；
发布时间：2026-07-01；
证券简称：中炬高新
原文：中炬高新2026年半年度业绩预增公告显示，公司预计2026年1-6月实现归属于母公司所有者的净利润约3.90亿元到4.30亿元，较上年同期同比增长51.84%到67.41%；预计扣除非经常性损益的净利润约3.20亿元到3.80亿元，同比增长21.71%到44.53%，本次业绩预告未经注册会计师审计。上年同期中炬高新归属于母公司所有者的净利润为2.57亿元，扣除非经常性损益的净利润为2.63亿元，本次业绩预增的核心驱动因素包括调味品业务收入持续放量、供应链优化叠加规模效应推动毛利率改善、费用管控精细化带动费用率下行，三重因素共同推动盈利水平提升。",2026-08-16T09:24:33.007798+08:00
gildata,AnnouncementData,中炬高新、洽洽食品、莲花控股2026年半年度业绩预告 业绩变动原因,2,公告库,中炬高新:《中炬高新重大信息内部报告制度》（2026年4月修订）,0.72,"公告标题：中炬高新:《中炬高新重大信息内部报告制度》（2026年4月修订）；
发布时间：2026-04-18；
证券简称：中炬高新
原文： 中炬高新技术实业（集团）股份有限公司于2026年4月修订了《重大信息内部报告制度》，旨在加强公司内部重大信息的快速传递与有效管理，确保信息披露的及时、真实、准确和完整，切实保护公司及股东权益。该制度明确了董事会秘书为信息披露的直接责任人，公司高级管理人员及各部门负责人为信息报告义务的第一责任人，确立了严格的保密义务与责任追究机制。 制度详细界定了重大信息的报告范围，涵盖重大交易、关联交易、重大诉讼仲裁及其他重大事项。其中，重大交易达到总资产或净资产10%以上、或绝对金额超过特定阈值（如净利润10%且超100万元）时，必须在发生当日报告；提供担保无论金额大小均需履行报告义务。对于关联交易，与关联自然人交易金额超30万元、或与关联法人交易金额超300万元且占净资产0.5%以上时，需当日报告。 此外，制度还规定了业绩变动的报告标准，包括净利润为负、盈利变动超50%、扭亏为盈等情形，以及涉及公司解散、主要资产被查封冻结、高管涉嫌犯罪被采取强制措施等重大风险事件。所有报告事项需以书面形式提交至董事会秘书，并建立跨部门协作流程，确保信息流转高效合规。",2026-08-16T09:24:33.007798+08:00
gildata,AnnouncementData,中炬高新、洽洽食品、莲花控股2026年半年度业绩预告 业绩变动原因,3,公告库,中炬高新:中炬高新2026年第二次临时股东会会议资料,0.71,"公告标题：中炬高新:中炬高新2026年第二次临时股东会会议资料；
发布时间：2026-06-23；
证券简称：中炬高新
原文：中炬高新2026年第二次临时股东会将于6月29日14点30分在广东省中山市火炬开发区厨邦路1号广东美味鲜调味食品有限公司综合楼904会议厅召开，会议议程包括主持开场、选举计票监票员、审议终止2024年限制性股票激励计划暨回购注销议案、表决及宣读结果等环节。公司因两方面原因需回购注销限制性股票：一是5名激励对象离职，其中4人主动离职、1人协商解除劳动合同，对应合计188176股股票，回购价格按规定调整；二是公司前两个考核期业绩未达成，预计无法完成剩余考核目标，拟终止激励计划并回购注销213名激励对象的3117416股股票，同时回购价格需扣减2024年、2025年年度分红合计0.87元/股，最终合计回购注销3305592股限制性股票。本次终止激励计划符合相关法律法规及公司制度规定，将导致公司总股本减少3305592股，股份支付费用影响以审计报告为准，不会对公司日常经营和未来发展产生重大影响。后续公司将在注销手续完成后三个月内不再审议股权激励计划，并将优化薪酬与考核体系完善长效激励机制。",2026-08-16T09:24:33.007798+08:00
gildata,AnnouncementData,中炬高新、洽洽食品、莲花控股2026年半年度业绩预告 业绩变动原因,4,公告库,中炬高新:中炬高新2026年度“提质增效重回报”行动方案,0.71,"公告标题：中炬高新:中炬高新2026年度“提质增效重回报”行动方案；
发布时间：2026-06-12；
证券简称：中炬高新
原文： 中炬高新技术实业（集团）股份有限公司发布2026年度“提质增效重回报”行动方案，该方案已经公司董事会审议通过，核心目标为聚焦主业发展、推动公司业绩增长与价值回归。在主业经营层面，公司明确聚焦健康食品主业，2026年以“增长”为核心开展各项工作：营销端推进营销体系数字化转型升级，聚焦餐饮渠道拓展，布局复合调味品新赛道，优化线上业务并启动品牌焕新；投资端在内生发展基础上推进外延拓展，2026年初已启动对四川味滋美食品的战略并购，正式切入复合调味品赛道，后续将继续围绕补短板、优布局择机开展相关领域并购，完善“1+N”产品矩阵，培育新业绩增长点。 在股东回报层面，公司坚持稳定高比例现金分红政策，2025年第一大股东完成增持公司2.92%股份，累计增持近4亿元，截至2026年5月公司回购已完成超2.7亿元，2025年现金分红总额3.45亿元，占净利润比率达64.20%，近三年累计现金分红9.79亿元，分红比例高达102.52%。2026年公司将打造“分红+回购”双轮驱动回报格局，力争提升分红比例，加快推进回购注销，择机推出中期或特别分红，同时加强沟通提升分红政策透明度。 在发展动能培育层面，公司2026年将深化创新驱动，一方面聚焦核心技术攻关，深化与高校院所产学研合作，构建核心菌种库，推动从原料依赖向技术驱动转型；另一方面明确数字化转型路线图，将打通全链路数据，推进生产环节智能化改造，部署智能质检系统，深化智能仓储物流应用，逐步推广数字化技术落地，全方位提升生产经营效率与产品品质。",2026-08-16T09:24:33.007798+08:00
gildata,AnnouncementData,中炬高新、洽洽食品、莲花控股2026年半年度业绩预告 业绩变动原因,5,公告库,中炬高新:中炬高新2025年年度股东会会议资料,0.69,"公告标题：中炬高新:中炬高新2025年年度股东会会议资料；
发布时间：2026-05-13；
证券简称：中炬高新
原文： 中炬高新2025年度经营业绩显著下滑，实现营业收入42.00亿元，同比减少23.90%；归母净利润5.37亿元，扣非后净利润同比减少20.08%。经营活动现金流量净额6.43亿元，同比大幅下降40.88%，显示主营业务回款及现金流压力加剧。每股收益0.7003元，加权平均净资产收益率降至9.40%，整体盈利能力指标全面走弱。 为回报股东，公司拟实施差异化现金分红方案，以扣除库存股后的流通股为基数，每10股派发现金红利4.5元（含税），预计分配总额约3.45亿元，占归属母公司净利润的64.20%。同时，公司拟续聘天职国际会计师事务所担任2026年度审计机构，审计费用上限调整为不超过150万元。 针对日常关联交易，公司预计2026年度与控股股东及相关方交易总额为1.84亿元，主要用于采购包装物、接受服务及物业出租等。该金额较2025年实际发生额有所回升，但定价严格遵循市场公允原则，旨在确保不损害公司及中小股东利益。 依据新《公司法》，公司拟修订《分红管理制度》，核心包括明确公积金补亏规定、细化差异化分红政策及新增中期分红审议程序，并将监事会监督职能移交审计委员会，以强化决策规范性。",2026-08-16T09:24:33.007798+08:00
gildata,AnnouncementData,中炬高新、洽洽食品、莲花控股2026年半年度业绩预告 业绩变动原因,6,公告库,中炬高新:中炬高新2026年第一季度报告,0.67,"公告标题：中炬高新:中炬高新2026年第一季度报告；
发布时间：2026-04-18；
证券简称：中炬高新
原文： 中炬高新2026年第一季度报告显示，公司实现营业收入13.20亿元，同比增长19.88%；归属于上市公司股东的净利润达2.63亿元，同比大幅增长45.11%，扣非后净利润为2.39亿元，同比增长32.49%。经营活动产生的现金流量净额为3.44亿元，同比激增192.16%，主要得益于销售收款增加及毛利率持续改善。 从业务板块看，核心子公司美味鲜公司贡献显著，其一季度营业收入达12.40亿元，同比增长14.60%，主要受酱油、食用油及鸡精粉销量增长驱动；该板块归属母公司净利润达2.37亿元，同比增长34.27%。此外，公司总部本期实现净利润2,139万元，主要受益于征地业务收益及理财公允价值变动收益的综合影响。 截至报告期末，公司资产总计85.20亿元，较上年度末增长5.67%；归属于上市公司股东的所有者权益为59.41亿元，同比增长1.94%。在股东结构方面，中山火炬集团有限公司作为第一大股东，持股比例为14.01%，且与中山火炬公有资产经营集团有限公司等构成一致行动人关系，合计持股优势明显，股权结构稳定。",2026-08-16T09:24:33.007798+08:00
gildata,AnnouncementData,中炬高新、洽洽食品、莲花控股2026年半年度业绩预告 业绩变动原因,7,公告库,中炬高新:中炬高新关于终止实施2024年限制性股票激励计划暨回购注销限制性股票的公告,0.67,"公告标题：中炬高新:中炬高新关于终止实施2024年限制性股票激励计划暨回购注销限制性股票的公告；
发布时间：2026-06-12；
证券简称：中炬高新
原文： 中炬高新于2026年6月11日召开董事会，审议通过终止实施2024年限制性股票激励计划并回购注销3,305,592股限制性股票的议案。此次调整主要源于外部宏观环境复杂严峻及行业竞争格局重构，导致公司前两个考核期的业绩目标均未达成，且预计无法完成剩余考核期的高要求目标。 本次拟回购注销的股票包括因5名激励对象离职不再符合资格而需注销的188,176股（其中4人主动离职、1人协商解除），以及因计划整体终止需回购注销的213名激励对象持有的3,117,416股。回购价格将根据不同情形分别按授予价格与市价孰低值、或授予价格加利息执行，并统一扣减已发放的2024年度0.42元/股及2025年度0.45元/股的分红，合计每股扣减0.87元。 回购注销完成后，中炬高新的总股本将由774,293,542股减少至770,987,950股，有限售条件股份将全部消除。该事项尚需提交公司股东会审议，通过后将于2026年6月12日完成注销登记。公司表示终止激励计划不会损害股东利益，后续将通过优化薪酬体系继续绑定核心团队利益，促进公司健康发展。",2026-08-16T09:24:33.007798+08:00
gildata,AnnouncementData,中炬高新、洽洽食品、莲花控股2026年半年度业绩预告 业绩变动原因,8,公告库,中炬高新:中炬高新关于2024年限制性股票激励计划第二个解锁期解锁条件未达成暨回购注销2024年部分限制性股票的公告,0.61,"公告标题：中炬高新:中炬高新关于2024年限制性股票激励计划第二个解锁期解锁条件未达成暨回购注销2024年部分限制性股票的公告；
发布时间：2026-04-18；
证券简称：中炬高新
原文： 中炬高新于2026年4月16日召开董事会，审议通过议案决定回购注销2024年限制性股票激励计划第二个解锁期未达标的共计3,771,754股限制性股票。本次回购注销主要基于两方面原因：一是部分激励对象因离职、违规或协商解除劳动合同不再符合激励条件；二是公司层面业绩考核未达标，导致所有激励对象当期股票无法解除限售。 具体而言，共有7名激励对象因个人原因主动离职、违反规章制度被辞退或与协商一致解除合同而触发回购条款，涉及股份466,162股。其中2人因单方面终止合同按授予价与市价孰低值回购，5人按授予价回购。此外，因公司2025年度财务数据未达到第二期业绩考核目标，其余218名激励对象的3,305,592股限制性股票亦需按授予价格加银行同期存款利息进行回购注销。 在回购价格调整方面，鉴于公司已实施2024年度分红0.42元/股，根据激励计划规定，所有拟回购股票的最终价格均需在原计算基础上扣减该分红金额。本次回购注销完成后，公司总股本将由778,509,228股减少至774,293,542股，有限售条件股份数量相应由7,521,278股调整为3,305,592股。 此次事件反映出中炬高新在2025年度的经营业绩未能满足股权激励计划设定的增长目标，且核心人才团队出现一定流失。董事会已全票通过相关议案，待完成后续注销手续后，将正式更新公司股本结构。",2026-08-16T09:24:33.007798+08:00
gildata,AnnouncementData,中炬高新、洽洽食品、莲花控股2026年半年度业绩预告 业绩变动原因,9,公告库,中炬高新:中炬高新2024年年度业绩预减公告,0.61,"公告标题：中炬高新:中炬高新2024年年度业绩预减公告；
发布时间：2025-01-24；
证券简称：中炬高新
原文：  中炬高新技术实业（集团）股份有限公司发布2024年年度业绩预减公告，公司董事会对公告内容的真实性、准确性和完整性承担相应法律责任。本次业绩预告属于盈利且净利润同比下降50%以上的情形，经财务部门初步测算，预计2024年全年实现归属于上市公司股东的净利润区间为6.79亿元到10.18亿元，相较上年同期减少6.79亿元到10.18亿元，减幅约为40%到60%。同时，预计2024年归属于上市公司股东的扣除非经常性损益的净利润区间为6.29亿元到7.34亿元，相较上年同期增加1.05亿元到2.10亿元，同比增幅约为20%到40%。  中炬高新2023年净利润基数较高，原因是当年公司与中山火炬工业联合有限公司的三起建设用地使用权转让合同纠纷案中，冲回计提预计负债11.78亿元，最终2023年全年归属于上市公司股东的净利润为16.97亿元，对应每股收益2.2010元，2023年扣除非经常性损益的净利润为5.24亿元。本次2024年预减主要源于非经营性损益变动：2024年上述三起诉讼已达成和解并完结，本期不存在2023年的非经常性收益，因此归母净利润同比下降。而扣非净利润实现同比增长，主要得益于原材料采购单价下降叠加公司推进精细化管理实现降本增效。本次预告数据为初步测算结果，未经审计，准确数据以公司正式披露的2024年年度报告为准，不存在影响预告准确性的重大不确定因素，公司提示投资者注意投资风险。",2026-08-16T09:24:33.007798+08:00
gildata,AnnouncementData,中炬高新、洽洽食品、莲花控股2026年半年度业绩预告 业绩变动原因,10,公告库,中炬高新:中炬高新关于召开2025年年度暨2026年第一季度业绩说明会的公告,0.6,"公告标题：中炬高新:中炬高新关于召开2025年年度暨2026年第一季度业绩说明会的公告；
发布时间：2026-05-26；
证券简称：中炬高新
原文：  中炬高新技术实业（集团）股份有限公司已发布2025年年度报告与2026年第一季度报告，为方便投资者全面深入了解公司上述报告期内的经营成果与财务状况，公司计划召开2025年年度暨2026年第一季度业绩说明会，就投资者普遍关心的问题进行沟通交流。本次公告由公司董事会发布，董事会及全体董事保证公告内容不存在虚假记载、误导性陈述或者重大遗漏，承诺对公告内容的真实性、准确性和完整性承担相应法律责任。  本次业绩说明会的召开时间为2026年6月2日（星期二）10:00-11:00，召开地点为上海证券交易所上证路演中心，召开方式采用视频录播加网络互动的形式；参会人员涵盖公司董事长、副董事长、独立董事、总经理、董事兼常务副总经理及财务负责人、董事会秘书等核心管理层，能够全面回应投资者关于公司经营、财务、战略等多方面的疑问。投资者可通过两种方式参与互动，一是在说明会召开当日直接登录上证路演中心在线参与提问，二是在2026年5月26日至6月1日16:00前，通过上证路演中心首页的“提问预征集”栏目提前向公司提问，公司会在说明会上集中回答投资者普遍关注的问题。本次业绩说明会召开后，投资者还可以通过上证路演中心查看本次说明会的召开情况与主要内容。",2026-08-16T09:24:33.007798+08:00
