vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,AnnouncementData,2026年半年报业绩预告中提到在手订单充足、订单饱满、订单大幅增长的A股公司公告,1,公告库,鸿仕达:2026年半年度业绩预告公告,0.95,"公告标题：鸿仕达:2026年半年度业绩预告公告；
发布时间：2026-07-14；
证券简称：鸿仕达
原文： 昆山鸿仕达智能科技股份有限公司发布2026年半年度业绩预告，报告期为2026年1月1日至6月30日，预计归属于上市公司股东的净利润为2200.00~2600.00万元，上年同期为554.51万元，变动比例区间为296.75%~368.88%，业绩实现大幅增长。 业绩增长主要源于两方面因素，一是下游消费电子行业回暖、全球半导体产业高景气周期延续，先进封装及AI算力配套设备需求释放，公司在手订单储备充沛，营业收入显著增长；二是公司持续深耕高附加值半导体设备赛道，AI高端服务器集群自动化设备、先进封装设备订单放量，高毛利产品营收占比提升，带动综合毛利率改善，增厚公司盈利。 本次披露的财务数据为初步核算数据，未经会计师事务所审计，具体数据以正式半年度报告为准，投资者需注意投资风险。",2026-08-15T21:22:56.570921+08:00
gildata,AnnouncementData,2026年半年报业绩预告中提到在手订单充足、订单饱满、订单大幅增长的A股公司公告,2,公告库,中国船舶:中国船舶工业股份有限公司2026年半年度业绩预增公告,0.93,"公告标题：中国船舶:中国船舶工业股份有限公司2026年半年度业绩预增公告；
发布时间：2026-07-14；
证券简称：中国船舶
原文：中国船舶工业股份有限公司发布2026年半年度业绩预增公告，预计2026年半年度实现归属于母公司所有者的净利润920,000万元至1,100,000万元，同比增幅达212.29%至273.39%，扣非净利润区间为900,000万元至1,080,000万元，同比增幅同样达到211.34%至273.61%。本次业绩预告数据未经注册会计师审计，上年同期归属于母公司所有者的净利润为294,598万元，扣非净利润为289,069万元，经同一控制下企业合并追溯调整后，2025年半年度对应净利润为377,730万元，扣非净利润保持289,069万元。本次业绩大幅预增主要源于公司手持订单充足、生产任务饱满，依托成熟建造体系实现批量化节拍化生产，同时聚焦主责主业优化订单结构，交付民船数量、中高端船型占比及单船平均价格同比提升，叠加精益管理与成本管控强化，推动经营业绩稳步增长。",2026-08-15T21:22:56.570921+08:00
gildata,AnnouncementData,2026年半年报业绩预告中提到在手订单充足、订单饱满、订单大幅增长的A股公司公告,3,公告库,鸿仕达:2026年半年度业绩预告公告,0.92,"公告标题：鸿仕达:2026年半年度业绩预告公告；
发布时间：2026-07-14；
证券简称：鸿仕达
原文：昆山鸿仕达智能科技股份有限公司2026 年半年度业绩预告公告
本公司及董事会全体成员保证公告内容的真实、准确和完整，没有虚假记载、误导性陈述或者重大遗漏，并对其内容的真实性、准确性和完整性承担个别及连带法律责任。
特别提示：本公告所载 2026 年半年度主要财务数据为初步核算数据，未经会计师事务所审计，具体数据以公司 2026 年半年度报告中披露的数据为准，提请投资者注意投资风险
一、本期业绩预告情况
(一)业绩预告期间 
2026 年 1 月 1 日至 2026 年 6 月 30 日。
(二)业绩预告情况 
单位：万元
| 项目 | 本报告期 | 上年同期 | 变动比例% |
| --- | --- | --- | --- |
|  | 2,200.00~2,600.00 | 554.51 | 296.75%~368.88% |
二、本期业绩重大变化的主要原因
1、在手订单储备充沛，营业收入显著增长
报告期内，消费电子行业逐步回暖，同时全球半导体产业高景气周期延续，下游先进封装、AI 算力配套设备市场需求持续释放，带动公司相关设备订单需求增长。依托市场需求扩张与客户持续拓展，公司本期在手订单储备充足，各产品线交付有序推进，公司整体营业收入稳步增长，有力支撑公司盈利水平提升。",2026-08-15T21:22:56.570921+08:00
gildata,AnnouncementData,2026年半年报业绩预告中提到在手订单充足、订单饱满、订单大幅增长的A股公司公告,4,公告库,天津普林:2026年半年度业绩预告,0.91,"公告标题：天津普林:2026年半年度业绩预告；
发布时间：2026-07-09；
证券简称：天津普林
原文： 天津普林2026年半年度业绩预告显示，公司预计报告期内归属于上市公司股东的净利润为3600万元－5200万元，较上年同期的672.09万元实现大幅增长，扣除非经常性损益后的净利润为3300万元－4900万元，同比增长365.05%-590.53%，基本每股收益为0.15元/股-0.21元/股，较上年同期的0.03元/股显著提升。 本次业绩预告相关数据为公司财务部门初步核算结果，尚未经会计师事务所审计，具体财务数据将在2026年半年度报告中详细披露。 公司业绩大幅增长主要得益于经营态势持续向好，在手订单充足为业绩增长提供支撑，同时泰和电路科技（珠海）有限公司产能稳步释放，营业收入、净利润较上年同期均实现大幅增长，此外公司通过深化精益生产、加强成本管控等内部经营管理优化举措，全面提升运营效率与治理水平，推动整体盈利能力与资产质量稳步改善。",2026-08-15T21:22:56.570921+08:00
gildata,AnnouncementData,2026年半年报业绩预告中提到在手订单充足、订单饱满、订单大幅增长的A股公司公告,5,公告库,优利德:2026年半年度业绩预告的自愿性披露公告,0.98,"公告标题：优利德:2026年半年度业绩预告的自愿性披露公告；
发布时间：2026-07-23；
证券简称：优利德
原文：（二）每股收益：0.89 元。（三）营业收入：61,741.95 万元
三、本期业绩变化的主要原因
（一）报告期内，公司海外市场的主营收入为47,081.09 万元左右，同比增幅 51.11%左右。得益于公司北美区域业务订单饱满，叠加越南生产基地进入批量交付阶段，公司海外营业收入大幅增长。在产能利用率维持高位的规模效应驱动下，公司盈利能力同步得到提升。
（二）报告期内，公司深化“高端化、专业化、国际化”发展战略，通用仪表、专业仪表、温度与环境测试仪表、测试仪器产品线在多个下游领域持续进行业务拓展，各产品线均取得良好增长，毛利率由去年同期的42.70%提升至45.41%左右，从而带动公司整体营业收入实现增长。
四、风险提示
公司本次业绩预告是财务部门基于自身专业判断进行初步核算，未经注册会计师审计。截至本公告披露日，公司尚未发现影响本次业绩预告内容准确性的重大不确定因素。
五、其他说明事项
本公告所载 2026 年半年度主要财务数据为初步核算数据，具体数据以公司2026 年半年度报告中披露的数据为准，敬请广大投资者注意投资风险。
特此公告。
优利德科技（中国）股份有限公司董事会2026 年 7 月 23 日",2026-08-15T21:22:56.570921+08:00
gildata,AnnouncementData,2026年半年报业绩预告中提到在手订单充足、订单饱满、订单大幅增长的A股公司公告,6,公告库,科创新材:2026年半年度业绩预告公告,0.98,"公告标题：科创新材:2026年半年度业绩预告公告；
发布时间：2026-07-23；
证券简称：科创新材
原文： 洛阳科创新材料股份有限公司发布2026年半年度业绩预告，业绩预告期间为2026年1月1日至2026年6月30日，本次预告的主要财务数据为初步核算数据，未经会计师事务所审计，具体数据需以公司后续披露的2026年半年度报告为准，提请投资者注意相关投资风险。 本次业绩预告显示，公司2026年半年度归属于上市公司股东的净利润预计区间为1400万元至1600万元，上年同期该数据为702.63万元，同比变动比例预计为99.25%至127.72%，净利润预计实现接近一倍至一倍以上的大幅增长，业绩提升幅度十分显著。 公司本次业绩大幅增长的核心原因来自碳化硅复合材料业务的突破：该产品生产线已全面转入规模化量产阶段，有效产能逐步释放，公司已经具备大批量、稳定供货的能力，带动客户订单显著增加，推动销售收入实现同比增长；同时，随着产量大幅提升、产能利用率显著提高，生产环节的固定制造费用得到有效摊薄，单位产品生产成本明显下降，带动产品毛利率同比提升，双重因素共同推动公司净利润实现较大幅度增长。 公司董事会全体成员保证本次公告内容真实、准确、完整，不存在虚假记载、误导性陈述或者重大遗漏，并对公告内容的真实性、准确性和完整性承担个别及连带法律责任。",2026-08-15T21:22:56.570921+08:00
gildata,AnnouncementData,2026年半年报业绩预告中提到在手订单充足、订单饱满、订单大幅增长的A股公司公告,7,公告库,苏大维格:2026年半年度业绩预告,0.98,"公告标题：苏大维格:2026年半年度业绩预告；
发布时间：2026-07-20；
证券简称：苏大维格
原文： 苏州苏大维格科技集团股份有限公司发布2026年半年度业绩预告，业绩预告区间为2026年1月1日至2026年6月30日，预计公司业绩为净利润正值且同向上升。其中归属于上市公司股东的净利润预计盈利4850万元-6305万元，较上年同期增长58.18%-105.63%；扣除非经常性损益后的净利润预计盈利4150万元-5555万元，较上年同期增长220.05%-328.41%，本次预告相关数据为公司财务部门初步测算结果，未经会计师事务所审计。 本次业绩变动主要受多因素共同影响：其一，报告期初公司将常州维普半导体设备有限公司纳入合并报表范围，2026年上半年该公司订单规模持续增长，国内及海外头部客户订单逐步开始验收，带动收入规模快速增长，净利润同比扭亏并实现大幅增长，显著增强了苏大维格整体盈利能力。其二，报告期内受季节性及下游需求影响，公司3D光学印材收入规模有所下降，但消费电子和汽车领域盈利能力有所增强，综合来看微纳光学板块整体归母利润水平同比变动不大。其三，反光材料业务子公司常州华日升反光材料有限公司受行业需求、市场竞争等因素影响，亏损幅度同比大幅增加。此外，受政府补助及华日升部分营业外收入变动影响，公司非经常性损益同比大幅减少，因此扣除非经常性损益后的归母净利润增速远高于归母净利润整体增速。",2026-08-15T21:22:56.570921+08:00
gildata,AnnouncementData,2026年半年报业绩预告中提到在手订单充足、订单饱满、订单大幅增长的A股公司公告,8,公告库,宏英智能:2026年半年度业绩预告,0.98,"公告标题：宏英智能:2026年半年度业绩预告；
发布时间：2026-07-15；
证券简称：宏英智能
原文： 上海宏英智能科技股份有限公司发布2026年半年度业绩预告，预告期间为2026年1月1日至2026年6月30日，本次业绩预计属于净利润为正值的同向上升情形。根据预告数据，公司归属于上市公司股东的净利润预计区间为4000万元至5000万元，较上年同期的1533.08万元增长160.91%至226.14%；扣除非经常性损益后的净利润预计区间为3600万元至4600万元，较上年同期的1359.73万元增长164.76%至238.30%；基本每股收益预计区间为0.35元/股至0.50元/股，上年同期基本每股收益为0.15元/股。需要注意的是，本次业绩预告相关数据为公司财务部门初步测算结果，未经会计师事务所审计。 本次业绩大幅增长的核心驱动因素为，报告期内公司智能控制板块与新能源板块经营态势稳步向好，市场拓展取得了较为显著的成效，订单规模较上年同期实现大幅提升，两大板块共同拉动公司整体利润水平增长。本次业绩预告同时提示了投资风险，明确具体财务数据需要以公司后续正式披露的2026年半年度报告为准，提醒广大投资者谨慎决策，注意投资风险。",2026-08-15T21:22:56.570921+08:00
gildata,AnnouncementData,2026年半年报业绩预告中提到在手订单充足、订单饱满、订单大幅增长的A股公司公告,9,公告库,高斯贝尔:2026年半年度业绩预告,0.98,"公告标题：高斯贝尔:2026年半年度业绩预告；
发布时间：2026-07-14；
证券简称：高斯贝尔
原文：高斯贝尔2026年半年度业绩预告显示，公司预计2026年1-6月归属于上市公司股东的净利润为-750万元至-500万元，较上年同期的-3091.02万元实现大幅减亏；扣除非经常性损益后的净利润预计为-950万元至-700万元，上年同期为-3355.91万元，基本每股收益预计为-0.0449元/股至-0.0299元/股，上年同期为-0.1849元/股。本次业绩预告未经会计师事务所审计，具体财务数据将在2026年半年度报告中正式披露。本次业绩大幅减亏主要有两大核心原因：一是核心产品订单增长带来规模效应，二是核心产品技术成熟、生产工艺稳定，公司通过完善供应链管理体系提升生产运营效率、压降生产成本，整体盈利能力持续修复。",2026-08-15T21:22:56.570921+08:00
gildata,AnnouncementData,2026年半年报业绩预告中提到在手订单充足、订单饱满、订单大幅增长的A股公司公告,10,公告库,优利德:2026年半年度业绩预告的自愿性披露公告,0.97,"公告标题：优利德:2026年半年度业绩预告的自愿性披露公告；
发布时间：2026-07-23；
证券简称：优利德
原文：优利德科技（中国）股份有限公司发布2026年半年度业绩预告，预计2026年1-6月实现营业收入81511.11万元左右，同比增长32.02%；归属于母公司所有者的净利润13998.09万元左右，同比增长42.82%；扣除非经常性损益的净利润13840.86万元左右，同比增长48.63%。上年同期公司营业收入为61741.95万元，归属于母公司所有者的净利润为9800.91万元，扣非净利润为9312.41万元。本次业绩增长主要源于两方面因素，其一海外市场主营收入约47081.09万元，同比增幅达51.11%，受益于北美区域订单饱满及越南生产基地批量交付，海外营收大幅增长，叠加产能高位运行带来的规模效应推动盈利能力提升；其二公司深化“高端化、专业化、国际化”战略，通用仪表、专业仪表等多条产品线在多下游领域拓展顺利，整体毛利率从去年同期的42.70%提升至45.41%左右，带动营收增长。本次业绩预告为财务部门初步核算数据，未经注册会计师审计，最终数据以公司2026年半年度正式报告为准，同时公司提示本次预告不存在影响准确性的重大不确定因素，但仍提醒投资者注意投资风险。",2026-08-15T21:22:56.570921+08:00
