vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,NewsDataQuery,巴比食品 2026年 股价下跌 减持 利空 经营,1,资讯舆情库,巴比食品诉上海海之缘贸易有限公司买卖合同纠纷案2026年9月29日在上海市松江区人民法院开庭,0.59,"报告标题：巴比食品诉上海海之缘贸易有限公司买卖合同纠纷案2026年9月29日在上海市松江区人民法院开庭；
撰写时间：2026-08-13 08:37:00；
新闻舆情来源：新浪网
原文：巴比食品诉上海海之缘贸易有限公司买卖合同纠纷案2026年9月29日在上海市松江区人民法院开庭",2026-08-16T09:18:46.862621+08:00
gildata,NewsDataQuery,巴比食品 2026年 股价下跌 减持 利空 经营,2,资讯舆情库,巴比食品诉程某侵害商标权纠纷案2026年8月12日在合肥高新技术产业开发区人民法院开庭,0.87,"报告标题：巴比食品诉程某侵害商标权纠纷案2026年8月12日在合肥高新技术产业开发区人民法院开庭；
撰写时间：2026-07-01 08:37:00；
新闻舆情来源：新浪网
原文：7月1日消息，天眼查数据显示，近日公布了一则中饮巴比食品股份有限公司作为原告/上诉人的开庭公告，案号为(2026)皖0191民初4503号，案由为侵害商标权纠纷，审理法院为合肥高新技术产业开发区人民法院，当事人方面，原告/上诉人为中饮巴比食品股份有限公司，被告/被上诉人为程某，开庭时间为2026年08月12日08:45。根据统计，近一年内以中饮巴比食品股份有限公司为原告/上诉人/被告/被上诉人的开庭公告有7则，其中，案由为劳动合同纠纷的公告3则，案由为买卖合同纠纷的公告2则，案由为劳动争议的公告1则。(仅统计天眼查有案号情况)案由数量劳动合同纠纷3买卖合同纠纷2劳动争议1侵害商标权纠纷1合计7以中饮巴比食品股份有限公司为原告/上诉人/被告/被上诉人的近一年开庭公告如下：序号案号案由法院原告/上诉⼈被告/被上诉人开庭时间1(2026)皖0191民初4503号侵害商标权纠纷合肥高新技术产业开发区人民法院中饮巴比食品股份有限公司程某2026-08-12 08:452(2026)沪01民终7786号劳动合同纠纷上海市第一中级人民法院张某中饮巴比食品股份有限公司2026-05-18 14:003(2026)浙0105民初5217号劳动争议杭州市拱墅区人民法院李某中饮巴比食品股份有限公司2026-05-13 09:304(2026)沪0117民初1143号劳动合同纠纷上海市松江区人民法院马某中饮巴比食品股份有限公司2026-02-10 13:355(2025)沪0117民初35945号买卖合同纠纷上海市松江区人民法院中饮巴比食品股份有限公司上海希旭源食品有限公司2026-02-10 09:006(2025)沪0117民初34811号买卖合同纠纷上海市松江区人民法院中饮巴比食品股份有限公司嘉兴市荣晟包装材料有限公司2026-01-21 15:007(2025)沪0117民初34301号劳动合同纠纷上海市松江区人民法院张某中饮巴比食品股份有限公司2026-01-07 15:00公司简介资料显示，中饮巴比食品股份有限公司位于上海市松江区车墩镇茸江路785号，成立日期2010年7月8日，上市日期2020年10月12日，公司主营业务涉及中式面点速冻食品的研发、生产与销售。主营业务收入构成为：面米类35.87%，馅料类29.39%，外购食品类24.97%，包装及辅料6.28%，加盟商管理3.03%，其他0.31%，其他(补充)0.15%。巴比食品所属申万行业为：食品饮料-食品加工-预加工食品。所属概念板块包括：大消费、食品饮料概念、预制菜、高股息100、电子商务等。截至3月31日，巴比食品股东户数1.22万，较上期增加1.91%;人均流通股19590股，较上期减少1.87%。2026年1月-3月，巴比食品实现营业收入3.80亿元，同比增长2.82%;归母净利润4721.16万元，同比增长26.93%。分红方面，巴比食品A股上市后累计派现7.63亿元。近三年，累计派现5.79亿元。机构持仓方面，截止2026年3月31日，巴比食品十大流通股东中，易方达裕鑫债券A(003133)位居第八大流通股东，持股320.81万股，相比上期增加163.37万股。香港中央结算有限公司位居第十大流通股东，持股287.92万股，为新进股东。声明：市场有风险，投资需谨慎。本文基于第三方数据库发布，不代表新浪财经观点，任何在本文出现的信息均只作为参考，不构成个人投资建议。如有出入请以实际公告为准。如有疑问，请联系biz@staff.sina.com.cn。",2026-08-16T09:18:46.862621+08:00
gildata,NewsDataQuery,巴比食品 2026年 股价下跌 减持 利空 经营,3,资讯舆情库,"6月25日巴比食品跌7.57%,宝盈泛沿海增长混合基金重仓该股",0.82,"报告标题：6月25日巴比食品跌7.57%,宝盈泛沿海增长混合基金重仓该股；
撰写时间：2026-06-25 16:37:12；
新闻舆情来源：证券之星（头条号）
原文：证券之星消息，6月25日巴比食品(605338)跌7.57%创60日新低，收盘报17.34元，换手率1.92%，成交量4.6万手，成交额8193.06万元。该股为食品概念热股。6月25日的资金流向数据方面，主力资金净流出1094.33万元，占总成交额13.36%，游资资金净流入257.01万元，占总成交额3.14%，散户资金净流入837.32万元，占总成交额10.22%。重仓巴比食品的前十大公募基金请见下表：该股最近90天内共有18家机构给出评级，买入评级17家，增持评级1家;过去90天内机构目标均价为33.78。根据2026基金Q1季报公募基金重仓股数据，重仓该股的公募基金共11家，其中持有数量最多的公募基金为宝盈基金的宝盈泛沿海增长混合。宝盈泛沿海增长混合目前规模为5.03亿元，最新净值0.746(6月24日)，较上一交易日下跌0.57%，近一年上涨25.53%。该公募基金现任基金经理为李巍宇。李巍宇在任的基金产品包括:宝盈成长精选混合A，管理时间为2024年6月25日至今，期间收益率为57.16%;宝盈价值成长混合A，管理时间为2025年8月30日至今，期间收益率为9.74%。宝盈泛沿海增长混合的前十大重仓股如下：以上内容为证券之星据公开信息整理，仅供参考不构成投资建议。",2026-08-16T09:18:46.862621+08:00
gildata,NewsDataQuery,巴比食品 2026年 股价下跌 减持 利空 经营,4,资讯舆情库,中饮巴比食品股份有限公司于2026年6月25日新增裁判文书,0.65,"报告标题：中饮巴比食品股份有限公司于2026年6月25日新增裁判文书；
撰写时间：2026-06-25 00:00:00；
新闻舆情来源：聚源数据
原文：中饮巴比食品股份有限公司因劳动合同纠纷新增民事二审裁判文书，由上海市第一中级人民法院审理。(案号:(2026)沪01民终7786号,发布日期:2026年6月25日)",2026-08-16T09:18:46.862621+08:00
gildata,NewsDataQuery,巴比食品 2026年 股价下跌 减持 利空 经营,5,资讯舆情库,"包子也卖不动了？巴比食品年内股价跌超36%,门店现季度净收缩",0.91,"报告标题：包子也卖不动了？巴比食品年内股价跌超36%,门店现季度净收缩；
撰写时间：2026-06-22 10:14:00；
新闻舆情来源：读创（百家号）
原文：年内股价累计跌超36%，有着包子第一股之称的巴比食品（605338）二级市场表现持续疲软。6月22日早盘，公司股价低开低走，开盘报18.56元/股，截至发稿跌超3%，最新总市值约43.27亿元，估值进一步回落至上市以来偏低区间。公司一季度营收增速放缓、加盟门店出现季度净减少等基本面信息，与年内股价走弱的市场表现形成对应。公开资料显示，巴比食品于2020年10月12日在上交所主板上市，成为中国包子第一股。自成立以来，专业从事中式面点食品的研发、生产与销售。2026年第一季度，公司实现营业总收入3.8亿元，同比增长2.82%；归母净利润4721.16万元，同比增长26.93%；扣非净利润4144.58万元，同比增长6.38%。巴比食品表示，利润增加主要系销售毛利增加以及资金理财收益增加所致。一季报显示，巴比食品一季度加盟门店减少了19家，由期初的5909家减少至期末的5890家，其中华南区域就净减少20家。此前，公司发布了2025年年报，报告期内公司实现营业收入为18.6亿元，同比上升11.2%；归母净利润为2.73亿元，同比下降1.3%；扣非归母净利润为2.45亿元，同比上升16.7%；经营现金流净额为3.19亿元，同比增长46.9%。对于公司营收增长、净利不佳的原因，在年报中，巴比食品作了非主营业务导致利润重大变化的说明：报告期内公司间接持有的东鹏饮料股票受二级市场价格波动的影响，产生的公允价值变动收益和投资收益较上年同期合计减少9382万元，导致公司营业利润、利润总额、净利润同比有所下降。2026年经营计划方面，年报显示，公司2026年将大力开拓小笼包新店型，带动单店收入明显回升。2026年，公司力争实现手工小笼包新店型年末门店数突破600家、冲刺700家的年度目标，以新店型带动整体单店营收明显回升，推动门店业务迈向更高质量、更可持续的发展新阶段。",2026-08-16T09:18:46.862621+08:00
gildata,NewsDataQuery,巴比食品 2026年 股价下跌 减持 利空 经营,6,资讯舆情库,巴比食品股价跌3.2%,0.8,"报告标题：巴比食品股价跌3.2%；
撰写时间：2026-06-22 09:47:00；
新闻舆情来源：新浪财经（百家号）
原文：6月22日，巴比食品跌3.2%，截至发稿，报18.16元/股，成交492.03万元，换手率0.11%，总市值43.51亿元。巴比食品股价已经连续4天下跌，区间累计跌幅7.36%。资料显示，中饮巴比食品股份有限公司位于上海市松江区车墩镇茸江路785号，成立日期2010年7月8日，上市日期2020年10月12日，公司主营业务涉及中式面点速冻食品的研发、生产与销售。主营业务收入构成为：面米类35.87%，馅料类29.39%，外购食品类24.97%，包装及辅料6.28%，加盟商管理3.03%，其他0.31%，其他(补充)0.15%。从基金十大重仓股角度数据显示，圆信永丰基金旗下1只基金重仓巴比食品。圆信永丰沪港深消费精选混合发起A(025870)一季度持有股数2.36万股，占基金净值比例为3.26%，位居第四大重仓股。根据测算，今日浮亏损失约1.42万元。连续4天下跌期间浮亏损失3.52万元。圆信永丰沪港深消费精选混合发起A(025870)成立日期2025年12月2日，最新规模999.65万。今年以来亏损20.86%，同类排名8783/8901;成立以来亏损20.93%。圆信永丰沪港深消费精选混合发起A(025870)基金经理为陈彦辛。截至发稿，陈彦辛累计任职时间2年81天，现任基金资产总规模1.33亿元，任职期间最佳基金回报45.3%， 任职期间最差基金回报-20.98%。",2026-08-16T09:18:46.862621+08:00
gildata,NewsDataQuery,巴比食品 2026年 股价下跌 减持 利空 经营,7,资讯舆情库,巴比食品股价连续3天下跌累计跌幅5.48%,0.77,"报告标题：巴比食品股价连续3天下跌累计跌幅5.48%；
撰写时间：2026-06-17 15:01:00；
新闻舆情来源：新浪财经（百家号）
原文：6月17日，巴比食品跌1.9%，截至发稿，报19.14元/股，成交2866.88万元，换手率0.63%，总市值45.85亿元。巴比食品股价已经连续3天下跌，区间累计跌幅5.48%。资料显示，中饮巴比食品股份有限公司位于上海市松江区车墩镇茸江路785号，成立日期2010年7月8日，上市日期2020年10月12日，公司主营业务涉及中式面点速冻食品的研发、生产与销售。主营业务收入构成为：面米类35.87%，馅料类29.39%，外购食品类24.97%，包装及辅料6.28%，加盟商管理3.03%，其他0.31%，其他(补充)0.15%。从基金十大重仓股角度数据显示，中金基金旗下1只基金重仓巴比食品。中金消费升级股票A(001193)一季度持有股数23万股，占基金净值比例为4.89%，位居第六大重仓股。根据测算，今日浮亏损失约8.51万元。连续3天下跌期间浮亏损失25.53万元。中金消费升级股票A(001193)成立日期2015年6月24日，最新规模1.18亿。今年以来亏损15.51%，同类排名5147/5542;近一年亏损1.32%，同类排名3869/4720;成立以来亏损11.86%。中金消费升级股票A(001193)基金经理为高大亮。截至发稿，高大亮累计任职时间2年193天，现任基金资产总规模1.18亿元，任职期间最佳基金回报0.2%， 任职期间最差基金回报-3.72%。",2026-08-16T09:18:46.862621+08:00
gildata,NewsDataQuery,巴比食品 2026年 股价下跌 减持 利空 经营,8,资讯舆情库,"6月8日巴比食品跌5.04%,宝盈泛沿海增长混合基金重仓该股",0.8,"报告标题：6月8日巴比食品跌5.04%,宝盈泛沿海增长混合基金重仓该股；
撰写时间：2026-06-08 16:43:07；
新闻舆情来源：证券之星（头条号）
原文：证券之星消息，6月8日巴比食品(605338)跌5.04%创60日新低，收盘报19.39元，换手率1.09%，成交量2.6万手，成交额5110.86万元。该股为食品概念热股。6月8日的资金流向数据方面，主力资金净流出841.33万元，占总成交额16.46%，游资资金净流入502.79万元，占总成交额9.84%，散户资金净流入338.54万元，占总成交额6.62%。重仓巴比食品的前十大公募基金请见下表：该股最近90天内共有20家机构给出评级，买入评级17家，增持评级3家;过去90天内机构目标均价为33.78。根据2026基金Q1季报公募基金重仓股数据，重仓该股的公募基金共11家，其中持有数量最多的公募基金为宝盈基金的宝盈泛沿海增长混合。宝盈泛沿海增长混合目前规模为5.03亿元，最新净值0.7502(6月5日)，较上一交易日上涨0.73%，近一年上涨22.08%。该公募基金现任基金经理为李巍宇。李巍宇在任的基金产品包括:宝盈成长精选混合A，管理时间为2024年6月25日至今，期间收益率为59.03%;宝盈价值成长混合A，管理时间为2025年8月30日至今，期间收益率为12.33%。宝盈泛沿海增长混合的前十大重仓股如下：以上内容为证券之星据公开信息整理，仅供参考不构成投资建议。",2026-08-16T09:18:46.862621+08:00
gildata,NewsDataQuery,巴比食品 2026年 股价下跌 减持 利空 经营,9,资讯舆情库,"6月4日巴比食品跌6.08%,宝盈泛沿海增长混合基金重仓该股",0.81,"报告标题：6月4日巴比食品跌6.08%,宝盈泛沿海增长混合基金重仓该股；
撰写时间：2026-06-04 16:46:08；
新闻舆情来源：证券之星（头条号）
原文：证券之星消息，6月4日巴比食品(605338)跌6.08%创60日新低，收盘报20.23元，换手率1.9%，成交量4.55万手，成交额9238.3万元。该股为食品概念热股。6月4日的资金流向数据方面，主力资金净流出69.98万元，占总成交额0.76%，游资资金净流入617.01万元，占总成交额6.68%，散户资金净流出547.04万元，占总成交额5.92%。重仓巴比食品的前十大公募基金请见下表：该股最近90天内共有20家机构给出评级，买入评级17家，增持评级3家;过去90天内机构目标均价为33.78。根据2026基金Q1季报公募基金重仓股数据，重仓该股的公募基金共11家，其中持有数量最多的公募基金为宝盈基金的宝盈泛沿海增长混合。宝盈泛沿海增长混合目前规模为5.03亿元，最新净值0.7495(6月3日)，较上一交易日上涨0.7%，近一年上涨22.79%。该公募基金现任基金经理为李巍宇。李巍宇在任的基金产品包括:宝盈成长精选混合A，管理时间为2024年6月25日至今，期间收益率为58.05%;宝盈价值成长混合A，管理时间为2025年8月30日至今，期间收益率为10.09%。宝盈泛沿海增长混合的前十大重仓股如下：以上内容为证券之星据公开信息整理，仅供参考不构成投资建议。",2026-08-16T09:18:46.862621+08:00
gildata,NewsDataQuery,巴比食品 2026年 股价下跌 减持 利空 经营,10,资讯舆情库,"股市必读:巴比食品(605338)4月21日收盘跌6.81%,今年累计跌幅已超20%",0.88,"报告标题：股市必读:巴比食品(605338)4月21日收盘跌6.81%,今年累计跌幅已超20%；
撰写时间：2026-04-22 03:40:06；
新闻舆情来源：证券之星（头条号）
原文：截至2026年4月21日收盘，巴比食品(605338)报收于23.52元，下跌6.81%，换手率2.93%，成交量7.01万手，成交额1.69亿元。当日关注点来自【交易信息汇总】：巴比食品股价报23.52元，跌6.81%，已连续7日下跌，年内累计跌幅达23.81%。来自【股本股东变化】：截至2026年3月31日，公司股东户数为1.22万户，较前期增长1.91%。来自【业绩披露要点】：2026年一季度归母净利润同比增长26.93%，达4721.16万元。来自【公司公告汇总】：2026年第一季度实现营业收入38,000.46万元，其中特许加盟渠道占比72.91%。交易信息汇总4月21日巴比食品(605338)收盘价为23.52元，下跌6.81%，当日成交金额701.1万元。该股已连续7个交易日下跌，年初至今累计跌幅为23.81%。近10个交易日中，主力资金累计净流入998.72万元，同期股价下跌9.48%。过去90天内，共有17家机构对该股作出评级，其中14家给予买入评级，3家给予增持评级，机构平均目标价为33.62元。当日资金流向方面，主力资金净流出518.2万元，占总成交额的3.07%;游资资金净流入1679.64万元，占总成交额的9.96%;散户资金净流出1161.44万元，占总成交额的6.89%。股本股东变化截至2026年3月31日，巴比食品股东户数为1.22万户，较2月13日增加229户，增幅1.91%。户均持股数量由上期的2.0万股下降至1.96万股，户均持股市值为49.27万元。业绩披露要点巴比食品2026年一季报显示，公司一季度实现主营收入3.8亿元，同比增长2.82%;归母净利润为4721.16万元，同比增长26.93%;扣非净利润为4144.58万元，同比增长6.38%。公司负债率为16.68%，财务费用为-265.98万元，投资收益为87.72万元，毛利率为27.91%。公司公告汇总中饮巴比食品股份有限公司发布2026年第一季度经营数据(未经审计)。报告期内，公司实现营业收入38,000.46万元，其中主营业务收入37,969.04万元，占总收入的99.92%。按产品类别划分，食品类收入为33,861.90万元，占89.11%;包装及辅料收入为2,639.32万元，占6.95%;服务费收入为1,467.82万元，占3.86%。按销售渠道划分，特许加盟销售为27,705.22万元，占72.91%;团餐渠道销售为8,998.05万元，占23.68%;直营门店销售为516.52万元，占1.36%。按区域划分，华东地区收入为30,890.50万元，占81.29%。截至报告期末，经销商数量为51家，较期初净增加11家;加盟门店总数为5,890家，较期初净减少19家。公司无其他对生产经营产生重大影响的事项。以上内容为证券之星据公开信息整理，由AI算法生成(网信算备310104345710301240019号)，不构成投资建议。",2026-08-16T09:18:46.862621+08:00
